"","YearIndex","CompaniesIndex","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"94",1,32,-0.0919,-0.562118918153541,0.38,0.1136,24.829818904498,3,0.18,0.06,0,0,0,1
"95",2,32,-0.6182,-0.0725706928348354,0.29,0.1334,24.8445281765189,3,0.04,0.01,0,1,0,1
"96",3,32,-0.0679,0.3293037471426,0.43,-0.393,24.7477600172674,3,0.04,0,0,1,0,1
"97",1,33,-0.0298,-0.0725706928348354,0.64,0.1797,24.685772809345,3,0.1,0.61,0,0,1,1
"98",2,33,-0.1238,-0.162518929497775,0.6,0.0539,24.7446991465577,3,0.03,0.05,0,1,1,1
"99",3,33,-0.0669,0.131028262406404,0.77,-0.1069,24.8453714699539,3,0.04,0,0,1,1,1
"100",1,34,0.0557,0.631271776841858,0.71,0.1214,23.5793394127953,8,0.17,0.23,0.92,1,1,1
"101",2,34,0.0726,0.570979546585738,0.71,0.0977,23.6089153514702,8,0.02,0.07,0.13,1,1,1
"102",3,34,0.0356,0.756121979721334,0.66,0.095,23.5931740825433,8,0.02,0.08,0.12,1,1,1
"103",1,35,0.1075,NA,0.66,0.1294,22.3748937038168,7,0,0,0,0,0,0
"104",2,35,0.1054,NA,0.5,0.1378,22.5426450127562,7,0,0,0,0,0,0
"105",3,35,0.1031,0.924258901523332,0.92,0.1327,22.6730257091565,7,0.06,0,0,0,0,0
"106",1,36,0.0581,0.0295588022415444,0,0.2317,23.3765078015536,7,0,0,0,0,0,0
"107",2,36,0.0587,0.732367893713227,0.7,0.2204,23.3631799422817,7,0,0,0,0,0,0
"108",3,36,0.0588,0.53062825106217,0.6,0.1894,23.4142376965139,7,0.02,0,0,0,0,0
"109",1,37,0.0434,0.548121408509688,0.56,0.4069,23.1356087831225,4,0,0,0,0,0,0
"110",2,37,0.0447,0.625938430866495,0.72,0.2414,23.4529563874633,4,0.05,0.02,0,1,0,0
"111",3,37,0.0594,0.570979546585738,0.72,0.4057,23.5068391940714,4,0.06,0.01,0.04,1,0,0
"112",1,38,0.0271,-0.0202027073175195,1.17,0.1244,23.41240338261,11,0.62,0,0,1,1,0
"113",2,38,0.0285,0.00995033085316809,1.1,0.1272,23.4359408603853,11,0.06,0.15,0.11,1,0,0
"114",3,38,0.0262,0.0953101798043249,1.11,0.1405,23.5040059957711,11,0.03,0,0,1,0,0
"115",1,39,0.0374,-0.478035800943,3.12,0.1404,25.7546183726314,4,0.63,0.3,0.07,0,0,0
"116",2,39,0.0316,-0.941608539858445,2.84,0.1611,25.7561517399775,4,0.1,0.06,0.08,1,1,0
"117",3,39,0.033,-1.04982212449868,2.8,0.174,25.7928176281777,4,0.13,0.1,0.01,1,1,0
"118",1,40,0.1485,1.11841491596429,NA,0.1081,22.5792512784737,1,0,0,0,0,0,0
"119",2,40,0.1486,1.21194097397511,NA,0.1111,22.6977634428536,1,0,0,0,0,0,0
"120",3,40,0.1486,1.16002091679675,NA,0.1129,22.6933109518469,1,0.07,0,0,0,0,0
"121",1,41,0.0567,-0.139262067333508,1.53,0.0476,25.2107329840783,6,0.78,0.84,0,0,1,1
"122",2,41,0.0534,-0.083381608939051,0.54,0.0529,25.2522350928408,6,0.11,0.12,0.1,1,1,1
"123",3,41,0.0531,0.0392207131532813,0.94,0.0599,25.3203836897437,6,0.08,0.12,0.1,1,1,1
"124",1,42,0.0018,-2.20727491318972,1.26,0.0339,28.4240018666831,4,0.2,0.05,0.04,1,1,1
"125",2,42,0.0068,-1.71479842809193,1.14,0.1172,28.3740402562584,4,0.03,0.02,0.01,1,1,1
"126",3,42,0.0076,-1.66073120682165,1.08,0.0456,28.375115180883,4,0.04,0.02,0.02,1,1,1
"127",1,43,0.0964,NA,0.8,0.1639,23.7383104215328,5,0.18,0.05,0.16,1,1,1
"128",2,43,0.0413,NA,0.96,0.1319,23.9763111775847,5,0.04,0.01,0.05,1,1,1
