"";"test";"2012";"2013";"2014";"2015";"2016"
"825";"FAST.low";41,060001;44,009998;44,169998;38,439999;46,66
"826";"FAST.close";46,650002;47,509998;47,560001;40,82;46,98
"827";"FAST.adjclose";40,509041;42,442158;43,435028;38,304253;45,403629
"828";"FAST.volume";41653100;42080600;34471100;53855500;51925000
"829";"FB.open";28;46,900002;77,260002;104,830002;118,379997
"830";"FB.high";28,879999;58,580002;82,169998;107,919998;122,5
"831";"FB.low";25,15;46,259998;74,400002;101,459999;114
"832";"FB.close";26,620001;54,650002;78,019997;104,660004;115,050003
"833";"FB.adjclose";26,620001;54,650002;78,019997;104,660004;115,050003
"834";"FB.volume";1191832200;1517533200;534632100;440059600;408552500
"835";"FDX.open";89,980003;139,149994;178,789993;159,410004;192
"836";"FDX.high";95,440002;144,130005;183,509995;160,669998;201,570007
"837";"FDX.low";87,989998;136,270004;163,570007;140,889999;185,679993
"838";"FDX.close";91,720001;143,770004;173,660004;148,990005;186,199997
"839";"FDX.adjclose";88,491386;139,29483;169,082153;145,837418;183,794693
"840";"FDX.volume";39662000;39650000;48210600;52038300;43156800
"841";"FE.open";42,549999;32,91;36,740002;31,59;31,139999
"842";"FE.high";42,599998;33,02;40,84;32,990002;32,299999
"843";"FE.low";40,470001;31,290001;36,470001;30,790001;29,33
"844";"FE.close";41,759998;32,98;38,990002;31,73;30,73
"845";"FE.adjclose";32,785412;27,354404;33,794518;28,658789;28,989029
"846";"FE.volume";52488700;95470500;65110800;100430300;109475000
"847";"FIS.open";36,139999;50,799999;60,830002;63,970001;77,169998
"848";"FIS.high";37,139999;53,73;64,300003;65,959999;77,779999
"849";"FIS.low";33,990002;49,740002;59,709999;58,490002;73,970001
"850";"FIS.close";34,810001;53,68;62,200001;60,599998;75,639999
"851";"FIS.adjclose";31,839972;50,142342;59,118382;58,50774;74,158012
"852";"FIS.volume";66812700;21947400;21076200;51167000;42523800
"853";"FISV.open";19,282499;27,6175;35,610001;48,27;52,275002
"854";"FISV.high";20,315001;29,639999;36,634998;48,880001;54,555
"855";"FISV.low";19,165001;27,047501;34,025002;45,584999;51,299999
"856";"FISV.close";19,7575;29,525;35,485001;45,73;53,139999
"857";"FISV.adjclose";19,7575;29,525;35,485001;45,73;53,139999
"858";"FISV.volume";74144800;40799800;57582400;56381200;37651000
"859";"FITB.open";14,69;20,360001;20,02;20,799999;26,23
"860";"FITB.high";15,31;21,139999;20,82;21,139999;27,879999
"861";"FITB.low";14,05;19,76;19,23;19,43;25,82
"862";"FITB.close";15,2;21,030001;20,379999;20,1;26,969999
"863";"FITB.adjclose";13,256437;18,83717;18,687012;18,916306;26,111185
"864";"FITB.volume";185966200;131210300;157201400;193336700;128629400
"865";"FLT.open";52,299999;122,400002;151,350006;154,270004;149
"866";"FLT.high";53,740002;123,959999;153,869995;155,289993;154,5
"867";"FLT.low";49,860001;113,010002;135,350006;136,830002;140,75
"868";"FLT.close";53,650002;117,169998;148,710007;142,929993;141,520004
"869";"FLT.adjclose";53,650002;117,169998;148,710007;142,929993;141,520004
"870";"FLT.volume";12139900;14489100;15958400;12489900;20650600
"871";"FNMA.open";0,27;2,63;2,44;2,08;4,49
"872";"FNMA.high";0,28;3,37;2,49;2,1;5
"873";"FNMA.low";0,25;2,41;0,01;1,58;3,15
"874";"FNMA.close";0,26;3,01;2,06;1,64;3,9
"875";"FNMA.adjclose";0,26;3,01;2,06;1,64;3,9
"876";"FNMA.volume";54828100;328884900;128457600;135242900;311550600
"877";"FOX.open";22,393993;32,950001;35,299999;29,93;28,01
"878";"FOX.high";23,189047;34,66;37,830002;30,280001;29,629999
"879";"FOX.low";21,934629;31,18;34,810001;27,07;25,940001
"880";"FOX.close";23,180212;34,599998;36,889999;27,23;27,25
"881";"FOX.adjclose";21,937696;32,975441;35,417133;26,405718;26,767246
"882";"FOX.volume";78934700;52479900;100850700;91655600;94591300
"883";"GD.open";66,779999;91,400002;145;147,229996;175,809998
"884";"GD.high";70,589996;95,760002;145,649994;148,399994;180,089996
"885";"GD.low";65,290001;88,849998;135,050003;136,080002;168
"886";"GD.close";69,269997;95,550003;137,619995;137,360001;175,389999
"887";"GD.adjclose";61,558105;87,442612;128,767929;131,046036;170,998474
"888";"GD.volume";31884800;24337700;42174100;31503800;36275300
"889";"GE.open";21,18;26,65;26,16;29,99;30,639999
"890";"GE.high";21,950001;28,09;26,469999;31,49;32,380001
"891";"GE.low";20,26;26,200001;24,059999;29,77;30,620001
"892";"GE.close";20,99;28,030001;25,27;31,15;31,6
"893";"GE.adjclose";17,500818;24,151285;22,512331;28,765018;30,091717
"894";"GE.volume";903615300;742552100;866969500;1111454300;636835400
"895";"GGP.open";19,450001;20,610001;26,780001;25,620001;25,18
"896";"GGP.high";20,549999;21,52;28,879999;27,58;26,629999
"897";"GGP.low";19,33;19,77;26,68;25,110001;24,23
"898";"GGP.close";19,85;20,07;28,129999;27,209999;24,98
"899";"GGP.adjclose";16,722883;17,31193;24,913248;24,714928;23,328979
"900";"GGP.volume";93013600;260176300;78311000;102254400;87935100
"901";"GILD.open";37,485001;74,839996;100;106,349998;73,970001
"902";"GILD.high";38,560001;76,110001;109,489998;107,379997;76,32
"903";"GILD.low";35,68;69,050003;85,949997;98,660004;70,830002
"904";"GILD.close";36,724998;75,099998;94,260002;101,190002;71,610001
"905";"GILD.adjclose";34,224705;69,987076;87,842621;95,015114;68,651169
"906";"GILD.volume";191862600;241963200;440734100;184906400;196593100
"907";"GIS.open";41,029999;50,220001;52,529999;58,200001;60,919998
"908";"GIS.high";41,880001;51,959999;54,610001;59,330002;64,059998
"909";"GIS.low";39,75;48,240002;51,080002;56,23;60,369999
"910";"GIS.close";40,419998;49,91;53,330002;57,66;61,77
"911";"GIS.adjclose";33,900253;43,155396;47,588207;53,081856;58,554184
"912";"GIS.volume";72698200;66391500;66498300;78395800;56069300
"913";"GLW.open";12,31;17,08;20,9;18,879999;24,030001
"914";"GLW.high";13,09;17,889999;23,52;19,01;25,35
"915";"GLW.low";12,1;16,629999;20,379999;17,59;23,48
"916";"GLW.close";12,62;17,82;22,93;18,280001;24,27
"917";"GLW.adjclose";11,153805;16,176365;21,225458;17,336172;23,617485
"918";"GLW.volume";248600200;199688600;184999500;262377700;153947200
"919";"GM.open";26,059999;39,099998;33,310001;35,950001;34,810001
"920";"GM.high";28,9;41,849998;35,450001;36,52;37,740002
"921";"GM.low";24,4;37,68;30,299999;33,540001;34,669998
"922";"GM.close";28,83;40,869999;34,91;34,009998;34,84
"923";"GM.adjclose";24,217964;34,331879;30,093512;30,501637;32,765755
"924";"GM.volume";223646000;547904500;297152900;237814800;310015500
"925";"GPC.open";65,550003;82,910004;102,620003;91,029999;96,160004
"926";"GPC.high";66,900002;84,889999;109;91,419998;99,919998
"927";"GPC.low";62,459999;80,18;101,379997;83,099998;94,879997
"928";"GPC.close";63,580002;83,190002;106,57;85,889999;95,540001
"929";"GPC.adjclose";54,526245;73,451744;96,607834;79,953476;91,388649
"930";"GPC.volume";14318500;14812200;12270300;12995200;11665300
"931";"GPS.open";34,52;41,27;39,290001;26,73;24,860001
"932";"GPS.high";34,689999;42,330002;42,52;27,309999;26,75
"933";"GPS.low";29,84;38,009998;38,939999;24,549999;22,25
"934";"GPS.close";31,040001;39,080002;42,110001;24,700001;22,440001
"935";"GPS.adjclose";26,615051;34,073399;37,490982;22,545044;21,285873
"936";"GPS.volume";158150700;90163600;72928800;117760900;112398000
"937";"GS.open";118,419998;169,880005;188;191,220001;220,929993
"938";"GS.high";129,720001;177,440002;198,059998;193,839996;245,570007
"939";"GS.low";115,620003;164,770004;182,399994;172,899994;220,350006
"940";"GS.close";127,559998;177,259995;193,830002;180,229996;239,449997
"941";"GS.adjclose";118,935249;167,453247;185,513565;174,773056;235,809219
"942";"GS.volume";80380300;55718100;70221600;65369700;96023400
"943";"GWW.open";194,690002;257,910004;244,910004;200,089996;231,690002
"944";"GWW.high";202,429993;260;261,570007;207,669998;240,740005
"945";"GWW.low";186,589996;246,860001;239,699997;189,600006;230,419998
"946";"GWW.close";202,369995;255,419998;254,889999;202,589996;239,619995
"947";"GWW.adjclose";182,246857;233,357773;236,912537;192,11055;232,439606
"948";"GWW.volume";9728900;7834300;10670700;16131200;14787300
"949";"HAL.open";33,5;52,830002;42,02;39,5;54,080002
"950";"HAL.high";35,380001;52,98;42,130001;40,52;56,080002
"951";"HAL.low";32,82;48,709999;37,209999;33,139999;52,889999
"952";"HAL.close";34,689999;50,75;39,330002;34,040001;54,200001
"953";"HAL.adjclose";32,004124;47,356331;37,071594;32,645943;52,947361
"954";"HAL.volume";183319900;208875100;565585600;298459300;174411400
"955";"HCA.open";32,700001;46,279999;69,910004;68,769997;70,93
"956";"HCA.high";34,029999;47,98;75,82;72,300003;75,580002
"957";"HCA.low";29,860001;45,07;68,010002;63,32;70
"958";"HCA.close";30,17;47,709999;73,389999;67,629997;74,019997
"959";"HCA.adjclose";28,238859;47,545578;73,137085;67,396927;73,764908
"960";"HCA.volume";98075500;46771900;68026000;75723000;47332200
"961";"HCP.open";41,193077;33,652096;40,765026;32,586521;29,33
"962";"HCP.high";41,557377;33,91621;41,958107;35,437157;30,68
"963";"HCP.low";39,981785;32,331512;39,936249;31,821493;28,299999
"964";"HCP.close";41,129326;33,078323;40,100182;34,826958;29,719999
"965";"HCP.adjclose";30,398928;25,705803;33,024261;30,554502;27,796736
"966";"HCP.volume";50681500;62213000;69081200;85359600;87677000
"967";"HD.open";65;80,449997;99,489998;133,520004;129,339996
"968";"HD.high";65,919998;82,470001;106,019997;134,830002;137,320007
"969";"HD.low";60,209999;77,699997;96,989998;130,009995;128,679993
"970";"HD.close";61,849998;82,339996;104,970001;132,25;134,080002
"971";"HD.adjclose";55,329887;74,823692;97,461685;125,305183;130,317139
"972";"HD.volume";143325700;128287300;118058000;99684500;99351900
"973";"HES.open";50,110001;81,010002;72,279999;59,32;57,790001
"974";"HES.high";54,150002;83,540001;77,459999;59,639999;65,559998
"975";"HES.low";48,299999;77,519997;63,799999;47,040001;55,720001
"976";"HES.close";52,959999;83;73,82;48,48;62,290001
"977";"HES.adjclose";48,577469;76,74691;69,045288;46,057095;60,353931
"978";"HES.volume";62864100;48177100;97925700;80420000;83037800
"979";"HIG.open";21,290001;35,790001;41,150002;45,919998;47,27
"980";"HIG.high";22,879999;36,759998;42,470001;46,970001;48,82
"981";"HIG.low";20,809999;34,400002;39,860001;41,68;47,169998
"982";"HIG.close";22,440001;36,23;41,689999;43,459999;47,650002
"983";"HIG.adjclose";20,415405;33,514328;39,254158;41,659092;46,578743
"984";"HIG.volume";86391000;75531100;65147700;54967300;47200100
"985";"HOG.open";47,310001;66,93;69,690002;49;61,150002
"986";"HOG.high";49,759998;69,75;70,410004;49,529999;62,349998
"987";"HOG.low";45,689999;65,599998;61,59;45;56,810001
"988";"HOG.close";48,830002;69,239998;65,910004;45,389999;58,34
"989";"HOG.adjclose";43,221127;62,168842;60,100983;42,231857;55,960144
"990";"HOG.volume";30432200;20978400;31283100;48553000;40814700
"991";"HON.open";61,23373;88,011055;98,077423;103,349327;113,239998
"992";"HON.high";64,148201;91,07473;101,847336;105,159683;118,620003
"993";"HON.low";59,920727;85,315422;94,86454;97,142235;112,169998
"994";"HON.close";63,13361;90,885742;99,390427;103,020897;115,849998
"995";"HON.adjclose";56,617531;83,2519;92,875534;98,273201;112,967232
"996";"HON.volume";70445300;50155100;51575800;73286100;75530600
"997";"HRL.open";15,545;22,51;26,52;37,814999;34,23
"998";"HRL.high";15,81;23,09;26,799999;40,389999;35,59
"999";"HRL.low";15,255;21,875;25,030001;37,639999;33,18
"1000";"HRL.close";15,605;22,584999;26,049999;39,540001;34,810001
"1001";"HRL.adjclose";13,317009;19,949379;23,790104;37,399231;33,552235
"1002";"HRL.volume";30385800;26392400;29922800;50653100;49310900
"1003";"HSIC.open";40,5;56,73;68,264999;78,934998;74,620003
"1004";"HSIC.high";41,455002;58,035;69,574997;80,809998;77,489998
"1005";"HSIC.low";39,48;55,200001;65,150002;76,050003;73,610001
"1006";"HSIC.close";40,209999;57,130001;68,074997;79,095001;75,855003
"1007";"HSIC.adjclose";40,209999;57,130001;68,074997;79,095001;75,855003
"1008";"HSIC.volume";17789400;14877600;18991800;17511800;23902800
"1009";"HST.open";14,79;18,379999;23,18;16,73;17,809999
"1010";"HST.high";15,89;19,57;24,5;16,92;19,51
"1011";"HST.low";14,45;17,84;22,99;15,1;17,67
"1012";"HST.close";15,67;19,440001;23,77;15,34;18,84
"1013";"HST.adjclose";12,651959;16,094046;20,280575;13,628552;17,62219
"1014";"HST.volume";131588600;115860000;118029900;178334300;212426800
"1015";"HSY.open";73,279999;96,739998;100,239998;86,349998;96,5
"1016";"HSY.high";74,709999;97,849998;107;92;105,269997
"1017";"HSY.low";70,949997;93,150002;97,699997;84;95,68
"1018";"HSY.close";72,220001;97,230003;103,93;89,269997;103,43
"1019";"HSY.adjclose";64,068214;88,014664;96,07309;84,521217;100,371719
"1020";"HSY.volume";15475800;12066000;21040600;26147100;18672600
"1021";"HUM.open";65,75;104,010002;137,649994;168,919998;211,929993
"1022";"HUM.high";68,760002;105,800003;151,520004;180,309998;217,800003
"1023";"HUM.low";64,459999;98,620003;137,179993;168,240005;197,610001
"1024";"HUM.close";68,629997;103,220001;143,630005;178,509995;204,029999
"1025";"HUM.adjclose";65,519577;99,908386;140,3228;175,554367;201,95639
"1026";"HUM.volume";28977600;21018300;24807500;18242700;30119200
"1027";"IBM.open";190,759995;179,460007;161,639999;139,580002;161,949997
"1028";"IBM.high";196,449997;187,789993;164,520004;141,399994;169,949997
"1029";"IBM.low";186,940002;172,729996;150,5;133,910004;158,300003
"1030";"IBM.close";191,550003;187,570007;160,440002;137,619995;165,990005
"1031";"IBM.adjclose";163,13176;162,842041;142,670593;126,374275;158,234299
"1032";"IBM.volume";79320200;97993100;101583300;97954000;68957500
"1033";"ICE.open";26,448;42,765999;45,202;52,304001;55,5
"1034";"ICE.high";27,08;45,414001;45,757999;53,200001;59,860001
"1035";"ICE.low";24,544001;42,074001;42,939999;48,074001;55,380001
"1036";"ICE.close";24,761999;44,984001;43,858002;51,251999;56,419998
"1037";"ICE.adjclose";20,08703;36,491196;37,97765;47,139832;55,395706
"1038";"ICE.volume";150972000;94125500;78656500;70751200;59348000
"1039";"IEP.open";40,799999;122,620003;107,400002;73,730003;57,740002
"1040";"IEP.high";45;149,770004;107,660004;75,760002;64,800003
"1041";"IEP.low";37,220001;105;90,010002;60,009998;56,299999
"1042";"IEP.close";44,700001;109,410004;92,470001;61,299999;59,919998
"1043";"IEP.adjclose";29,189941;75,225533;67,252655;47,906284;52,116707
"1044";"IEP.volume";245300;14630100;3166500;3080600;2937500
"1045";"ILMN.open";53,110001;97,870003;189,899994;185,089996;133,300003
"1046";"ILMN.high";57;115;196;196,470001;133,300003
"1047";"ILMN.low";50,810001;96,510002;172,089996;171,75;119,370003
"1048";"ILMN.close";55,59;110,589996;184,580002;191,949997;128,039993
"1049";"ILMN.adjclose";55,59;110,589996;184,580002;191,949997;128,039993
"1050";"ILMN.volume";30800800;24889800;20844000;32802000;28510700
"1051";"INTC.open";19,879999;24;37,209999;35;34,860001
"1052";"INTC.high";21,309999;26,040001;37,900002;35,59;37,349998
"1053";"INTC.low";19,5;23,4;35,330002;33,82;33,560001
"1054";"INTC.close";20,620001;25,959999;36,290001;34,450001;36,27
"1055";"INTC.adjclose";17,447372;22,842106;32,943806;32,214443;35,035267
"1056";"INTC.volume";805637100;614535900;600051700;427101000;405486600
"1057";"INTU.open";60;74,160004;93,25;100,940002;113,790001
"1058";"INTU.high";62,860001;76,889999;95,839996;102,580002;118,660004
"1059";"INTU.low";58,759998;73,470001;90,449997;94,68;111,480003
"1060";"INTU.close";59,48;76,32;92,190002;96,5;114,610001
"1061";"INTU.adjclose";56,01038;72,660606;88,686401;93,87252;112,803894
"1062";"INTU.volume";30385700;36193800;33800400;36356500;19845000
"1063";"IP.open";36,735699;45,986195;53,669998;41,919998;48,939999
"1064";"IP.high";39,329388;48,836292;55,73;42,119999;54,68
"1065";"IP.low";34,625248;44,753452;52,099998;36,759998;48,900002
"1066";"IP.close";39,28994;48,353058;53,580002;37,700001;53,060001
"1067";"IP.adjclose";32,881966;41,61631;47,50909;34,574726;50,802219
"1068";"IP.volume";67294600;78211400;53773200;70300800;56348400
"1069";"IPG.open";10,83;17,41;20,280001;23,139999;24,02
"1070";"IPG.high";11,48;17,809999;21,16;23,799999;24,42
"1071";"IPG.low";10,51;16,299999;19,18;22,209999;22,799999
"1072";"IPG.close";11,02;17,700001;20,77;23,280001;23,41
"1073";"IPG.adjclose";9,670939;15,8519;18,977551;21,757839;22,457561
"1074";"IPG.volume";100347900;74163700;55385100;67008000;74411000
"1075";"ISRG.open";176,25;126,073334;171,956665;173,676666;214,153336
"1076";"ISRG.high";184,653336;128,130005;179,610001;185,53334;217,399994
"1077";"ISRG.low";158,75;117,046669;165,553329;168,016663;203,570007
"1078";"ISRG.close";163,456665;128,026672;176,313339;182,053329;211,389999
"1079";"ISRG.adjclose";163,456665;128,026672;176,313339;182,053329;211,389999
"1080";"ISRG.volume";31593000;28862700;11874000;18712500;21206700
"1081";"ITT.open";22,379999;40,82;41,189999;39,599998;40,869999
"1082";"ITT.high";23,459999;43,66;41,82;40,119999;43,07
"1083";"ITT.low";22,07;39,73;37,779999;34,099998;37,91
"1084";"ITT.close";23,459999;43,419998;40,459999;36,32;38,57
"1085";"ITT.adjclose";22,036722;41,293308;38,759563;35,202797;37,891415
"1086";"ITT.volume";14985000;14450200;17614500;14445900;14945700
"1087";"ITW.open";61,959999;79,400002;94,75;94,300003;125,699997
"1088";"ITW.high";62,610001;84,32;97,790001;95;127,989998
"1089";"ITW.low";59,549999;77,300003;91,699997;90,870003;121,849998
"1090";"ITW.close";60,810001;84,080002;94,699997;92,68;127,019997
"1091";"ITW.adjclose";54,031296;76,47747;87,941063;87,977577;123,305267
"1092";"ITW.volume";49544200;38781600;35083700;33964500;27049500
"1093";"IVZ.open";25,110001;34,860001;40,25;33,860001;31,639999
"1094";"IVZ.high";26,370001;36,790001;41,509998;35;33,34
"1095";"IVZ.low";24,4;33,939999;38,049999;30,120001;29,959999
"1096";"IVZ.close";26,09;36,400002;39,52;33,48;30,34
"1097";"IVZ.adjclose";21,487516;30,785202;34,30587;30,151161;28,650906
"1098";"IVZ.volume";61547900;64230900;55159000;82008800;67006400
"1099";"JBHT.open";59,619999;75,68;82,160004;78,339996;95,489998
"1100";"JBHT.high";60;78,160004;85,540001;79,730003;102,379997
"1101";"JBHT.low";56,43;73,699997;79,470001;69,690002;95,209999
"1102";"JBHT.close";59,709999;77,300003;84,25;73,360001;97,07
"1103";"JBHT.adjclose";56,680458;74,020599;81,519676;71,717987;95,942757
"1104";"JBHT.volume";15327900;12722200;15032200;18338700;20587900
"1105";"JCI.open";29,727749;40;44,712044;37,05759;45,099998
"1106";"JCI.high";31,078533;43,39267;46,952881;37,193718;45,91
"1107";"JCI.low";28,984293;38,848167;43,151833;32,293194;40,990002
"1108";"JCI.close";30,628273;42,973824;45,926701;33,39267;41,189999
"1109";"JCI.adjclose";22,247026;32,553627;36,089382;27,431526;39,654423
"1110";"JCI.volume";60803800;55748200;47400200;66607600;115691700
"1111";"JNJ.open";69,800003;94,410004;107,889999;101,730003;111,360001
"1112";"JNJ.high";71,620003;94,790001;108,989998;105,489998;117,300003
"1113";"JNJ.low";69,18;89,769997;102,5;100,309998;109,32
"1114";"JNJ.close";70,099998;91,589996;104,57;102,720001;115,209999
"1115";"JNJ.adjclose";60,554508;81,521149;95,654732;96,747284;111,577843
"1116";"JNJ.volume";232603000;151086000;175446100;161913500;137353100
"1117";"JNPR.open";18,1;20,27;22,09;30,299999;27,6
"1118";"JNPR.high";20,67;22,709999;23,1;30,549999;29,209999
"1119";"JNPR.low";17,83;20,110001;21,030001;27,02;26,51
"1120";"JNPR.close";19,67;22,57;22,32;27,6;28,26
"1121";"JNPR.adjclose";18,503527;21,231548;21,182566;26,58742;27,675579
"1122";"JNPR.volume";141675100;160753500;106318700;131316500;69680700
"1123";"JPM.open";41,27;57,099998;59,98;67,339996;80,650002
"1124";"JPM.high";44,540001;58,549999;63,490002;68;87,389999
"1125";"JPM.low";40,200001;55,400002;58,110001;63,509998;80,650002
"1126";"JPM.close";43,970001;58,48;62,580002;66,029999;85,489998
"1127";"JPM.adjclose";38,11937;52,121895;57,273003;62,068218;82,730141
"1128";"JPM.volume";461095700;330218200;347616300;316286300;378016700
"1129";"JWN.open";54,07;62,09;76,07;56,5;55,77
"1130";"JWN.high";54,34;62,560001;80,540001;57,93;61,849998
"1131";"JWN.low";50,939999;59,310001;73,290001;49,34;47,75
"1132";"JWN.close";53,5;61,799999;79,389999;49,810001;47,93
"1133";"JWN.adjclose";43,738552;51,578323;67,551964;46,352451;45,974361
"1134";"JWN.volume";45481700;23190100;23346400;83704300;65666300
"1135";"K.open";55,57;60,639999;65,849998;69,389999;71,610001
"1136";"K.high";57,209999;62,310001;67,440002;73,68;74,489998
"1137";"K.low";54,529999;59,580002;63,669998;68,199997;70,739998
"1138";"K.close";55,849998;61,07;65,440002;72,269997;73,709999
"1139";"K.adjclose";47,875923;53,906181;59,49189;67,707237;70,924644
"1140";"K.volume";30155600;33262800;36362400;37202500;35579800
"1141";"KEY.open";8,15;12,82;13,44;13,17;17,42
"1142";"KEY.high";8,57;13,55;14,18;13,47;18,620001
"1143";"KEY.low";7,81;12,49;13;12,5;17,42
"1144";"KEY.close";8,42;13,42;13,9;13,19;18,27
"1145";"KEY.adjclose";7,538735;12,248957;12,926451;12,524176;17,801716
"1146";"KEY.volume";228646300;179301800;203858600;306920300;274176700
"1147";"KIM.open";19,34;20,58;25,41;26,299999;25,459999
"1148";"KIM.high";19,83;21,209999;26,040001;27,129999;26,629999
"1149";"KIM.low";18,92;19,709999;24,84;24,98;24,35
"1150";"KIM.close";19,32;19,75;25,139999;26,459999;25,16
"1151";"KIM.adjclose";15,14071;16,118931;21,392487;23,408043;23,060181
"1152";"KIM.volume";67393200;120048600;78871700;74413200;76024200
"1153";"KLAC.open";45,720001;63,599998;69,07;66,769997;79,690002
"1154";"KLAC.high";48,790001;64,650002;73,120003;70,279999;81,690002
"1155";"KLAC.low";45,139999;60,5;66,220001;66,610001;74,660004
"1156";"KLAC.close";47,759998;64,459999;70,32;69,349998;78,68
"1157";"KLAC.adjclose";33,028217;45,893517;64,002464;65,301712;76,368011
"1158";"KLAC.volume";29493700;22682400;33550300;28598300;36264300
"1159";"KMB.open";82,291466;104,372002;115,610001;120;115,07
"1160";"KMB.high";82,86673;104,88974;118,830002;129,889999;116,589996
"1161";"KMB.low";79,300095;98,302971;111,860001;117,519997;113,089996
"1162";"KMB.close";80,949188;100,153404;115,540001;127,300003;114,120003
"1163";"KMB.adjclose";67,883804;87,044746;103,678894;117,936218;108,78643
"1164";"KMB.volume";36810500;34119700;38598500;38290500;33226100
"1165";"KMI.open";34,060001;35,540001;41,150002;23,6;22,4
"1166";"KMI.high";35,5;36,509998;43,18;23,620001;22,450001
"1167";"KMI.low";33,310001;32,299999;37,060001;14,22;20,610001
"1168";"KMI.close";35,330002;36;42,310001;14,92;20,709999
"1169";"KMI.adjclose";28,871088;30,658022;37,76709;14,061294;20,069427
"1170";"KMI.volume";87174400;144908200;589873700;1509067700;286966100
"1171";"KMX.open";36,599998;50,389999;56,639999;57,360001;58,150002
"1172";"KMX.high";38,240002;53,080002;68,709999;60;66,639999
"1173";"KMX.low";34,209999;46,610001;55,860001;50,57;57,759998
"1174";"KMX.close";37,540001;47,02;66,580002;53,970001;64,389999
"1175";"KMX.adjclose";37,540001;47,02;66,580002;53,970001;64,389999
"1176";"KMX.volume";46702700;35422700;48904000;75981000;47616400
"1177";"KO.open";37,900002;40,099998;44,18;42,73;40,310001
"1178";"KO.high";37,990002;41,389999;44,77;43,91;42,220001
"1179";"KO.low";35,580002;38,869999;39,799999;41,970001;39,880001
"1180";"KO.close";36,25;41,310001;42,220001;42,959999;42
"1181";"KO.adjclose";30,753624;36,053406;37,952011;39,902683;40,278061
"1182";"KO.volume";269626400;301144500;326860800;286519600;324399500
"1183";"KR.open";13,165;20,865;29,905001;38,009998;31,16
"1184";"KR.high";13,555;21,125;32,490002;42,75;36,439999
"1185";"KR.low";12,785;19,43;29,27;37,849998;31,09
"1186";"KR.close";13,01;19,764999;32,105;41,830002;34,509998
"1187";"KR.adjclose";11,582127;18,22139;30,468746;40,338921;33,724388
"1188";"KR.volume";180179600;155916000;144860600;184478500;174509800
"1189";"KSS.open";44,470001;55,110001;59,389999;47,27;53,5
"1190";"KSS.high";45,209999;56,889999;62,02;49,529999;59,669998
"1191";"KSS.low";42,040001;53,619999;55,869999;44,060001;49,119999
"1192";"KSS.close";42,98;56,75;61,040001;47,630001;49,380001
"1193";"KSS.adjclose";35,176598;47,774204;52,803909;42,411533;45,978344
"1194";"KSS.volume";70734800;47052800;61816700;80901100;79642700
"1195";"KSU.open";78,239998;121,410004;117,989998;91,019997;89,169998
"1196";"KSU.high";84,160004;124,099998;123,959999;91,970001;89,760002
"1197";"KSU.low";76;116,050003;109,57;69,699997;83,360001
"1198";"KSU.close";83,480003;123,830002;122,029999;74,669998;84,849998
"1199";"KSU.adjclose";78,058861;116,789474;116,217712;71,989067;83,075882
"1200";"KSU.volume";17986000;13520900;20507900;47387700;33946500
"1201";"L.open";41,02;47,459999;41,529999;38,049999;44,869999
"1202";"L.high";41,779999;48,299999;42,889999;38,880001;48,049999
"1203";"L.low";39,919998;46,25;39,040001;36,279999;44,68
"1204";"L.close";40,75;48,240002;42,02;38,400002;46,830002
"1205";"L.adjclose";39,531151;47,055004;41,224922;37,917313;46,527927
"1206";"L.volume";21666700;12933300;34781100;30384100;18736800
"1207";"LB.open";52,5;64,82;80,860001;95,839996;70,199997
"1208";"LB.high";52,5;67,120003;87,580002;99,830002;75,5
"1209";"LB.low";45,259998;55,68;79,900002;94,349998;65,339996
"1210";"LB.close";47,060001;61,849998;86,550003;95,82;74,360001
"1211";"LB.adjclose";37,688065;53,779064;76,917244;87,127769;69,876587
"1212";"LB.volume";51058900;26226200;30307600;24783100;36090200
"1213";"LH.open";84,589996;101,580002;104,639999;122,459999;125,900002
"1214";"LH.high";88,940002;101,610001;109,839996;126,239998;130,809998
"1215";"LH.low";82,980003;87,010002;99,889999;117,629997;123,360001
"1216";"LH.close";86,620003;91,370003;107,900002;123,639999;128,380005
"1217";"LH.adjclose";86,620003;91,370003;107,900002;123,639999;128,380005
"1218";"LH.volume";12563600;28748500;29074300;19187400;12803800
"1219";"LLL.open";77,050003;103,459999;124,300003;123,300003;157,690002
"1220";"LLL.high";77,910004;108,690002;129,259995;125,699997;161,910004
"1221";"LLL.low";74,629997;100,580002;119,5;116,43;151,399994
"1222";"LLL.close";76,620003;106,860001;126,209999;119,510002;152,110001
"1223";"LLL.adjclose";68,682648;98,233833;118,508942;114,66124;148,939011
"1224";"LLL.volume";14587500;11794600;18268300;12632900;11666600
"1225";"LLY.open";49,209999;50,299999;67,970001;84,209999;67,290001
"1226";"LLY.high";50,759998;51,380001;75,099998;88,160004;74,489998
"1227";"LLY.low";47,610001;48,880001;67,599998;82,559998;65,660004
"1228";"LLY.close";49,32;51;68,989998;84,260002;73,550003
"1229";"LLY.adjclose";42,220459;45,296886;63,304035;79,378502;71,147881
"1230";"LLY.volume";136541100;86488300;113005400;86132900;131624000
"1231";"LMT.open";93,25;141,850006;190,929993;220,059998;265,290009
"1232";"LMT.high";93,669998;149,990005;198,720001;223,100006;269,899994
"1233";"LMT.low";88,790001;135,389999;182,410004;211,850006;245,5
