"";"test";"2012";"2013";"2014";"2015";"2016"
"334";"BMY.close";32,59;53,150002;59,029999;68,790001;57,040001
"335";"BMY.adjclose";28,053537;47,35791;54,103329;64,569313;54,818752
"336";"BMY.volume";169576100;131146400;130195700;112861600;189353200
"337";"BSX.open";5,67;11,61;12,79;18,450001;20,459999
"338";"BSX.high";5,84;12,28;13,41;18,940001;21,940001
"339";"BSX.low";5,46;11,12;12,56;17,99;19,67
"340";"BSX.close";5,73;12,02;13,25;18,440001;21,629999
"341";"BSX.adjclose";5,73;12,02;13,25;18,440001;21,629999
"342";"BSX.volume";230346400;224925600;236225600;166756800;158369000
"343";"BWA.open";33,244999;53,759998;56,470001;42,810001;35,98
"344";"BWA.high";35,924999;56,450001;58,82;44,349998;41,98
"345";"BWA.low";33,009998;51,709999;51,290001;39,529999;35,740002
"346";"BWA.close";35,810001;55,91;54,950001;43,23;41,860001
"347";"BWA.adjclose";33,685822;53,123753;52,670017;41,861942;41,176559
"348";"BWA.volume";46968400;27460900;36961100;34214800;62482500
"349";"BX.open";14,85;28,799999;33,299999;31,450001;25,969999
"350";"BX.high";15,59;31,940001;34,700001;31,870001;30,25
"351";"BX.low";14,55;27,639999;32,130001;26,82;25,57
"352";"BX.close";15,59;31,5;33,830002;29,24;29,52
"353";"BX.adjclose";10,975853;23,444284;26,709368;24,893618;26,772202
"354";"BX.volume";56227300;82435100;86446300;119208500;134149400
"355";"BXP.open";102,970001;99,849998;129,479996;125,870003;123,169998
"356";"BXP.high";106,870003;105,220001;137,149994;130,679993;130,660004
"357";"BXP.low";101,959999;98,040001;128,350006;121,120003;121,18
"358";"BXP.close";105,809998;100,370003;128,690002;127,540001;125,779999
"359";"BXP.adjclose";93,308548;90,76297;119,117554;120,478821;121,230141
"360";"BXP.volume";15976600;19229300;18900300;16560400;16540300
"361";"C.open";34,959999;52,959999;53,799999;54,400002;56,77
"362";"C.high";40,18;53,41;56,950001;55,330002;61,299999
"363";"C.low";34,07;50,27;51,110001;50,5;55,93
"364";"C.close";39,560001;52,110001;54,110001;51,75;59,43
"365";"C.adjclose";38,303661;50,497944;52,478382;50,336422;58,341579
"366";"C.volume";764120200;402157100;394695100;359001500;448406800
"367";"CA.open";22,32;32,970001;30,969999;28,18;31,93
"368";"CA.high";22,66;33,790001;31,73;29,459999;33,040001
"369";"CA.low";21,67;31,610001;28,83;27,09;30,01
"370";"CA.close";21,98;33,650002;30,450001;28,559999;31,77
"371";"CA.adjclose";18,450525;29,254169;27,371103;26,574411;30,552975
"372";"CA.volume";88291400;53204400;59400100;68035000;52600100
"373";"CAG.open";23,276264;25,680933;28,287937;32;36,380001
"374";"CAG.high";24,217899;26,396887;29,151751;33,392998;39,970001
"375";"CAG.low";22,396887;24,14786;27,291828;30,326849;35,959999
"376";"CAG.close";22,957199;26,225681;28,233463;32,809338;38,439999
"377";"CAG.adjclose";19,405975;23,022856;25,798422;30,979496;37,364628
"378";"CAG.volume";96143000;81652100;76923800;79178500;75422600
"379";"CAH.open";40,610001;64,360001;81,809998;87,389999;70,940002
"380";"CAH.high";42,740002;67,75;83,400002;91,230003;74,32
"381";"CAH.low";40,220001;62,549999;79,029999;85,339996;68,599998
"382";"CAH.close";41,18;66,809998;80,730003;89,269997;71,970001
"383";"CAH.adjclose";36,196445;60,232071;74,132828;83,428612;68,669609
"384";"CAH.volume";39596500;54828600;31752500;36212400;54591700
"385";"CAT.open";85,919998;84,699997;100,239998;72,330002;96
"386";"CAT.high";91,830002;91,669998;101,459999;72,639999;97,400002
"387";"CAT.low";83,75;83,110001;88,029999;64,099998;91
"388";"CAT.close";89,610001;90,809998;91,529999;67,959999;92,739998
"389";"CAT.adjclose";76,06321;79,117989;81,868546;63,060349;89,61248
"390";"CAT.volume";115496400;103160000;123785900;140848000;88171700
"391";"CBG.open";18,93;24,25;33,66;37,5;29,120001
"392";"CBG.high";20,549999;26,58;35,369999;37,790001;33,209999
"393";"CBG.low";18,33;24,049999;31,950001;33,5;28,91
"394";"CBG.close";19,9;26,299999;34,25;34,580002;31,49
"395";"CBG.adjclose";19,9;26,299999;34,25;34,580002;31,49
"396";"CBG.volume";44701700;44714600;43076100;36805800;49829200
"397";"CBS.open";36,209999;58,599998;54,560001;50,759998;60,740002
"398";"CBS.high";38,099998;64,059998;56,669998;51,259998;65,089996
"399";"CBS.low";34,720001;57,52;51,389999;45,369999;59,32
"400";"CBS.close";38,049999;63,740002;55,34;47,130001;63,619999
"401";"CBS.adjclose";35,810566;60,638283;53,087532;45,722305;62,479919
"402";"CBS.volume";115567400;83984500;130223700;92661100;92841100
"403";"CCE.open";31,32;41,93;43,630001;50,720001;32,57
"404";"CCE.high";32,5;44,360001;45,57;51,299999;32,73
"405";"CCE.low";30,870001;40,549999;41,77;48,099998;30,549999
"406";"CCE.close";31,73;44,130001;44,220001;49,240002;31,4
"407";"CCE.adjclose";20,193712;28,678843;29,373154;33,486496;30,210827
"408";"CCE.volume";64842900;36578800;46950900;53549800;43671000
"409";"CCI.open";67,849998;74,099998;82,809998;86,18;83,190002
"410";"CCI.high";72,300003;76,080002;83,190002;88,150002;88,25
"411";"CCI.low";65,970001;70,43;74,449997;84,160004;80,82
"412";"CCI.close";72,160004;73,43;78,699997;86,449997;86,769997
