"";"Companies";"Year";"Ticker";"Date";"Ra";"Beta";"AlphaJensen";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"78";124;2014;"DPS";2014-12-01;-0,0260813395762649;-0,150827413415878;-0,0261718360243144;0,09;1,97;0,31;0;0,07;0;0;1;1;1;9,92;1,13;0,11;2
"79";125;2012;"DTE";2012-12-01;0,00150487008561546;0,293007925313972;-0,0020526234330894;0,02;0,65;0,08;0,6;0,26;0,6;0,12;0;1;0;10,42;0,95;0,07;11
"80";125;2013;"DTE";2013-12-01;0,00471607080757033;0,293007925313972;-0,00351745189375227;0,03;0,75;0,09;0,08;0,03;0,12;0,03;1;1;1;10,41;0,91;0,07;11
"81";125;2014;"DTE";2014-12-01;0,0669808342977085;0,293007925313972;0,0671566390528969;0,03;0,83;0,11;0,12;0,04;0,14;0,05;1;1;1;10,45;1;0,07;11
"82";126;2012;"DUK";2012-12-01;-0,000313473113804027;0,350580883576581;-0,00455032754000768;0,02;0,71;0,06;0,03;0,12;0,6;0,79;1;0;1;11,06;0,89;0,09;11
"83";126;2013;"DUK";2013-12-01;-0,0136723377703277;0,350580883576581;-0,0235236605988296;0,02;0,74;0,07;0,05;0,02;0,09;0,11;1;1;1;11,06;0,92;0,11;11
"84";126;2014;"DUK";2014-12-01;0,0321118697881306;0,350580883576581;0,0323222183182765;0,02;0,79;0,05;0,02;0,02;0,06;0,09;1;1;1;11,08;0,91;0,08;11
"85";127;2012;"DVA";2012-12-01;0,0231557321040093;-0,190944483159355;0,0253088770052897;0,05;1,19;0,2;0,29;0,11;0,24;0,03;1;0;0;10,2;2,21;0,07;5
"86";127;2013;"DVA";2013-12-01;0,0621742685463901;-0,190944483159355;0,0675398085231679;0,04;1,21;0,15;0,06;0,04;0;0;0;1;0;10,23;1,84;0,05;5
"87";127;2014;"DVA";2014-12-01;-0,0103764116875362;-0,190944483159355;-0,0104909783774319;0,04;1,31;0,15;0;0,04;0;0;0;1;0;10,25;1,62;0,06;5
"88";128;2012;"DVN";2012-12-01;0,0109548572919469;0,759691388492534;0,00189049890773497;0;0,61;-0,01;0,58;0,12;0,39;0;0;1;1;10,64;0,4;-0,02;3
"89";128;2013;"DVN";2013-12-01;0,0240341945635777;0,759691388492534;0,00268686654693746;0;0,74;0;0;0,02;0,06;0;1;1;1;10,63;0,39;0;3
"90";128;2014;"DVN";2014-12-01;0,041486517895911;0,759691388492534;0,0419423327290065;0,03;0,68;0,07;0;0,08;0,08;0;1;1;1;10,7;0,46;0,08;3
"91";129;2012;"EBAY";2012-12-01;-0,0350642613201067;0,793094393785973;-0,0445227751667812;0,08;0,58;0,13;0,3;0,45;0;0;0;0;1;10,57;0,2;0,19;7
"92";129;2013;"EBAY";2013-12-01;0,0825974473400954;0,793094393785973;0,0603114948747096;0,07;0,56;0,13;0,1;0,11;0;0;0;0;1;10,62;0,17;0,18;7
"93";129;2014;"EBAY";2014-12-01;0,022343249814527;0,793094393785973;0,0228191064507985;0;0,59;0;0,13;0,08;0,15;0;0;0;1;10,65;0,34;0;7
"94";13;2012;"ADS";2012-12-01;0,0158052108405863;1,26035062716978;0,000833073439982816;0,07;0,65;0,12;0;0;0;0;0;0;0;10,08;8,91;0,11;7
"95";13;2013;"ADS";2013-12-01;0,0818761668402418;1,26035062716978;0,0464603142167709;0,06;1,03;0,12;0;0,08;0;0;0;0;0;10,12;0,35;0,11;7
"96";13;2014;"ADS";2014-12-01;0,000629349338349831;1,26035062716978;0,0013855597146517;0,03;0,93;0,05;0;0,05;0;0;0;0;0;10,31;0,33;0,05;7
"97";130;2012;"ECL";2012-12-01;0,000759101756037926;0,696235578914745;-0,00755647807515607;0,04;1,43;0,12;0,73;0,8;0,84;0,6;1;1;1;10,24;0,94;0,06;8
"98";130;2013;"ECL";2013-12-01;-0,0247551884224874;0,696235578914745;-0,0443194081899917;0,05;1,85;0,14;0,13;0,14;0,14;0,06;1;1;1;10,29;0,82;0,07;8
"99";130;2014;"ECL";2014-12-01;-0,0383518701525338;0,696235578914745;-0,037934128805185;0,06;1,84;0,16;0,13;0,14;0,14;0,08;1;1;1;10,29;0,66;0,08;8
"100";131;2012;"EFX";2012-12-01;0,0546832521518482;1,00776864955482;0,0426915820871013;0,07;1,79;0,15;0;0;0;0;0;0;0;9,65;0,75;0,13;6
"101";131;2013;"EFX";2013-12-01;0,0258038058936998;1,00776864955482;-0,00251449315879061;0,08;2,11;0,16;0;0;0;0;0;0;0;9,66;0,5;0,15;6
"102";131;2014;"EFX";2014-12-01;0,0164569567830084;1,00776864955482;0,0170616179727413;0,08;2,37;0,16;0;0,03;0;0;0;0;0;9,67;0,52;0,15;6
"103";132;2012;"EIX";2012-12-01;0,00114994387902498;0,524788296779977;-0,00514255802297875;0;0,56;-0,02;0;0;0;0;0;0;0;10,65;0,98;-0,02;11
"104";132;2013;"EIX";2013-12-01;0,00966599192923792;0,524788296779977;-0,00508055921027945;0,02;0,61;0,09;0;0;0;0;0;0;0;10,67;0,99;0,07;11
"105";132;2014;"EIX";2014-12-01;0,0359611875361681;0,524788296779977;0,036276060514236;0,03;0,67;0,15;0;0,12;0;0;0;0;0;10,7;0,93;0,12;11
"106";134;2012;"EMN";2012-12-01;0,116555288731351;1,64612506420765;0,0970310129737005;0,05;1,19;0,17;0;0,19;0;0;1;1;0;10,07;1,62;0,05;8
