"";"Date";"Ticker";"AdjClose";"Volume";"CompoundedReturn";"Mkt.RF";"SMB";"HML";"RF";"Rm"
"113";2011-12-01;"MJN";68,730003;75981900;NA;0,74;-0,71;1,74;0;0,74
"114";2011-12-01;"MKC";44,231907;10909000;NA;0,74;-0,71;1,74;0;0,74
"115";2011-12-01;"MKL";414,670013;455200;NA;0,74;-0,71;1,74;0;0,74
"116";2011-12-01;"MMC";27,367628;54493200;NA;0,74;-0,71;1,74;0;0,74
"117";2011-12-01;"MMM";70,042168;79927400;NA;0,74;-0,71;1,74;0;0,74
"118";2011-12-01;"MNST";15,356667;101317800;NA;0,74;-0,71;1,74;0;0,74
"119";2011-12-01;"MO";22,236443;322979000;NA;0,74;-0,71;1,74;0;0,74
"120";2011-12-01;"MON";62,341473;66971600;NA;0,74;-0,71;1,74;0;0,74
"121";2011-12-01;"ACIW";9,546667;12758400;NA;0,74;-0,71;1,74;0;0,74
"122";2011-12-01;"ADBE";28,27;112056500;NA;0,74;-0,71;1,74;0;0,74
"123";2011-12-01;"ADI";30,164639;64225700;NA;0,74;-0,71;1,74;0;0,74
"124";2011-12-01;"ADM";24,343939;83518700;NA;0,74;-0,71;1,74;0;0,74
"125";2011-12-01;"ADP";39,887402;51499900;NA;0,74;-0,71;1,74;0;0,74
"126";2011-12-01;"ADS";102,427101;11771900;NA;0,74;-0,71;1,74;0;0,74
"127";2011-12-01;"ADSK";30,33;57546100;NA;0,74;-0,71;1,74;0;0,74
"128";2011-12-01;"AEE";25,430843;46834700;NA;0,74;-0,71;1,74;0;0,74
"129";2011-12-01;"AEP";32,379513;68592800;NA;0,74;-0,71;1,74;0;0,74
"130";2011-12-01;"AET";38,981659;70369300;NA;0,74;-0,71;1,74;0;0,74
"131";2011-12-01;"AFL";15,798776;147709000;NA;0,74;-0,71;1,74;0;0,74
"132";2011-12-01;"AGN";58,962959;25972800;NA;0,74;-0,71;1,74;0;0,74
"133";2011-12-01;"AIG";21,510433;105934900;NA;0,74;-0,71;1,74;0;0,74
"134";2011-12-01;"AKAM";32,279999;98619600;NA;0,74;-0,71;1,74;0;0,74
"135";2011-12-01;"ALL";24,217012;87511500;NA;0,74;-0,71;1,74;0;0,74
"136";2011-12-01;"ALXN";71,5;23702600;NA;0,74;-0,71;1,74;0;0,74
"137";2011-12-01;"AMAT";9,461192;325931000;NA;0,74;-0,71;1,74;0;0,74
"138";2011-12-01;"AME";26,878107;17224100;NA;0,74;-0,71;1,74;0;0,74
"139";2011-12-01;"AMG";95,344612;7643600;NA;0,74;-0,71;1,74;0;0,74
"140";2011-12-01;"AMGN";55,952568;219879200;NA;0,74;-0,71;1,74;0;0,74
"141";2011-12-01;"AMP";42,590668;49716000;NA;0,74;-0,71;1,74;0;0,74
"142";2011-12-01;"AMT";53,578911;61122000;NA;0,74;-0,71;1,74;0;0,74
"143";2011-12-01;"AMZN";173,100006;125595200;NA;0,74;-0,71;1,74;0;0,74
"144";2011-12-01;"ANDV";20,756096;87526100;NA;0,74;-0,71;1,74;0;0,74
"145";2011-12-01;"APA";82,612465;56254300;NA;0,74;-0,71;1,74;0;0,74
"146";2011-12-01;"APC";72,612328;61612700;NA;0,74;-0,71;1,74;0;0,74
"147";2011-12-01;"O";26,085402;16865400;NA;0,74;-0,71;1,74;0;0,74
"148";2011-12-01;"OKE";27,870157;34769100;NA;0,74;-0,71;1,74;0;0,74
"149";2011-12-01;"OMC";37,562614;34819900;NA;0,74;-0,71;1,74;0;0,74
"150";2011-12-01;"ORCL";23,520905;744294800;NA;0,74;-0,71;1,74;0;0,74
"151";2011-12-01;"ORLY";79,949997;17401000;NA;0,74;-0,71;1,74;0;0,74
