Ticker;Variable;2012;2013;2014;2015;2016
ALL;low;39.540.001;51.75;66.809.998;60.759.998;69.760.002
ALL;close;40.169.998;54.540.001;70.25;62.09;74.120.003
ALL;adjclose;3.638.213;50.419.987;66.167.885;59.586.411;7.253.096
ALL;volume;64590900;46420600;49377200;55500000;40550700
ALXN;open;96.239.998;124.580.002;194.649.994;179.960.007;122.779.999
ALXN;high;97.800.003;133.75;203.300.003;193.449.997;134.059.998
ALXN;low;90.080.002;120.139.999;176.009.995;167.020.004;109.120.003
ALXN;close;93.739.998;132.880.005;185.029.999;190.75;122.349.998
ALXN;adjclose;93.739.998;132.880.005;185.029.999;190.75;122.349.998
ALXN;volume;23005500;22257700;26626500;29161800;75671600
AMAT;open;10.78;17.27;24.040.001;18.74;32.139.999
AMAT;high;11.5;17.700.001;25.709.999;19.41;33.68
AMAT;low;10.63;16.41;23.120.001;17.82;29.85
AMAT;close;11.44;17.68;24.92;18.67;32.27
AMAT;adjclose;10.425.414;16.529.837;23.752.625;18.166.861;31.919.613
AMAT;volume;218798000;220091800;277428700;284361000;205512400
AME;open;37.5;49.16;50.709.999;56.619.999;47.720.001
AME;high;38.209.999;52.889.999;54.25;56.93;51.259.998
AME;low;36.790.001;48.130.001;48.369.999;52.810.001;47.52
AME;close;37.57;52.669.998;52.630.001;53.59;48.599.998
AME;adjclose;36.276.711;51.152.023;51.407.623;52.703.861;48.143.311
AME;volume;18557600;19391600;25169900;33261500;43425400
AMG;open;129.729.996;200.429.993;201.940.002;177.669.998;149.009.995
AMG;high;132.330.002;217.479.996;216.490.005;180.009.995;162.850.006
AMG;low;126.650.002;195.520.004;189.25;141.679.993;142.960.007
AMG;close;130.149.994;216.880.005;212.240.005;159.759.995;145.300.003
AMG;adjclose;129.328.827;215.511.642;210.900.909;158.752.014;14.438.324
AMG;volume;5435300;6015200;9124000;14603900;12084900
AMGN;open;88.919.998;114.290.001;165.119.995;162.710.007;144.240.005
AMGN;high;90.809.998;115.949.997;173.139.999;165.229.996;151.210.007
AMGN;low;84.559.998;109.709.999;154.360.001;153.429.993;138.830.002
AMGN;close;86.199.997;114.080.002;159.289.993;162.330.002;146.210.007
AMGN;adjclose;76.560.364;10.320.076;146.888.992;152.699.127;141.161.163
AMGN;volume;73217900;58493700;77006400;67351500;70524400
AMP;open;60.919.998;108.309.998;131.270.004;113.639.999;115.43
AMP;high;63.75;115.360.001;137.330.002;115.290.001;119.32
AMP;low;60.48;105.68;124.010.002;100.080.002;109.190.002
AMP;close;62.630.001;115.050.003;132.25;106.419.998;110.940.002
AMP;adjclose;55.157.623;103.877.144;121.769.165;100.042.824;107.798.286
AMP;volume;25280800;20532300;18858500;23943300;22010500
AMT;open;75;77.629.997;103.75;99.5;101.360.001
AMT;high;77.269.997;80.129.997;105.089.996;101.239.998;108.169.998
AMT;low;73.519.997;75.650.002;95.580.002;92.879.997;99.720.001
AMT;close;77.269.997;79.82;98.849.998;96.949.997;105.68
AMT;adjclose;70.078.018;73.398.865;92.302.269;92.170.807;102.494.759
AMT;volume;37772300;43255800;42336200;42755600;53513800
AMZN;open;252.539.993;399;338.119.995;673.75;752.409.973
AMZN;high;263.109.985;405.630.005;340.640.015;696.440.002;782.460.022
AMZN;low;242.75;379.5;293.029.999;63.527.002;736.700.012
AMZN;close;250.869.995;398.790.009;310.350.006;675.890.015;768.659.973
AMZN;adjclose;250.869.995;398.790.009;310.350.006;675.890.015;768.659.973
AMZN;volume;60871200;55686700;86821400;90162400;79279600
ANDV;open;42.419.998;58.889.999;76.629.997;115.889.999;82.18
ANDV;high;45.41;59.57;79.050.003;118.260.002;93.059.998
ANDV;low;38.419.998;54.66;69.050.003;98.07;81.349.998
ANDV;close;44.049.999;58.5;74.349.998;105.370.003;87.449.997
ANDV;adjclose;39.401.314;53.211.781;68.853.249;99.492.775;8.479.557
ANDV;volume;57922000;73883300;66484900;41823100;44169800
APA;open;77.720.001;91.220.001;63.41;49.34;67.389.999
APA;high;80.970.001;91.849.998;65.720.001;49.73;69
APA;low;74.699.997;84.150.002;54.34;41.599.998;63.27
APA;close;78.5;85.940.002;62.669.998;44.470.001;63.470.001
APA;adjclose;72.121.071;79.713.821;58.788.738;42.476.219;61.871.624
APA;volume;60628200;49345900;134819800;102913900;58060300
APC;open;73.949.997;88.919.998;78.760.002;60.09;70.769.997
APC;high;76.949.997;89.699.997;85.209.999;61.189.999;73.330.002
APC;low;71.769.997;73.599.998;71;44.5;66.510.002
APC;close;74.309.998;79.32;82.5;48.580.002;70.470.001
APC;adjclose;71.033.318;76.219.566;80.015.587;47.772.835;69.835.335
APC;volume;59187500;129986800;158177800;173565500;94104400
APD;open;76.965.775;100.786.308;132.867.722;126.493.988;144.419.998
APD;high;79.842.735;105.448.662;138.399.628;129.019.424;150.449.997
APD;low;75.078.629;97.816.833;125.263.641;118.223.869;143.229.996
APD;close;77.724.327;103.404.259;13.342.276;120.360.779;149.550.003
APD;adjclose;67.051.491;92.105.133;122.037.254;112.828.697;143.905.228
APD;volume;20374700;20829000;26207400;36283100;23297500
APH;open;31.225;42.514.999;53.41;55.240.002;68.230.003
APH;high;32.630.001;44.73;55.66;55.68;68.949.997
APH;low;30.1;42.169.998;51.169.998;51.599.998;66.349.998
APH;close;32.349.998;44.59;53.810.001;52.23;67.199.997
APH;adjclose;30.325.188;42.402.252;52.099.869;51.047.962;6.632.016
APH;volume;18134000;18720600;26002200;21500100;24328400
ATVI;open;11.49;17.33;21.629.999;37.860.001;36.650.002
ATVI;high;11.74;18.4;21.98;39.93;38.16
