"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"6839","CSX",2016-12-01,2016,0.00334525602398219,3e-04,0.0185,0.00304525602398219,0.0182,1.1534942768932,-0.017948339815474
"6852","CTL",2011-12-01,2011,0.011261514957364,0,0.0074,0.011261514957364,0.0074,0.64845554106342,0.00646294395349468
"6855","CTL",2012-12-01,2012,0.0260305347624738,1e-04,0.0119,0.0259305347624738,0.0118,0.64845554106342,0.0182787593779254
"6871","CTL",2013-12-01,2013,0.0367747130280163,0,0.0281,0.0367747130280163,0.0281,0.64845554106342,0.0185531123241342
"6888","CTL",2014-12-01,2014,-0.0296223221353661,0,-6e-04,-0.0296223221353661,-6e-04,0.64845554106342,-0.0292332488107281
"6893","CTL",2015-12-01,2015,-0.0679854661690695,1e-04,-0.0216,-0.0680854661690695,-0.0217,0.64845554106342,-0.0540139809279933
"6912","CTL",2016-12-01,2016,0.0109937626731628,3e-04,0.0185,0.0106937626731628,0.0182,0.64845554106342,-0.00110812817419142
"6916","CTSH",2011-12-01,2011,-0.046187730782178,0,0.0074,-0.046187730782178,0.0074,0.756842563123996,-0.0517883657492956
"6933","CTSH",2012-12-01,2012,0.0943224794370932,1e-04,0.0119,0.0942224794370932,0.0118,0.756842563123996,0.08529173719223
"6947","CTSH",2013-12-01,2013,0.0727986777391043,0,0.0281,0.0727986777391043,0.0281,0.756842563123996,0.05153140171532
"6956","CTSH",2014-12-01,2014,-0.0249428156705686,0,-6e-04,-0.0249428156705686,-6e-04,0.756842563123996,-0.0244887101326942
"6967","CTSH",2015-12-01,2015,-0.073226981157594,1e-04,-0.0216,-0.073326981157594,-0.0217,0.756842563123996,-0.0569034975378033
"6981","CTSH",2016-12-01,2016,0.0171005182931694,3e-04,0.0185,0.0168005182931694,0.0182,0.756842563123996,0.00302598364431267
"6996","CTXS",2011-12-01,2011,-0.16188464971331,0,0.0074,-0.16188464971331,0.0074,1.12895785245934,-0.170238937821509
"6998","CTXS",2012-12-01,2012,0.0703871470290705,1e-04,0.0119,0.0702871470290705,0.0118,1.12895785245934,0.0569654443700503
"7017","CTXS",2013-12-01,2013,0.0641486075531743,0,0.0281,0.0641486075531743,0.0281,1.12895785245934,0.0324248918990669
"7021","CTXS",2014-12-01,2014,-0.0385875268466859,0,-6e-04,-0.0385875268466859,-6e-04,1.12895785245934,-0.0379101521352103
"7035","CTXS",2015-12-01,2015,-0.0133930865246977,1e-04,-0.0216,-0.0134930865246977,-0.0217,1.12895785245934,0.0110052988736699
"7048","CTXS",2016-12-01,2016,0.0293136011786068,3e-04,0.0185,0.0290136011786068,0.0182,1.12895785245934,0.00846656826384688
"7065","CVS",2011-12-01,2011,0.0487411094421535,0,0.0074,0.0487411094421535,0.0074,1.4352560761162,0.0381202144788937
"7079","CVS",2012-12-01,2012,0.038798770862155,1e-04,0.0119,0.038698770862155,0.0118,1.4352560761162,0.0217627491639839
