Date;RF;Mkt-RF;SMB;HML
01-11-42;    0.03;    0.15;   -1.54;   -4.24
01-12-42;    0.03;    5.12;   -2.49;    0.56
01-01-43;    0.03;    7.13;    8.78;    8.23
01-02-43;    0.03;    6.15;    4.84;    6.51
01-03-43;    0.03;    6.01;    5.03;    5.48
01-04-43;    0.03;    0.81;    2.06;    5.86
01-05-43;    0.03;    5.74;    4.41;    3.28
01-06-43;    0.03;    1.82;   -1.06;   -0.74
01-07-43;    0.03;   -4.77;   -2.41;   -2.27
01-08-43;    0.03;    1.30;   -0.62;   -0.47
01-09-43;    0.03;    2.40;    1.28;    1.43
01-10-43;    0.03;   -1.15;    0.58;    1.65
01-11-43;    0.03;   -5.91;   -1.64;   -4.04
01-12-43;    0.03;    6.36;    3.34;    3.22
01-01-44;    0.03;    1.74;    2.56;    2.17
01-02-44;    0.03;    0.37;   -0.10;    0.83
01-03-44;    0.02;    2.46;    1.71;    3.43
01-04-44;    0.03;   -1.69;   -1.35;   -1.13
01-05-44;    0.03;    5.07;    1.67;    1.02
01-06-44;    0.03;    5.49;    4.04;    1.82
01-07-44;    0.03;   -1.49;    0.55;   -0.43
01-08-44;    0.03;    1.57;    2.41;   -1.63
01-09-44;    0.02;    0.01;    0.47;   -1.21
01-10-44;    0.03;    0.16;   -0.14;   -0.34
01-11-44;    0.03;    1.71;    0.37;    2.31
01-12-44;    0.02;    4.03;    2.24;    5.91
01-01-45;    0.03;    2.01;    2.44;    0.71
01-02-45;    0.02;    6.23;    1.56;    4.40
01-03-45;    0.02;   -3.89;   -1.61;   -1.78
01-04-45;    0.03;    7.80;    0.32;    3.21
01-05-45;    0.03;    1.73;    1.51;    0.35
01-06-45;    0.02;    0.39;    3.10;    4.32
01-07-45;    0.03;   -2.17;   -1.46;   -2.71
01-08-45;    0.03;    6.20;    1.61;   -4.40
01-09-45;    0.03;    4.77;    1.71;    0.48
01-10-45;    0.03;    3.89;    2.46;    2.25
01-11-45;    0.02;    5.39;    4.16;    4.34
01-12-45;    0.03;    1.20;    2.12;   -2.32
01-01-46;    0.03;    6.24;    4.02;    2.21
01-02-46;    0.03;   -5.83;   -0.73;   -1.27
01-03-46;    0.03;    5.87;    0.31;   -0.36
01-04-46;    0.03;    4.23;    2.37;    0.45
01-05-46;    0.03;    3.93;    1.46;    1.09
01-06-46;    0.03;   -3.89;   -1.53;   -0.59
01-07-46;    0.03;   -2.69;   -2.06;    0.04
01-08-46;    0.03;   -6.44;   -1.78;    0.60
01-09-46;    0.03;  -10.17;   -4.41;   -1.96
01-10-46;    0.03;   -1.44;    0.09;    3.44
01-11-46;    0.03;   -0.01;   -0.40;    1.52
01-12-46;    0.03;    4.96;    0.06;   -1.38
01-01-47;    0.03;    1.25;    2.18;   -0.73
01-02-47;    0.03;   -1.08;    0.68;    0.14
01-03-47;    0.03;   -1.67;   -1.61;    0.61
01-04-47;    0.03;   -4.80;   -3.97;    0.85
01-05-47;    0.03;   -0.97;   -3.26;    0.34
01-06-47;    0.03;    5.29;   -0.31;   -0.60
01-07-47;    0.03;    4.14;    1.43;    2.82
01-08-47;    0.03;   -1.74;    0.30;    0.16
01-09-47;    0.06;   -0.54;    1.64;    1.36
01-10-47;    0.06;    2.47;    0.51;    0.08
01-11-47;    0.06;   -1.97;   -1.74;    1.06
01-12-47;    0.08;    3.00;   -2.48;    3.69
01-01-48;    0.07;   -3.93;    2.49;    1.38
