"";"Ticker";"Year";"Close";"Volume"
"854";"HUM";"2015";178,51;18242700
"855";"HUM";"2016";204,03;30119200
"856";"IBM";"2012";191,55;79320200
"857";"IBM";"2013";187,57;97993100
"858";"IBM";"2014";160,44;101583300
"859";"IBM";"2015";137,62;97954000
"860";"IBM";"2016";165,99;68957500
"861";"ICE";"2012";24,76;150972000
"862";"ICE";"2013";44,98;94125500
"863";"ICE";"2014";43,86;78656500
"864";"ICE";"2015";51,25;70751200
"865";"ICE";"2016";56,42;59348000
"866";"IEP";"2012";44,7;245300
"867";"IEP";"2013";109,41;14630100
"868";"IEP";"2014";92,47;3166500
"869";"IEP";"2015";61,3;3080600
"870";"IEP";"2016";59,92;2937500
"871";"ILMN";"2012";55,59;30800800
"872";"ILMN";"2013";110,59;24889800
"873";"ILMN";"2014";184,58;20844000
"874";"ILMN";"2015";191,95;32802000
"875";"ILMN";"2016";128,04;28510700
"876";"INTC";"2012";20,62;805637100
"877";"INTC";"2013";25,96;614535900
"878";"INTC";"2014";36,29;600051700
"879";"INTC";"2015";34,45;427101000
"880";"INTC";"2016";36,27;405486600
"881";"INTU";"2012";59,48;30385700
"882";"INTU";"2013";76,32;36193800
"883";"INTU";"2014";92,19;33800400
"884";"INTU";"2015";96,5;36356500
"885";"INTU";"2016";114,61;19845000
"886";"IP";"2012";39,29;67294600
"887";"IP";"2013";48,35;78211400
"888";"IP";"2014";53,58;53773200
"889";"IP";"2015";37,7;70300800
"890";"IP";"2016";53,06;56348400
"891";"IPG";"2012";11,02;100347900
"892";"IPG";"2013";17,7;74163700
"893";"IPG";"2014";20,77;55385100
"894";"IPG";"2015";23,28;67008000
"895";"IPG";"2016";23,41;74411000
"896";"ISRG";"2012";163,46;31593000
"897";"ISRG";"2013";128,03;28862700
"898";"ISRG";"2014";176,31;11874000
"899";"ISRG";"2015";182,05;18712500
"900";"ISRG";"2016";211,39;21206700
"901";"ITT";"2012";23,46;14985000
"902";"ITT";"2013";43,42;14450200
"903";"ITT";"2014";40,46;17614500
"904";"ITT";"2015";36,32;14445900
"905";"ITT";"2016";38,57;14945700
"906";"ITW";"2012";60,81;49544200
"907";"ITW";"2013";84,08;38781600
"908";"ITW";"2014";94,7;35083700
"909";"ITW";"2015";92,68;33964500
"910";"ITW";"2016";127,02;27049500
"911";"IVZ";"2012";26,09;61547900
"912";"IVZ";"2013";36,4;64230900
"913";"IVZ";"2014";39,52;55159000
"914";"IVZ";"2015";33,48;82008800
"915";"IVZ";"2016";30,34;67006400
"916";"JBHT";"2012";59,71;15327900
"917";"JBHT";"2013";77,3;12722200
"918";"JBHT";"2014";84,25;15032200
"919";"JBHT";"2015";73,36;18338700
"920";"JBHT";"2016";97,07;20587900
"921";"JCI";"2012";30,63;60803800
"922";"JCI";"2013";42,97;55748200
"923";"JCI";"2014";45,93;47400200
"924";"JCI";"2015";33,39;66607600
"925";"JCI";"2016";41,19;115691700
"926";"JNJ";"2012";70,1;232603000
"927";"JNJ";"2013";91,59;151086000
"928";"JNJ";"2014";104,57;175446100
"929";"JNJ";"2015";102,72;161913500
"930";"JNJ";"2016";115,21;137353100
"931";"JNPR";"2012";19,67;141675100
"932";"JNPR";"2013";22,57;160753500
"933";"JNPR";"2014";22,32;106318700
"934";"JNPR";"2015";27,6;131316500
"935";"JNPR";"2016";28,26;69680700
"936";"JPM";"2012";43,97;461095700
"937";"JPM";"2013";58,48;330218200
"938";"JPM";"2014";62,58;347616300
"939";"JPM";"2015";66,03;316286300
"940";"JPM";"2016";85,49;378016700
"941";"JWN";"2012";53,5;45481700
"942";"JWN";"2013";61,8;23190100
"943";"JWN";"2014";79,39;23346400
"944";"JWN";"2015";49,81;83704300
"945";"JWN";"2016";47,93;65666300
"946";"K";"2012";55,85;30155600
"947";"K";"2013";61,07;33262800
"948";"K";"2014";65,44;36362400
"949";"K";"2015";72,27;37202500
"950";"K";"2016";73,71;35579800
"951";"KEY";"2012";8,42;228646300
"952";"KEY";"2013";13,42;179301800
"953";"KEY";"2014";13,9;203858600
"954";"KEY";"2015";13,19;306920300
"955";"KEY";"2016";18,27;274176700
"956";"KIM";"2012";19,32;67393200
"957";"KIM";"2013";19,75;62734600
"958";"KIM";"2014";25,14;78871700
"959";"KIM";"2015";26,46;74413200
