"","Ticker","Year","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","SharesSplitAdjusted","SplitFactor","Assets","CurrentsAssets","Liabilities","CurrentLiabilities","ShareholdersEquity","NonControllingInterest","PreferreEquity","GoodwillIntangibles","LongTermDebt","Revenue","Earnings","EarningsAvailableForCommonStockholders","EPS_Basic","EPS_Diluted","DividendPerShare","Cash_OperatingActivities","Cash_InvestingActivities","Cash_FinancingActivities","CashChangeDuringPeriod","CashEndPeriod","CapitalExpenditures","Price","PriceHigh","PriceLow","Roe","Roa","BookValue_EquityPerShare","PB_ratio","PE_ratio","CumulativeDividendsPerShare","DividendPayoutRatio","LongTermDebtToEquityRatio","EquityToAssetsRatio","NetMargin","AssetTurnover","FreeCashFlowPerShare","CurrentRatio","TobinsQ","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"11","AAPL",2016,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",5246540000,5246540000,1,3.31141e+11,1.03332e+11,1.98751e+11,8.413e+10,1.3239e+11,0,0,8.271e+09,7.3557e+10,7.8351e+10,1.7891e+10,1.7891e+10,3.38,3.36,0.57,2.7056e+10,-1.9122e+10,-1.2047e+10,-4.113e+09,1.6371e+10,3.42e+09,111.38,118.69,104.08,0.3494,0.1431,25.23,4.63,13.45,8.59,0.2643,0.5556,0.3998,0.2073,0.69,4.51,1.2282,2,0.0468408304410435,3e-04,0.0185,0.0465408304410435,0.0182,1.25372570682235,0.0237230225768767,0.0231178078641668,2015,12,0.75,0.11,0.13,0.11,0.14,0.11,1,0,1
"12","AAPL",2017,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",5074013000,5074013000,1,4.06794e+11,1.4381e+11,2.66595e+11,1.15788e+11,1.40199e+11,0,0,8.038e+09,1.03922e+11,8.8293e+10,2.0065e+10,2.0065e+10,3.92,3.89,0.63,2.8293e+10,-1.359e+10,-7.501e+09,7.202e+09,2.7491e+10,2.964e+09,164.83,177.2,152.46,0.3737,0.1383,27.63,6.31,17.94,11.05,0.2505,0.7412,0.3446,0.2112,0.65,4.99,1.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,14,0.74,0.1,0.15,0.12,0.11,0.11,1,0,1
"13","ABBV",2015,5,"Health Care",5,"ABBV_quarterly_financial_data.xls","abbvie","abbvie inc","abbvie inc",1611238226,1611238226,1,5.305e+10,1.6314e+10,4.9105e+10,1.0894e+10,3.945e+09,0,0,3.2877e+10,2.924e+10,6.4e+09,1.517e+09,1.517e+09,0.92,0.93,0.51,1.963e+09,-2.97e+08,-2.431e+09,-8.24e+08,8.399e+09,1.45e+08,54.88,64.3,45.45,NA,0.1092,2.45,18.48,32.47,5.68,0.6377,7.4119,0.0744,0.225,0.49,1.13,1.4975,NA,0.0185711098020877,1e-04,-0.0216,0.0184711098020877,-0.0217,1.3358525292876,0.0474591096876286,-0.0288879998855409,2014,254,0.28,0.22,0.13,0.07,0.16,0.2,1,0,1
"14","ABBV",2016,5,"Health Care",5,"ABBV_quarterly_financial_data.xls","abbvie","abbvie inc","abbvie inc",1593920285,1593920285,1,6.6099e+10,1.6187e+10,6.1463e+10,9.781e+09,4.636e+09,0,0,4.4313e+10,3.644e+10,6.796e+09,1.391e+09,1.369e+09,0.86,0.85,0.64,1.541e+09,-1.19e+08,-2.502e+09,-1.118e+09,5.1e+09,1.14e+08,60.05,65.05,55.06,NA,0.0939,2.91,15.09,16.19,8.03,0.641,7.8602,0.0701,0.231,0.4,0.9,1.6549,NA,0.029494927404168,3e-04,0.0185,0.029194927404168,0.0182,1.4986418692867,0.00191964538315004,0.0275752820210179,2015,175,0.41,0.04,0.03,0.02,0.03,0.14,1,0,1
"15","ABBV",2017,5,"Health Care",5,"ABBV_quarterly_financial_data.xls","abbvie","abbvie inc","abbvie inc",1587972655,1587972655,1,7.0786e+10,2.1223e+10,6.5689e+10,1.6641e+10,5.097e+09,0,0,4.3344e+10,3.0953e+10,7.739e+09,5.2e+07,5.2e+07,0.02,0.04,0.71,2.584e+09,2.01e+08,-1.928e+09,8.57e+08,9.303e+09,1.82e+08,92.17,99.1,85.24,0.9272,0.078,3.21,22,22.43,10.66,0.7927,6.0728,0.072,0.1872,0.41,1.51,1.2753,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,125,0.47,0.07,0.04,0.02,0.05,0.14,1,0,1
"16","ABC",2015,6,"Health Care",5,"ABC_quarterly_financial_data.xls","amerisourcebergen","amerisourcebergen corporation","amerisourcebergen corp",205462465,205462465,1,30755802000,20361675000,29455783000,24024341000,1300019000,0,0,9052837000,4393317000,36709046000,330377000,330377000,1.6,1.46,0.34,750848000,-2772487000,832287000,-1189352000,978090000,90110000,98.31,105.81,90.82,0.2915,0.014,6.33,31.92,NA,5.85,0.6471,3.3794,0.0423,0.0028,4.93,3.22,0.8475,0.96,0.0501215916423345,1e-04,-0.0216,0.0500215916423345,-0.0217,0.468147190753278,0.0601803856816807,-0.0100587940393461,2014,372,0.13,0,0,0,0,0.64,0,0,0
"17","ABC",2016,6,"Health Care",5,"ABC_quarterly_financial_data.xls","amerisourcebergen","amerisourcebergen corporation","amerisourcebergen corp",217279686,217279686,1,33919272000,23078756000,31802715000,25542758000,2116557000,0,0,8914299000,3871584000,38169265000,247246000,247246000,1.13,1.11,0.365,-430355000,-156857000,-363486000,-950698000,1791134000,137282000,75.18,81.33,69.03,0.6468,0.0408,9.74,7.77,11.88,7.23,0.2235,1.8292,0.0624,0.0091,4.49,-2.61,0.9035,0.68,0.00256117969774564,3e-04,0.0185,0.00226117969774564,0.0182,1.67687338906009,-0.0282579159831479,0.0308190956808936,2015,394,0.14,0,0,0,0,0.14,0,0,0
"18","ABC",2017,6,"Health Care",5,"ABC_quarterly_financial_data.xls","amerisourcebergen","amerisourcebergen corporation","amerisourcebergen corp",219669091,219669091,1,36361510000,25296432000,33486928000,26740291000,2874582000,0,0,8901145000,4617259000,40466332000,861853000,861853000,3.95,3.9,0.38,10326000,-142323000,734629000,602632000,3037747000,73641000,83.17,94.44,71.9,0.3908,0.0278,13.09,8.78,51.02,8.7,0.3285,1.6062,0.0791,0.0063,4.42,-0.29,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,361,0.2,0,0.06,0,0,0.14,0,0,0
"19","ABT",2015,7,"Health Care",5,"ABT_quarterly_financial_data.xls","abbott laboratories","abbott laboratories","abbott laboratories",1473241861,1473241861,1,4.1247e+10,1.4155e+10,1.9921e+10,9.186e+09,2.1211e+10,1.15e+08,0,1.52e+10,5.871e+09,5.188e+09,7.67e+08,7.65e+08,0.5,0.5,0.24,8.28e+08,1.566e+09,-4.97e+08,1.869e+09,5.001e+09,2.48e+08,42.83,46.38,39.28,0.202,0.104,14.4,3.03,14.28,59.74,0.324,0.2768,0.5142,0.2158,0.48,0.39,1.5409,1.63,-0.000222513691894054,1e-04,-0.0216,-0.000322513691894054,-0.0217,1.44857963539465,0.0311116643961698,-0.0313341780880639,2014,242,0.29,0.12,0.08,0.15,0.35,0.19,1,0,1
"20","ABT",2016,7,"Health Care",5,"ABT_quarterly_financial_data.xls","abbott laboratories","abbott laboratories","abbott laboratories",1727997596,1727997596,1,5.2666e+10,2.6776e+10,3.1949e+10,6.66e+09,2.0538e+10,1.79e+08,0,1.2222e+10,2.0681e+10,5.333e+09,7.98e+08,7.95e+08,0.54,0.54,0.26,1.17e+09,1.55e+09,1.3504e+10,1.612e+10,1.862e+10,3.19e+08,40.58,43.78,37.38,0.0674,0.0326,11.89,2.88,45.09,60.78,1.1459,1.007,0.39,0.0668,0.49,0.49,4.0204,1.09,0.00889116218577912,3e-04,0.0185,0.00859116218577912,0.0182,1.78672883939554,-0.0239273026912197,0.0328184648769989,2015,218,0.37,0.02,0.01,0.02,0.03,0.14,1,0,1
"21","ABT",2017,7,"Health Care",5,"ABT_quarterly_financial_data.xls","abbott laboratories","abbott laboratories","abbott laboratories",1746333892,1746333892,1,7.625e+10,2.0147e+10,4.5152e+10,8.912e+09,3.0897e+10,2.01e+08,0,4.5493e+10,2.721e+10,7.589e+09,-8.28e+08,-8.31e+08,-0.47,-0.47,0.28,1.64e+09,-3.152e+09,-1.12e+08,-1.605e+09,9.407e+09,3.45e+08,55.48,57.77,53.2,0.0149,0.0066,17.69,3.02,43.34,61.85,3.9968,0.8807,0.4052,0.0171,0.38,0.74,2.2607,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,187,0.38,0.01,0.01,0.01,0.05,0.14,1,0,1
"22","ACIW",2015,8,"Industrials",6,"ACIW_quarterly_financial_data.xls","union pacific","union pacific corporation","union pacific corp",119073873,119073873,1,1990212000,388084000,1335812000,390444000,654400000,0,0,1170186000,843290000,1015677000,43767000,43767000,0.37,0.36,0,64080000,-196709000,154727000,21382000,102239000,17342000,22.66,24.36,20.96,0.1407,0.047,5.5,4.48,31.04,0,0,1.2886,0.3288,0.0817,0.57,0.39,0.994,1.71,-0.0944602010026204,1e-04,-0.0216,-0.0945602010026204,-0.0217,1.45288905135402,-0.0630325085882382,-0.0314276924143822,2014,160,0.39,0.2,0.43,0.4,0.02,0.67,0,1,1
"23","ACIW",2016,8,"Industrials",6,"ACIW_quarterly_financial_data.xls","union pacific","union pacific corporation","union pacific corp",117305774,117305774,1,1902295000,407991000,1147378000,376366000,754917000,0,0,1113325000,653595000,4300000,66735000,66735000,0.56,0.53,0,34974000,-9208000,222000,24841000,75753000,9440000,18.52,20.04,17.01,0.1818,0.0706,6.44,3.13,21.05,0,0,0.8658,0.3968,7.8506,0.01,0.22,1.084,1.45,-0.0250285636778496,3e-04,0.0185,-0.0253285636778496,0.0182,1.90231422215393,-0.0599506825210512,0.0349221188432016,2015,121,0.52,0.01,0.03,0.07,0.03,0.18,1,1,1
"24","ACIW",2017,8,"Industrials",6,"ACIW_quarterly_financial_data.xls","union pacific","union pacific corporation","union pacific corp",115904949,115904949,1,1861639000,421821000,1097042000,321782000,764597000,0,0,1100972000,667943000,326395000,33164000,33164000,0.26,0.25,0,61125000,-14520000,-40828000,1780000,69710000,14520000,23.4,24.6,22.2,0.0067,0.0028,6.6,3.6,78,0,0,0.8736,0.4107,0.005,0.56,0.4,1.3109,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,81,0.57,0.05,0.04,0.09,0.01,0.18,1,1,1
"25","ADBE",2015,9,"Information Technology",7,"ADBE_quarterly_financial_data.xls","adobe systems","adobe systems incorporated","adobe systems inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,0.0267545945928666,1e-04,-0.0216,0.0266545945928666,-0.0217,0.973483730024112,0.0477791915343898,-0.0210245969415232,2014,2,0.84,0.83,0.87,0.99,0.92,0.51,1,1,1
"26","ADBE",2016,9,"Information Technology",7,"ADBE_quarterly_financial_data.xls","adobe systems","adobe systems incorporated","adobe systems inc",494078475,494078475,1,12707114000,5839774000,5282279000,2811635000,7424835000,0,0,5820879000,1902068000,1608419000,399613000,399613000,0.81,0.8,0,695601000,-143098000,-300469000,243643000,1011315000,48633000,92.33,110.81,73.85,0.161,0.095,15.03,6.31,47.11,0.25,0,0.2562,0.5843,0.1996,0.48,1.31,2.077,3.94,0.0013607992321723,3e-04,0.0185,0.0010607992321723,0.0182,0.76761392965627,-0.0129097742875718,0.0142705735197441,2015,3,0.83,0.13,0.09,0.12,0.09,0.19,1,1,1
"27","ADBE",2017,9,"Information Technology",7,"ADBE_quarterly_financial_data.xls","adobe systems","adobe systems incorporated","adobe systems inc",491578529,491578529,1,14535556000,7247813000,6075687000,3527457000,8459869000,0,0,6207219000,1881421000,2006595000,501549000,501549000,1.01,0.99,0,833220000,20366000,-319509000,531522000,2306072000,37684000,165.11,186.27,143.95,0.2116,0.1235,17.21,9.96,51.76,0.25,0,0.2224,0.582,0.232,0.53,1.62,2.0547,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,53,0.62,0.06,0.08,0.08,0.03,0.19,1,1,1
"28","ADI",2015,10,"Information Technology",7,"ADI_quarterly_financial_data.xls","analog devices","analog devices inc","analog devices inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,-0.101496384049314,1e-04,-0.0216,-0.101596384049314,-0.0217,1.10791875763138,-0.0775545470087128,-0.023941837040601,2014,50,0.56,0.55,0.48,0.59,0.3,0.86,0,1,1
"29","ADI",2016,10,"Information Technology",7,"ADI_quarterly_financial_data.xls","analog devices","analog devices inc","analog devices inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,-0.0220627528824835,3e-04,0.0185,-0.0223627528824835,0.0182,1.53522949656952,-0.0503039297200488,0.0282411768375653,2015,124,0.51,0.08,0.08,0.07,0.04,0.13,0,1,1
"30","ADI",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,100,0.53,0.09,0.09,0.07,0.05,0.13,0,1,1
"31","ADM",2015,11,"Consumer Staples",2,"ADM_quarterly_financial_data.xls","archer-daniels-midland","archer-daniels-midland company","archer-daniels-midland co",593898294,593898294,1,4.0157e+10,2.1829e+10,2.2242e+10,1.3505e+10,1.7899e+10,1.6e+07,0,3.688e+09,5.779e+09,1.6445e+10,7.18e+08,7.18e+08,1.2,1.2,0.28,1.383e+09,2.86e+08,-1.479e+09,1.9e+08,9.1e+08,3.06e+08,40.44,47.03,33.84,0.1013,0.0453,30.14,1.35,14.09,8.96,0.3665,0.3229,0.4457,0.0273,1.66,1.81,1.6164,0.48,0.00519344270328114,1e-04,-0.0216,0.00509344270328114,-0.0217,1.18451195431639,0.0307973521119467,-0.0256039094086656,2014,307,0.19,0.06,0.09,0.55,0,0.19,0,1,0
"32","ADM",2016,11,"Consumer Staples",2,"ADM_quarterly_financial_data.xls","archer-daniels-midland","archer-daniels-midland company","archer-daniels-midland co",571080171,571080171,1,3.9769e+10,2.1045e+10,2.2564e+10,1.3173e+10,1.7173e+10,3.2e+07,0,3.703e+09,6.504e+09,1.6501e+10,4.24e+08,4.24e+08,0.73,0.71,0.3,3.19e+08,2e+07,-4.45e+08,-1.06e+08,6.88e+08,2.61e+08,44.66,47.88,41.44,0.0728,0.0321,30.07,1.47,16.85,10.16,0.5432,0.3787,0.4318,0.0205,1.56,0.1,1.5976,0.62,0.0544688838034509,3e-04,0.0185,0.0541688838034509,0.0182,0.534811252769208,0.0444353190030513,0.0100335648003996,2015,253,0.33,0.02,0.01,0.07,0,0.09,1,1,0
"33","ADM",2017,11,"Consumer Staples",2,"ADM_quarterly_financial_data.xls","archer-daniels-midland","archer-daniels-midland company","archer-daniels-midland co",558839277,558839277,1,3.9963e+10,1.9925e+10,2.1588e+10,1.257e+10,1.8313e+10,6.2e+07,0,3.918e+09,6.623e+09,1.607e+10,7.88e+08,7.88e+08,1.4,1.39,0.32,5.6e+07,4.7e+07,-3.9e+07,6.4e+07,1.858e+09,3.53e+08,41.51,44.42,38.59,0.0906,0.0408,32.77,1.32,19.58,11.44,0.4512,0.3617,0.4582,0.0262,1.56,-0.53,1.5851,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,240,0.32,0.01,0.02,0.06,0,0.09,1,1,0
"34","ADP",2015,12,"Information Technology",7,"ADP_quarterly_financial_data.xls","automatic data processing","automatic data processing inc","automatic data processing inc",457451131,457451131,1,39899500000,35659200000,35693300000,32468100000,4206200000,0,0,2166500000,1994800000,2.807e+09,341400000,341400000,0.75,0.74,0.53,399500000,-6184900000,5405400000,-389800000,2794900000,88400000,84.7,90.67,78.74,0.3196,0.0416,9.19,8.44,26.8,33.29,0.6163,0.4743,0.1054,0.134,0.31,0.68,1.0983,0.94,-0.0118555632523004,1e-04,-0.0216,-0.0119555632523004,-0.0217,0.774137608943962,0.00484322286178353,-0.016698786114084,2014,105,0.47,0.47,0.38,0.61,0,1,0,1,0
"35","ADP",2016,12,"Information Technology",7,"ADP_quarterly_financial_data.xls","automatic data processing","automatic data processing inc","automatic data processing inc",448902582,448902582,1,39999400000,35808100000,36184300000,32956300000,3815100000,0,0,2205300000,2002500000,2987300000,510900000,510900000,1.14,1.13,0.57,511300000,-6044700000,5484300000,-71400000,2705200000,120400000,93.38,102.73,84.03,0.3974,0.0401,8.5,9.91,27.96,35.45,0.5774,0.5249,0.0954,0.1406,0.29,0.87,1.0865,1.13,0.0739896363319877,3e-04,0.0185,0.0736896363319877,0.0182,0.67664028367662,0.0613747831690732,0.0126148531629145,2015,282,0.28,0,0.07,0,0,0.16,0,1,0
"36","ADP",2017,12,"Information Technology",7,"ADP_quarterly_financial_data.xls","automatic data processing","automatic data processing inc","automatic data processing inc",443269657,443269657,1,44545500000,3.935e+10,40614300000,37250900000,3931200000,0,0,2.997e+09,2002400000,3235400000,467500000,467500000,1.06,1.05,0.63,430400000,-1033700000,8.345e+09,7776600000,13859800000,107700000,113.96,119.39,108.53,0.4317,0.0427,8.87,12.79,28.92,37.79,0.6039,0.5094,0.0883,0.1347,0.32,0.73,1.0564,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,268,0.28,0,0.07,0,0,0.16,0,1,0
"37","ADS",2015,13,"Information Technology",7,"ADS_quarterly_financial_data.xls","alliance data systems","alliance data systems corporation","alliance data systems corp",59261410,59261410,1,22421830000,16250417000,20244423000,6405559000,2010030000,167377000,0,5017823000,4692852000,1748854000,180175000,174215000,2.36,2.34,0,674609000,-2259579000,1780045000,190696000,1168037000,51592000,280,303.75,256.24,0.3048,0.0298,33.92,8.79,37.99,0,0,2.3347,0.0896,0.0926,0.32,10.51,2.5369,0.76,-0.0364955112505858,1e-04,-0.0216,-0.0365955112505858,-0.0217,0.683931316723512,-0.0217542016776856,-0.0147413095729002,2014,435,0,0,0,0,0,0,0,0,0
"38","ADS",2016,13,"Information Technology",7,"ADS_quarterly_financial_data.xls","alliance data systems","alliance data systems corporation","alliance data systems corp",55925301,55925301,1,25514100000,19589300000,23855900000,9229500000,1658200000,0,0,4.804e+09,4786900000,1827600000,8700000,-7.3e+07,0.18,0.18,0.52,759400000,-1911400000,1512800000,358700000,1859200000,48700000,219.69,241.69,197.69,0.2501,0.0219,29.65,7.11,23.17,0.52,0.0673,2.8868,0.065,0.0606,0.3,12.71,2.1225,0.5,-0.00122459556223502,3e-04,0.0185,-0.00152459556223502,0.0182,3.17261236192104,-0.059266140549198,0.058041544986963,2015,311,0.24,0,0.08,0,0,0.16,0,0,0
"39","ADS",2017,13,"Information Technology",7,"ADS_quarterly_financial_data.xls","alliance data systems","alliance data systems corporation","alliance data systems corp",55461323,55461323,1,30684800000,24705600000,28829500000,10146700000,1855300000,0,0,4680700000,5948300000,2106200000,271400000,271400000,4.9,4.87,0.52,8.3e+08,-2250400000,2281800000,8.64e+08,4.19e+09,48800000,235.08,254.79,215.37,0.5058,0.029,33.45,8.15,24.93,2.6,0.1463,3.2061,0.0605,0.1022,0.28,14.09,2.4348,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,343,0.21,0,0.05,0,0,0.16,0,0,0
