"","Ticker","Year","StockPriceClose","PriceToEarningRatio"
"369","CCI",2015,83.68,18.9321266968326
"370","CCI",2016,89.9,94.6315789473684
"371","CCL",2012,34.07,20.4011976047904
"372","CCL",2013,35.51,26.1102941176471
"373","CCL",2014,39.28,25.1794871794872
"374","CCL",2015,48.77,21.5796460176991
"375","CCL",2016,48.43,13.0188172043011
"376","CE",2012,42.05,18.0472103004292
"377","CE",2013,49.61,7.1794500723589
"378","CE",2014,58.55,14.6375
"379","CE",2015,63.71,31.855
"380","CE",2016,68.06,11.0129449838188
"381","CELG",2012,36.54,22.1454545454545
"382","CELG",2013,65.31,38.875
"383","CELG",2014,87.88,36.7698744769874
"384","CELG",2015,118.41,61.0360824742268
"385","CELG",2016,106.52,42.7791164658634
"386","CERN",2012,37.38,33.0796460176991
"387","CERN",2013,49.07,43.424778761062
"388","CERN",2014,57.19,38.1266666666667
"389","CERN",2015,66.47,43.1623376623377
"390","CERN",2016,56.63,30.6108108108108
"391","CF",2012,38.57,6.75481611208406
"392","CF",2013,40.38,8.15757575757576
"393","CF",2014,50.3,9.28044280442804
"394","CF",2015,56.38,19.0472972972973
"395","CF",2016,28.36,-23.8319327731092
"396","CHD",2012,25.97,21.1138211382114
"397","CHD",2013,31,22.1428571428571
"398","CHD",2014,34.65,22.9470198675497
"399","CHD",2015,42.32,27.4805194805195
"400","CHD",2016,46.75,26.7142857142857
"401","CHRW",2012,61.17,16.6675749318801
"402","CHRW",2013,59.02,22.2716981132075
"403","CHRW",2014,62.92,20.6295081967213
"404","CHRW",2015,68.3,19.4586894586895
"405","CHRW",2016,71.08,19.7994428969359
"406","CHTR",2012,68.45,-20.3115727002967
"407","CHTR",2013,114.05,-62.6648351648352
"408","CHTR",2014,146.57,-77.9627659574468
"409","CHTR",2015,180.29,-67.2723880597015
"410","CHTR",2016,229.5,14.3977415307403
"411","CI",2012,46.62,8.31016042780749
"412","CI",2013,71.8,13.8610038610039
"413","CI",2014,90.14,11.5121328224776
"414","CI",2015,134.44,16.7213930348259
"415","CI",2016,132.64,18.4478442280946
"416","CIT",2012,NA,NA
"417","CIT",2013,NA,NA
"418","CIT",2014,NA,NA
"419","CIT",2015,NA,NA
"420","CIT",2016,NA,NA
"421","CL",2012,50.46,19.6342412451362
"422","CL",2013,59.62,25.0504201680672
"423","CL",2014,65.91,43.3618421052632
"424","CL",2015,67.18,44.1973684210526
"425","CL",2016,70.1,25.7720588235294
"426","CLR",2012,NA,NA
"427","CLR",2013,NA,NA
"428","CLR",2014,NA,NA
"429","CLR",2015,NA,NA
"430","CLR",2016,NA,NA
"431","CLX",2012,71.13,17.3911980440098
"432","CLX",2013,85.44,19.8697674418605
"433","CLX",2014,92,21.7494089834515
"434","CLX",2015,113.29,25.9244851258581
"435","CLX",2016,126.45,25.7012195121951
"436","CMCSA",2012,16,14.0350877192982
"437","CMCSA",2013,21.63,16.8984375
"438","CMCSA",2014,26.64,16.65
"439","CMCSA",2015,29.49,18.2037037037037
"440","CMCSA",2016,31.63,17.7696629213483
"441","CME",2012,54.22,20.0814814814815
"442","CME",2013,69.14,23.6780821917808
"443","CME",2014,76.52,22.8417910447761
"444","CME",2015,93.79,25.4173441734417
"445","CME",2016,100.36,22.1545253863135
"446","CMG",2012,347.69,39.736
"447","CMG",2013,397.13,37.9302769818529
"448","CMG",2014,601.37,42.5598018400566
