Companies;YearFinancialIndicator;ROA;TobinsQ;ROE;YearNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue;SustainabilityPayLink;SustainableThemedCommitment;AuditScore;FirmSize;Leverage;NetMargin;Industry
5;2014;0,01;;0,29;2015;0,41;0,04;0,03;0,02;0,03;0,14;1;0;1;10,44;3,38;0,00;5,00
5;2015;0,05;;0,27;2016;0,47;0,07;0,04;0,02;0,05;0,14;1;0;1;10,72;0,60;0,01;5,00
6;2013;0,06;0,92;0,11;0;0,13;0,00;0,00;0,00;0,00;0,64;0;0;0;10,30;0,13;0,12;5,00
6;2014;0,05;0,90;0,10;2015;0,14;0,00;0,00;0,00;0,00;0,14;0;0;0;10,40;0,16;0,11;5,00
6;2015;0,10;0,96;0,20;2016;0,20;0,00;0,06;0,00;0,00;0,14;0;0;0;10,49;0,28;0,22;5,00
7;2013;0,04;1,23;0,12;2014;0,29;0,12;0,08;0,15;0,35;0,19;1;0;1;10,63;1,30;0,07;5,00
7;2014;0,04;1,66;0,13;2015;0,37;0,02;0,01;0,02;0,03;0,14;1;0;1;10,62;1,38;0,07;5,00
7;2015;0,05;1,63;0,14;2016;0,38;0,01;0,01;0,01;0,05;0,14;1;0;1;10,62;1,29;0,08;5,00
8;2013;0,03;1,69;0,04;2014;0,39;0,20;0,43;0,40;0,02;0,67;0;1;1;9,23;0,22;0,07;6,00
8;2014;0,03;1,70;0,04;2015;0,52;0,01;0,03;0,07;0,03;0,18;1;1;1;9,27;0,13;0,06;6,00
8;2015;0,06;1,71;0,09;2016;0,57;0,05;0,04;0,09;0,01;0,18;1;1;1;9,30;0,27;0,13;6,00
9;2013;0,11;2,62;0,15;2014;0,84;0,83;0,87;0,99;0,92;0,51;1;1;1;10,02;0,18;0,26;7,00
9;2014;0,09;3,20;0,13;2015;0,83;0,13;0,09;0,12;0,09;0,19;1;1;1;10,03;0,18;0,22;7,00
9;2015;0,10;3,82;0,14;2016;0,62;0,06;0,08;0,08;0,03;0,19;1;1;1;10,07;0,10;0,20;7,00
10;2013;0,03;1,77;0,07;2014;0,56;0,55;0,48;0,59;0,30;0,86;0;1;1;9,80;0,27;0,01;7,00
10;2014;0,05;1,95;0,11;2015;0,51;0,08;0,08;0,07;0,04;0,13;0;1;1;9,84;0,28;0,03;7,00
10;2015;0,05;2,31;0,10;2016;0,53;0,09;0,09;0,07;0,05;0,13;0;1;1;9,85;0,32;0,03;7,00
11;2013;0,04;0,48;0,22;2014;0,19;0,06;0,09;0,55;0,00;0,19;0;1;0;10,64;0,27;0,12;2,00
11;2014;0,04;0,64;0,23;2015;0,33;0,02;0,01;0,07;0,00;0,09;1;1;0;10,64;0,28;0,12;2,00
11;2015;0,04;0,48;0,32;2016;0,32;0,01;0,02;0,06;0,00;0,09;1;1;0;10,60;0,47;0,13;2,00
12;2013;0,04;0,97;0,72;2014;0,47;0,47;0,38;0,61;0,00;1,00;0;1;0;10,58;2,85;0,11;7,00
12;2014;0,03;0,86;0,38;2015;0,28;0,00;0,07;0,00;0,00;0,16;0;1;0;10,64;1,67;0,10;7,00
12;2015;0,03;0,94;0,30;2016;0,28;0,00;0,07;0,00;0,00;0,16;0;1;0;10,60;2,33;0,09;7,00
13;2013;0,06;1,03;0,12;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;10,12;0,35;0,11;7,00
13;2014;0,03;0,93;0,05;2015;0,24;0,00;0,08;0,00;0,00;0,16;0;0;0;10,31;0,33;0,05;7,00
13;2015;-0,05;0,76;-0,12;2016;0,21;0,00;0,05;0,00;0,00;0,16;0;0;0;10,35;0,86;0,09;7,00
14;2013;0,01;1,88;0,05;2014;0,62;0,63;0,94;0,30;0,62;1,00;0;0;1;9,64;0,86;0,05;7,00
14;2014;0,03;2,65;0,09;2015;0,66;0,10;0,14;0,00;0,03;0,19;1;1;1;9,68;0,93;0,10;7,00
14;2015;0,03;2,40;0,09;2016;0,71;0,14;0,14;0,00;0,05;0,19;1;1;1;9,72;1,06;0,10;7,00
15;2013;0,03;0,70;0,09;2014;0,29;0,52;0,03;0,00;0,00;0,29;1;1;0;10,32;1,05;0,10;11,00
15;2014;0,03;0,80;0,10;2015;0,37;0,09;0,01;0,00;0,00;0,12;1;1;0;10,36;0,96;0,10;11,00
15;2015;0,03;0,74;0,12;2016;0,36;0,07;0,01;0,01;0,00;0,12;1;1;0;10,37;0,99;0,12;11,00
16;2013;0,04;0,73;0,15;2014;0,18;0,02;0,02;0,03;0,00;0,07;1;1;0;10,75;0,56;0,04;11,00
16;2014;0,04;0,83;0,14;2015;0,31;0,00;0,01;0,03;0,00;0,12;1;1;0;10,78;0,54;0,04;11,00
16;2015;0,04;0,80;0,15;2016;0,30;0,00;0,01;0,02;0,00;0,12;1;1;0;10,79;0,49;0,04;11,00
17;2013;0,03;0,71;0,22;2014;0,41;0,65;0,74;0,00;0,00;0,74;0;1;0;10,70;0,56;0,13;5,00
17;2014;0,02;0,80;0,17;2015;0,32;0,00;0,08;0,00;0,00;0,14;0;1;1;10,73;0,54;0,13;5,00
17;2015;0,02;0,91;0,14;2016;0,60;0,13;0,12;0,11;0,00;0,14;0;1;1;10,73;0,49;0,12;5,00
18;2013;0,03;0,34;0,21;2014;0,49;0,85;0,63;0,00;0,00;0,82;0;1;1;11,08;0,34;0,13;4,00
18;2014;0,02;0,29;0,18;2015;0,75;0,09;0,09;0,09;0,12;0,16;1;1;1;11,08;0,29;0,13;4,00
18;2015;0,02;0,26;0,14;2016;0,64;0,06;0,07;0,06;0,10;0,16;1;1;1;11,07;0,28;0,12;4,00
19;2013;0,02;1,21;0,09;2014;0,85;0,72;0,85;0,61;0,82;1,00;1;1;1;10,02;0,89;0,13;5,00
19;2014;0,01;;0,07;2015;0,84;0,12;0,13;0,12;0,13;0,14;1;1;1;10,09;0,52;0,12;5,00
19;2015;0,00;;0,02;2016;0,74;0,14;0,13;0,13;0,00;0,14;1;1;1;10,09;0,56;0,04;5,00
20;2013;0,10;;0,12;2014;0,18;0,00;0,00;0,00;0,00;0,65;0;1;0;11,73;0,41;0,19;4,00
20;2014;0,09;;0,12;2015;0,29;0,00;0,00;0,00;0,00;0,14;1;1;0;11,71;0,21;0,17;4,00
20;2015;0,08;;0,11;2016;0,40;0,00;0,09;0,00;0,00;0,15;1;1;0;11,70;0,20;0,15;4,00
21;2013;0,02;2,59;0,11;2014;0,39;0,03;0,12;0,00;0,68;0,82;0;1;1;9,47;0,00;0,07;7,00
21;2014;0,03;2,72;0,13;2015;0,61;0,01;0,07;0,00;0,15;0,18;1;1;1;9,60;0,21;0,08;7,00
21;2015;0,02;2,16;0,11;2016;0,62;0,05;0,04;0,00;0,15;0,18;1;1;1;9,62;0,20;0,06;7,00
22;2013;0,09;0,19;0,11;2014;0,49;0,19;0,21;0,31;0,72;0,87;0;1;1;11,09;0,03;0,16;4,00
22;2014;0,17;0,26;0,22;2015;0,57;0,01;0,03;0,05;0,12;0,16;1;1;1;11,04;0,25;0,29;4,00
22;2015;0,01;0,22;0,02;2016;0,54;0,01;0,03;0,06;0,08;0,16;1;1;1;11,02;0,40;0,06;4,00
23;2013;0,02;7,43;0,04;2014;0,13;0,00;0,00;0,00;0,00;0,63;0;0;0;9,52;0,27;0,03;5,00
23;2014;0,08;8,25;0,14;2015;0,17;0,00;0,00;0,00;0,00;0,17;0;0;0;9,62;0,25;0,12;5,00
23;2015;0,10;3,40;0,17;2016;0,23;0,00;0,06;0,00;0,00;0,17;0;0;0;10,12;0,44;0,14;5,00
24;2013;0,10;1,68;0,18;2014;0,67;0,61;0,65;0,72;0,32;0,89;1;1;0;10,08;0,36;0,14;7,00
24;2014;0,09;1,88;0,17;2015;0,55;0,08;0,08;0,09;0,02;0,13;1;1;0;10,12;0,44;0,15;7,00
24;2015;0,09;1,13;0,18;2016;0,60;0,10;0,10;0,09;0,03;0,13;1;1;0;10,18;0,48;0,15;7,00
25;2013;0,06;2,31;0,17;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,77;0,65;0,16;6,00
25;2014;0,06;2,10;0,18;2015;0,13;0,00;0,00;0,00;0,00;0,13;0;0;0;9,81;0,72;0,18;6,00
25;2015;0,07;2,04;0,19;2016;0,18;0,00;0,05;0,00;0,00;0,13;0;0;0;9,82;0,67;0,21;6,00
26;2013;0,09;1,96;0,24;2014;0,18;0,00;0,00;0,00;0,00;0,89;0;0;0;9,80;1,34;0,27;4,00
26;2014;0,07;1,72;0,21;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,89;1,34;0,26;4,00
26;2015;0,10;1,32;0,25;2016;0,16;0,00;0,06;0,00;0,00;0,10;0;0;0;9,89;1,04;0,32;4,00
27;2013;0,01;1,46;0,16;2014;0,54;0,64;0,51;0,52;0,43;0,60;0;1;1;10,82;1,34;0,12;5,00
27;2014;0,01;1,79;0,20;2015;0,70;0,08;0,09;0,08;0,08;0,17;1;1;1;10,84;1,17;0,13;5,00
27;2015;0,01;1,70;0,20;2016;0,63;0,06;0,07;0,06;0,07;0,17;1;1;1;10,85;1,04;0,13;5,00
28;2013;0,01;0,17;0,15;2014;0,17;0,00;0,00;0,00;0,00;0,86;0;0;0;11,16;1,03;0,12;4,00
28;2014;0,01;0,19;0,20;2015;0,09;0,00;0,00;0,00;0,00;0,09;0;0;0;11,17;1,22;0,13;4,00
28;2015;0,01;0,16;0,20;2016;0,17;0,00;0,07;0,00;0,00;0,10;0;0;0;11,16;1,42;0,13;4,00
29;2013;0,03;1,55;0,15;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;10,31;4,08;0,16;4,00
29;2014;0,04;2,53;0,20;2015;0,15;0,00;0,00;0,00;0,00;0,15;0;0;0;10,33;3,47;0,20;4,00
29;2015;0,03;2,17;0,09;2016;0,19;0,00;0,04;0,00;0,00;0,15;0;0;0;10,43;2,57;0,12;4,00
30;2013;0,01;4,60;0,03;2014;0,01;0,00;0,00;0,00;0,00;0,07;0;0;0;10,60;0,47;0,00;1,00
30;2014;-0,01;2,74;-0,02;2015;0,12;0,00;0,00;0,00;0,00;0,12;0;0;0;10,74;1,05;0,00;1,00
30;2015;0,01;5,02;0,05;2016;0,18;0,00;0,06;0,00;0,00;0,12;0;0;0;10,82;0,93;0,01;1,00
31;2013;0,03;0,64;0,10;2014;0,12;0,00;0,00;0,00;0,00;0,34;0;1;0;10,13;0,66;0,01;3,00
31;2014;0,06;0,72;0,19;2015;0,06;0,00;0,00;0,00;0,00;0,01;0;1;0;10,22;0,96;0,02;3,00
31;2015;0,09;0,91;0,32;2016;0,35;0,06;0,08;0,07;0,09;0,01;0;1;0;10,21;0,78;0,05;3,00
32;2013;0,04;0,68;0,07;2014;0,22;0,49;0,18;0,06;0,00;0,30;0;0;1;10,79;0,30;0,14;3,00
32;2014;-0,08;0,57;-0,18;2015;0,31;0,09;0,04;0,01;0,00;0,01;1;0;1;10,75;0,45;-0,39;3,00
32;2015;-0,72;0,93;-1,62;2016;0,20;0,00;0,04;0,00;0,00;0,01;1;0;1;10,28;3,54;-3,63;3,00
33;2013;0,01;0,93;0,04;2014;0,32;0,58;0,10;0,61;0,00;0,14;0;1;1;10,75;0,60;0,05;3,00
33;2014;-0,03;0,93;-0,09;2015;0,40;0,10;0,03;0,05;0,00;0,02;1;1;1;10,79;0,77;-0,09;3,00
33;2015;-0,13;0,85;-0,45;2016;0,26;0,00;0,04;0,00;0,00;0,01;1;1;1;10,67;1,23;-0,77;3,00
34;2013;0,06;1,49;0,15;2014;0,54;0,07;0,17;0,23;0,92;0,69;1;1;1;10,25;0,69;0,10;8,00
34;2014;0,06;1,88;0,14;2015;0,51;0,01;0,02;0,07;0,13;0,08;1;1;1;10,25;0,65;0,10;8,00
34;2015;0,08;1,77;0,18;2016;0,51;0,01;0,02;0,08;0,12;0,08;1;1;1;10,24;0,53;0,14;8,00
35;2013;0,11;;0,24;2014;0,12;0,00;0,00;0,00;0,00;0,59;0;0;0;9,79;0,50;0,14;7,00
35;2014;0,11;;0,24;2015;0,13;0,00;0,00;0,00;0,00;0,13;0;0;0;9,85;0,92;0,13;7,00
35;2015;0,11;;0,25;2016;0,19;0,00;0,06;0,00;0,00;0,13;0;0;0;9,87;0,87;0,14;7,00
36;2013;0,07;0,95;0,09;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;10,15;0,70;0,22;7,00
36;2014;0,06;1,03;0,12;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,17;0,60;0,19;7,00
36;2015;0,06;2,08;0,11;2016;0,12;0,00;0,02;0,00;0,00;0,10;0;0;0;10,18;0,51;0,19;7,00
37;2013;0,02;1,41;0,04;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;10,19;0,71;0,24;4,00
37;2014;0,04;1,73;0,08;2015;0,41;0,09;0,05;0,02;0,00;0,14;1;0;0;10,21;0,72;0,41;4,00
37;2015;0,04;1,87;0,08;2016;0,40;0,06;0,06;0,01;0,04;0,14;1;0;0;10,23;0,66;0,40;4,00
38;2013;0,02;0,89;0,08;2014;0,45;0,62;0,62;0,00;0,00;0,55;1;1;0;10,18;1,10;0,13;11,00
38;2014;0,03;0,98;0,09;2015;0,68;0,08;0,06;0,15;0,11;0,18;1;0;0;10,21;1,11;0,14;11,00
38;2015;0,03;1,01;0,09;2016;0,31;0,00;0,03;0,00;0,00;0,18;1;0;0;10,24;1,16;0,15;11,00
39;2013;0,04;0,66;0,28;2014;0,35;0,58;0,63;0,30;0,07;0,57;0;0;0;11,19;2,84;0,16;4,00
39;2014;0,04;0,62;0,29;2015;0,55;0,07;0,10;0,06;0,08;0,10;1;1;0;11,20;2,80;0,17;4,00
39;2015;0,03;0,39;0,24;2016;0,60;0,11;0,13;0,10;0,01;0,10;1;1;0;11,21;2,32;0,16;4,00
40;2013;0,15;2,92;-0,64;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,85;-2,43;0,11;1,00
40;2014;0,15;3,06;-0,64;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,89;-2,66;0,11;1,00
40;2015;0,15;3,36;-0,71;2016;0,17;0,00;0,07;0,00;0,00;0,10;0;0;0;9,91;-2,67;0,11;1,00
41;2013;0,05;1,04;0,47;2014;0,46;0,69;0,78;0,84;0,00;0,05;0;1;1;10,97;0,54;0,05;6,00
41;2014;0,06;0,87;0,42;2015;0,69;0,07;0,11;0,12;0,10;0,09;1;1;1;11,00;0,94;0,06;6,00
41;2015;0,05;0,92;0,76;2016;0,66;0,08;0,08;0,12;0,10;0,09;1;1;1;10,98;1,38;0,05;6,00
42;2013;0,01;0,19;0,05;2014;0,27;0,12;0,20;0,05;0,04;0,02;1;1;1;12,32;1,14;0,11;4,00
42;2014;0,00;0,11;0,02;2015;0,38;0,02;0,03;0,02;0,01;0,10;1;1;1;12,32;1,08;0,05;4,00
42;2015;0,01;0,18;0,06;2016;0,40;0,03;0,04;0,02;0,02;0,10;1;1;1;12,33;1,01;0,17;4,00
43;2013;0,08;;0,26;2014;0,34;0,10;0,18;0,05;0,16;0,32;1;1;1;10,41;0,96;0,13;5,00
43;2014;0,10;;0,30;2015;0,45;0,01;0,04;0,01;0,05;0,14;1;1;1;10,41;0,94;0,15;5,00
43;2015;0,05;;0,15;2016;0,37;0,00;0,02;0,00;0,01;0,14;1;1;1;10,32;0,44;0,09;5,00
44;2013;0,17;2,20;0,26;2014;0,12;0,00;0,00;0,00;0,00;0,59;0;0;0;9,82;0,55;0,09;1,00
44;2014;0,14;1,70;0,28;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,87;0,47;0,08;1,00
44;2015;0,13;1,23;0,33;2016;0,17;0,00;0,07;0,00;0,00;0,10;0;0;0;9,84;0,58;0,07;1,00
45;2013;0,01;0,33;0,08;2014;0,14;0,00;0,00;0,00;0,00;0,72;0;0;0;11,26;1,07;0,16;4,00
45;2014;0,01;0,33;0,09;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;11,27;1,07;0,22;4,00
45;2015;0,01;0,30;0,08;2016;0,13;0,00;0,03;0,00;0,00;0,10;0;0;0;11,32;0,96;0,20;4,00
46;2013;-0,02;0,80;-0,11;2014;0,50;0,68;0,60;0,00;0,72;0,49;0;1;1;10,18;0,43;-0,02;1,00
46;2014;0,07;0,54;0,23;2015;0,65;0,13;0,07;0,08;0,08;0,10;1;1;1;10,20;0,35;0,02;1,00
46;2015;0,06;0,70;0,20;2016;0,68;0,13;0,11;0,09;0,06;0,10;1;1;1;10,18;0,27;0,02;1,00
47;2013;0,16;;0,38;2014;0,06;0,00;0,00;0,00;0,00;0,29;0;0;0;9,70;0,67;0,22;5,00
47;2014;0,06;;0,16;2015;0,12;0,00;0,00;0,00;0,00;0,12;0;0;0;9,71;0,78;0,09;5,00
47;2015;0,03;;0,08;2016;0,19;0,00;0,07;0,00;0,00;0,12;0;0;0;9,69;0,79;0,04;5,00
48;2013;0,08;1,77;0,19;2014;0,17;0,10;0,14;0,06;0,31;0,38;0;0;0;10,08;0,74;0,11;5,00
48;2014;0,08;1,45;0,22;2015;0,38;0,02;0,04;0,03;0,01;0,14;1;1;0;10,27;1,96;0,14;5,00
48;2015;0,03;1,63;0,10;2016;0,42;0,03;0,04;0,03;0,03;0,14;1;1;0;10,42;1,50;0,06;5,00
49;2013;0,15;1,83;0,22;2014;0,33;0,65;0,48;0,00;0,00;0,78;0;0;0;10,20;0,23;0,27;4,00
49;2014;0,14;1,57;0,21;2015;0,28;0,00;0,08;0,00;0,00;0,10;1;0;0;10,21;0,19;0,28;4,00
49;2015;0,12;0,78;0,16;2016;0,29;0,00;0,09;0,00;0,00;0,10;1;0;0;10,21;0,18;0,25;4,00
50;2013;0,16;3,83;0,37;2014;0,58;0,31;0,60;0,44;0,00;0,91;1;1;1;9,59;0,54;0,16;2,00
50;2014;0,16;4,43;0,33;2015;0,58;0,06;0,09;0,13;0,00;0,10;1;1;1;9,63;0,48;0,17;2,00
50;2015;0,16;5,35;0,39;2016;0,62;0,09;0,10;0,14;0,00;0,10;1;1;1;9,64;0,88;0,17;2,00
51;2013;0,01;0,40;0,02;2014;0,26;0,21;0,36;0,41;0,47;0,22;0;0;0;10,43;0,93;0,00;2,00
51;2014;0,02;0,58;0,06;2015;0,38;0,05;0,07;0,05;0,06;0,10;0;1;0;10,33;0,37;0,01;2,00
51;2015;0,04;0,55;0,11;2016;0,37;0,03;0,07;0,07;0,05;0,10;0;1;0;10,25;0,51;0,02;2,00
52;2013;0,04;;0,06;2014;0,71;0,75;0,75;0,61;0,14;0,85;1;1;1;10,45;0,22;0,05;3,00
52;2014;0,06;;0,09;2015;0,39;0,07;0,10;0,00;0,00;0,02;1;1;1;10,46;0,21;0,07;3,00
52;2015;-0,08;;-0,11;2016;0,49;0,10;0,09;0,06;0,02;0,03;1;1;1;10,38;0,24;-0,02;3,00
53;2013;0,17;5,06;0,23;2014;0,76;0,69;0,83;0,85;0,97;0,53;1;0;1;10,07;0,13;0,27;5,00
53;2014;0,22;5,00;0,29;2015;0,89;0,14;0,14;0,13;0,11;0,17;1;1;1;10,16;0,05;0,30;5,00
53;2015;0,20;3,29;0,32;2016;0,79;0,13;0,14;0,11;0,14;0,17;0;1;1;10,29;0,70;0,33;5,00
54;2013;0,01;-0,17;0,06;2014;0,53;0,15;0,26;0,41;0,40;0,72;1;1;1;11,57;0,57;0,14;4,00
54;2014;0,01;-0,07;0,07;2015;0,44;0,01;0,02;0,05;0,06;0,10;1;1;1;11,59;0,59;0,16;4,00
54;2015;0,01;-0,10;0,09;2016;0,42;0,02;0,02;0,05;0,03;0,10;1;1;1;11,60;0,62;0,20;4,00
55;2013;0,28;;0,40;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;8,74;0,00;0,14;3,00
55;2014;0,27;;0,40;2015;0,05;0,00;0,00;0,00;0,00;0,05;0;0;0;8,79;0,00;0,13;3,00
55;2015;0,28;;0,39;2016;0,05;0,00;0,00;0,00;0,00;0,05;0;0;0;8,77;0,00;0,14;3,00
56;2013;0,01;0,26;0,11;2014;0,38;0,75;0,71;0,00;0,00;0,29;1;0;0;11,34;0,19;0,29;4,00
56;2014;0,01;0,26;0,12;2015;0,29;0,00;0,09;0,00;0,00;0,10;1;0;0;11,38;0,18;0,30;4,00
56;2015;0,01;0,25;0,12;2016;0,44;0,11;0,09;0,00;0,00;0,10;1;0;1;11,35;0,17;0,29;4,00
57;2013;0,06;1,28;0,37;2014;0,84;0,70;0,75;0,76;0,83;0,89;1;1;1;9,89;2,65;0,05;8,00
57;2014;0,06;1,59;0,41;2015;0,58;0,07;0,05;0,08;0,09;0,09;1;1;1;9,88;2,90;0,05;8,00
57;2015;0,04;1,57;0,26;2016;0,69;0,09;0,08;0,11;0,13;0,09;1;1;1;9,99;4,04;0,04;8,00
58;2013;-0,09;4,36;-0,15;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,35;0,49;-0,32;5,00
58;2014;-0,06;5,24;-0,09;2015;0,22;0,00;0,00;0,00;0,00;0,17;0;0;1;9,39;0,43;-0,18;5,00
58;2015;-0,06;4,54;-0,09;2016;0,24;0,00;0,02;0,00;0,00;0,17;0;0;1;9,57;0,28;-0,19;5,00
59;2013;0,07;2,30;0,18;2014;0,49;0,18;0,34;0,49;0,28;0,46;1;1;1;10,59;0,63;0,16;5,00
59;2014;0,06;2,92;0,13;2015;0,54;0,02;0,06;0,08;0,06;0,14;1;1;1;10,53;0,49;0,13;5,00
59;2015;0,05;3,73;0,10;2016;0,60;0,02;0,07;0,09;0,08;0,14;1;1;1;10,50;0,46;0,09;5,00
60;2013;0,04;0,69;0,09;2014;0,02;0,00;0,00;0,00;0,00;0,10;0;0;0;11,69;0,02;0,11;4,00
60;2014;0,04;0,75;0,08;2015;0,12;0,00;0,00;0,00;0,00;0,12;0;0;0;11,72;0,01;0,10;4,00
60;2015;0,04;0,63;0,10;2016;0,18;0,00;0,06;0,00;0,00;0,12;0;0;0;11,74;0,01;0,11;4,00
61;2013;-0,01;1,14;-0,02;2014;0,29;0,00;0,27;0,44;0,49;0,31;0;1;0;10,22;0,65;-0,02;5,00
61;2014;-0,01;1,21;-0,02;2015;0,67;0,06;0,07;0,09;0,10;0,15;1;1;1;10,23;0,60;-0,02;5,00
61;2015;-0,01;1,63;-0,04;2016;0,72;0,08;0,07;0,09;0,12;0,15;1;1;1;10,26;0,90;-0,03;5,00
62;2013;0,09;1,82;0,19;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,84;0,29;0,08;1,00
62;2014;0,09;1,71;0,18;2015;0,07;0,00;0,00;0,00;0,00;0,07;0;0;0;9,86;0,20;0,08;1,00
62;2015;0,08;1,23;0,17;2016;0,16;0,00;0,09;0,00;0,00;0,07;0;0;0;9,95;0,60;0,08;1,00
63;2013;0,04;0,84;0,13;2014;0,12;0,00;0,00;0,00;0,00;0,60;0;0;0;10,47;1,05;0,18;4,00
63;2014;0,05;0,79;0,15;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,50;0,78;0,21;4,00
63;2015;0,03;1,17;0,07;2016;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,35;0,63;0,15;4,00
64;2013;0,04;1,23;0,14;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;10,30;2,05;0,35;4,00
64;2014;0,02;1,41;0,08;2015;0,14;0,00;0,00;0,00;0,00;0,14;0;0;0;10,30;1,83;0,18;4,00
64;2015;0,03;1,49;0,10;2016;0,22;0,00;0,08;0,00;0,00;0,14;0;0;0;10,26;1,64;0,23;4,00
65;2013;0,01;0,15;0,07;2014;0,32;0,23;0,26;0,14;0,10;0,04;1;1;1;12,27;1,11;0,17;4,00
65;2014;0,00;0,17;0,03;2015;0,43;0,05;0,04;0,03;0,01;0,10;1;1;1;12,27;1,11;0,09;4,00
65;2015;0,01;0,16;0,08;2016;0,46;0,05;0,06;0,03;0,02;0,10;1;1;1;12,24;0,98;0,22;4,00
66;2013;0,09;1,32;0,19;2014;0,61;0,34;0,49;0,58;0,34;0,74;1;1;1;10,07;0,22;0,23;7,00
66;2014;0,07;1,25;0,14;2015;0,63;0,05;0,03;0,08;0,13;0,19;1;0;1;10,04;0,22;0,19;7,00
66;2015;0,07;1,20;0,14;2016;0,58;0,06;0,03;0,09;0,07;0,19;1;0;1;10,04;0,37;0,19;7,00
67;2013;0,03;0,89;0,13;2014;0,40;0,16;0,24;0,22;0,39;0,24;1;1;1;10,32;1,60;0,04;2,00
67;2014;0,02;0,98;0,07;2015;0,39;0,02;0,04;0,02;0,00;0,10;1;1;1;10,29;1,38;0,02;2,00
67;2015;-0,10;1,27;-0,44;2016;0,38;0,02;0,04;0,02;0,00;0,10;1;1;1;10,20;1,86;-0,02;2,00
68;2013;0,01;0,91;0,06;2014;0,71;0,76;0,70;0,82;0,65;0,61;1;0;1;10,40;0,56;0,00;5,00
68;2014;0,04;1,00;0,17;2015;0,55;0,10;0,06;0,00;0,10;0,14;1;0;1;10,44;0,61;0,01;5,00
68;2015;0,04;0,94;0,21;2016;0,58;0,05;0,07;0,06;0,10;0,14;1;0;1;10,53;0,77;0,01;5,00
69;2013;0,05;;0,11;2014;0,15;0,00;0,00;0,00;0,00;0,76;0;0;0;10,15;0,44;0,07;3,00
69;2014;0,06;;0,17;2015;0,02;0,00;0,00;0,00;0,00;0,02;0;0;0;10,11;0,62;0,08;3,00
69;2015;0,04;;0,11;2016;0,09;0,00;0,07;0,00;0,00;0,02;0;0;0;10,06;0,56;0,06;3,00
70;2013;0,04;0,87;0,20;2014;0,36;0,37;0,35;0,44;0,70;0,14;0;1;0;10,93;1,29;0,07;6,00
