Companies;YearFinancialIndicator;ROA;TobinsQ;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore ;FirmSize;Leverage;NetMargin;Industry
24;2014;0,09;1,88;2016;65,00;0,60;0,10;0,10;0,09;0,03;0,13;0,10;0,05;0,00;10,12;0,44;0,15;7
25;2012;0,03;1,93;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,72;0,78;0,10;6
25;2013;0,06;2,31;2015;401,00;0,13;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;9,77;0,65;0,16;6
25;2014;0,06;2,10;2016;394,00;0,18;0,00;0,05;0,00;0,00;0,13;0,00;0,00;0,00;9,81;0,72;0,18;6
26;2012;0,08;1,29;2014;315,00;0,18;0,00;0,00;0,00;0,00;0,89;0,00;0,00;0,00;9,79;1,26;0,25;4
26;2013;0,09;1,96;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;9,80;1,34;0,27;4
26;2014;0,07;1,72;2016;427,00;0,16;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00;9,89;1,34;0,26;4
27;2012;0,01;1,22;2014;58,00;0,54;0,64;0,51;0,52;0,43;0,60;0,00;0,05;0,05;10,73;1,26;0,10;5
27;2013;0,01;1,46;2015;21,00;0,70;0,08;0,09;0,08;0,08;0,17;0,10;0,05;0,05;10,82;1,34;0,12;5
27;2014;0,01;1,79;2016;49,00;0,63;0,06;0,07;0,06;0,07;0,17;0,10;0,05;0,05;10,84;1,17;0,13;5
28;2012;0,01;0,11;2014;325,00;0,17;0,00;0,00;0,00;0,00;0,86;0,00;0,00;0,00;11,13;0,81;0,10;4
28;2013;0,01;0,17;2015;463,00;0,09;0,00;0,00;0,00;0,00;0,09;0,00;0,00;0,00;11,16;1,03;0,12;4
28;2014;0,01;0,19;2016;414,00;0,17;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00;11,17;1,22;0,13;4
29;2012;0,05;2,15;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,15;2,43;0,22;4
29;2013;0,03;1,55;2015;383,00;0,15;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;10,31;4,08;0,16;4
29;2014;0,04;2,53;2016;375,00;0,19;0,00;0,04;0,00;0,00;0,15;0,00;0,00;0,00;10,33;3,47;0,20;4
30;2012;0,00;3,52;2014;434,00;0,01;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;10,51;0,47;0,00;1
30;2013;0,01;4,60;2015;414,00;0,12;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;10,60;0,47;0,00;1
30;2014;-0,01;2,74;2016;387,00;0,18;0,00;0,06;0,00;0,00;0,12;0,00;0,00;0,00;10,74;1,05;0,00;1
31;2012;0,07;0,55;2014;384,00;0,12;0,00;0,00;0,00;0,00;0,34;0,00;0,05;0,00;10,03;0,37;0,02;3
31;2013;0,03;0,64;2015;472,00;0,06;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,00;10,13;0,66;0,01;3
31;2014;0,06;0,72;2016;216,00;0,35;0,06;0,08;0,07;0,09;0,01;0,00;0,05;0,00;10,22;0,96;0,02;3
32;2012;0,03;0,72;2014;294,00;0,22;0,49;0,18;0,06;0,00;0,30;0,00;0,00;0,05;10,78;0,38;0,11;3
32;2013;0,04;0,68;2015;266,00;0,31;0,09;0,04;0,01;0,00;0,01;0,10;0,00;0,05;10,79;0,30;0,14;3
32;2014;-0,08;0,57;2016;353,00;0,20;0,00;0,04;0,00;0,00;0,01;0,10;0,00;0,05;10,75;0,45;-0,39;3
33;2012;0,04;0,91;2014;216,00;0,32;0,58;0,10;0,61;0,00;0,14;0,00;0,05;0,05;10,72;0,64;0,18;3
33;2013;0,01;0,93;2015;187,00;0,40;0,10;0,03;0,05;0,00;0,02;0,10;0,05;0,05;10,75;0,60;0,05;3
33;2014;-0,03;0,93;2016;285,00;0,26;0,00;0,04;0,00;0,00;0,01;0,10;0,05;0,05;10,79;0,77;-0,09;3
34;2012;0,07;1,12;2014;55,00;0,54;0,07;0,17;0,23;0,92;0,69;0,10;0,05;0,05;10,24;0,81;0,12;8
34;2013;0,06;1,49;2015;127,00;0,51;0,01;0,02;0,07;0,13;0,08;0,10;0,05;0,05;10,25;0,69;0,10;8
34;2014;0,06;1,88;2016;110,00;0,51;0,01;0,02;0,08;0,12;0,08;0,10;0,05;0,05;10,25;0,65;0,10;8
35;2012;0,11;;2014;387,00;0,12;0,00;0,00;0,00;0,00;0,59;0,00;0,00;0,00;9,72;0,66;0,13;7
35;2013;0,11;;2015;402,00;0,13;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;9,79;0,50;0,14;7
35;2014;0,11;;2016;367,00;0,19;0,00;0,06;0,00;0,00;0,13;0,00;0,00;0,00;9,85;0,92;0,13;7
36;2012;0,09;0,58;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,15;0,20;0,23;7
36;2013;0,07;0,95;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,15;0,70;0,22;7
36;2014;0,06;1,03;2016;463,00;0,12;0,00;0,02;0,00;0,00;0,10;0,00;0,00;0,00;10,17;0,60;0,19;7
37;2012;0,05;1,53;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,05;0,56;0,41;4
37;2013;0,02;1,41;2015;177,00;0,41;0,09;0,05;0,02;0,00;0,14;0,10;0,00;0,00;10,19;0,71;0,24;4
37;2014;0,04;1,73;2016;173,00;0,40;0,06;0,06;0,01;0,04;0,14;0,10;0,00;0,00;10,21;0,72;0,41;4
38;2012;0,02;0,83;2014;124,00;0,45;0,62;0,62;0,00;0,00;0,55;0,10;0,05;0,00;10,17;1,17;0,12;11
38;2013;0,02;0,89;2015;24,00;0,68;0,08;0,06;0,15;0,11;0,18;0,10;0,00;0,00;10,18;1,10;0,13;11
38;2014;0,03;0,98;2016;251,00;0,31;0,00;0,03;0,00;0,00;0,18;0,10;0,00;0,00;10,21;1,11;0,14;11
39;2012;0,03;0,44;2014;190,00;0,35;0,58;0,63;0,30;0,07;0,57;0,00;0,00;0,00;11,19;3,12;0,14;4
39;2013;0,04;0,66;2015;89,00;0,55;0,07;0,10;0,06;0,08;0,10;0,10;0,05;0,00;11,19;2,84;0,16;4
39;2014;0,04;0,62;2016;63,00;0,60;0,11;0,13;0,10;0,01;0,10;0,10;0,05;0,00;11,20;2,80;0,17;4
40;2012;0,15;2,89;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,81;2,39;0,11;1
40;2013;0,15;2,92;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;9,85;2,43;0,11;1
40;2014;0,15;3,06;2016;413,00;0,17;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00;9,89;2,66;0,11;1
41;2012;0,05;0,60;2014;116,00;0,46;0,69;0,78;0,84;0,00;0,05;0,00;0,05;0,05;10,95;1,53;0,05;6
41;2013;0,05;1,04;2015;23,00;0,69;0,07;0,11;0,12;0,10;0,09;0,10;0,05;0,05;10,97;0,54;0,05;6
41;2014;0,06;0,87;2016;34,00;0,66;0,08;0,08;0,12;0,10;0,09;0,10;0,05;0,05;11,00;0,94;0,06;6
42;2012;0,00;0,11;2014;262,00;0,27;0,12;0,20;0,05;0,04;0,02;0,10;0,05;0,05;12,34;1,26;0,03;4
42;2013;0,01;0,19;2015;214,00;0,38;0,02;0,03;0,02;0,01;0,10;0,10;0,05;0,05;12,32;1,14;0,11;4
42;2014;0,00;0,11;2016;175,00;0,40;0,03;0,04;0,02;0,02;0,10;0,10;0,05;0,05;12,32;1,08;0,05;4
43;2012;0,12;;2014;207,00;0,34;0,10;0,18;0,05;0,16;0,32;0,10;0,05;0,05;10,31;0,80;0,16;5
43;2013;0,08;;2015;151,00;0,45;0,01;0,04;0,01;0,05;0,14;0,10;0,05;0,05;10,41;0,96;0,13;5
43;2014;0,10;;2016;194,00;0,37;0,00;0,02;0,00;0,01;0,14;0,10;0,05;0,05;10,41;0,94;0,15;5
44;2012;0,17;1,75;2014;385,00;0,12;0,00;0,00;0,00;0,00;0,59;0,00;0,00;0,00;9,81;0,00;0,10;1
44;2013;0,17;2,20;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;9,82;0,55;0,09;1
44;2014;0,14;1,70;2016;409,00;0,17;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00;9,87;0,47;0,08;1
45;2012;0,01;0,27;2014;356,00;0,14;0,00;0,00;0,00;0,00;0,72;0,00;0,00;0,00;11,26;1,00;0,20;4
45;2013;0,01;0,33;2015;460,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;11,26;1,07;0,16;4
45;2014;0,01;0,33;2016;450,00;0,13;0,00;0,03;0,00;0,00;0,10;0,00;0,00;0,00;11,27;1,07;0,22;4
46;2012;-0,09;0,32;2014;81,00;0,50;0,68;0,60;0,00;0,72;0,49;0,00;0,05;0,05;10,24;0,33;0,03;1
46;2013;-0,02;0,80;2015;35,00;0,65;0,13;0,07;0,08;0,08;0,10;0,10;0,05;0,05;10,18;0,43;-0,02;1
46;2014;0,07;0,54;2016;27,00;0,68;0,13;0,11;0,09;0,06;0,10;0,10;0,05;0,05;10,20;0,35;0,02;1
47;2012;0,13;;2014;423,00;0,06;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00;9,62;0,73;0,18;5
47;2013;0,16;;2015;414,00;0,12;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;9,70;0,67;0,22;5
