"","Ticker","Year","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","TobinsQ","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"11","AAPL",2014,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",5824748000,5824748000,1,2.61894e+11,8.3403e+10,1.38566e+11,7.3611e+10,1.23328e+11,0,0,8.999e+09,3.2504e+10,7.4599e+10,1.8024e+10,1.8024e+10,3.08,3.06,0.47,3.3722e+10,-2.1165e+10,-6.923e+09,5.634e+09,1.9478e+10,3.265e+09,107.47,119.75,95.18,0.3736,0.1928,21.17,5.65,16.71,4.33,0.2473,0.2636,0.4709,0.2225,0.87,5.23,1.133,2.54,-0.0746060911429726,0,-6e-04,-0.0746060911429726,-6e-04,1.99369967272456,-0.0734098713393379,-0.00119621980363473,2015,12,0.75,0.11,0.13,0.11,0.14,0.11,1,0,1
"12","AAPL",2015,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",5544583000,5544583000,1,2.93284e+11,7.6219e+10,1.65017e+11,7.6092e+10,1.28267e+11,0,0,9.126e+09,5.3204e+10,7.5872e+10,1.8361e+10,1.8361e+10,3.3,3.28,0.52,2.7463e+10,-2.045e+10,-1.1444e+10,-4.431e+09,1.6689e+10,4.006e+09,114.69,123.82,105.57,0.4279,0.1922,23.13,5.36,12.47,6.36,0.2132,0.4148,0.4373,0.2287,0.84,4.23,1.0017,2.17,-0.116790321037508,1e-04,-0.0216,-0.116890321037508,-0.0217,1.11977964123371,-0.0925911028227361,-0.0241992182147715,2016,14,0.74,0.1,0.15,0.12,0.11,0.11,1,0,1
"13","ABBV",2013,5,"Health Care",5,"ABBV_quarterly_financial_data.xls","abbvie","abbvie inc","abbvie inc",1588518764,1588518764,1,2.9198e+10,1.7848e+10,2.4706e+10,6.879e+09,4.492e+09,0,0,8.167e+09,1.4292e+10,5.111e+09,1.128e+09,1.128e+09,0.7,0.7,0.8,1.245e+09,1.23e+08,-7.47e+08,6.2e+08,9.595e+09,1.51e+08,49.55,54.78,44.32,NA,NA,2.83,22.02,NA,2,0.7691,3.1817,0.1538,0.2197,0.67,0.69,2.5946,NA,0.0861682266780393,0,0.0281,0.0861682266780393,0.0281,1.5653780897793,0.042181102355241,0.0439871243227983,2014,254,0.28,0.22,0.13,0.07,0.16,0.2,1,0,1
"14","ABBV",2014,5,"Health Care",5,"ABBV_quarterly_financial_data.xls","abbvie","abbvie inc","abbvie inc",1593886909,1593886909,1,2.7547e+10,1.6088e+10,2.5805e+10,1.14e+10,1.742e+09,0,0,7.375e+09,1.0565e+10,5.452e+09,-8.1e+08,-8.1e+08,-0.51,-0.51,0.42,-5.78e+08,2.514e+09,-8.82e+08,6.29e+08,8.348e+09,1.53e+08,61.41,70.76,52.06,0.4353,0.0624,1.09,21.03,26.7,3.66,1.4899,6.0649,0.0632,0.0889,0.7,-0.46,1.4112,NA,-0.0558670964141833,0,-6e-04,-0.0558670964141833,-6e-04,1.57707234982411,-0.0549208530042889,-0.000946243409894466,2015,175,0.41,0.04,0.03,0.02,0.03,0.14,1,0,1
"15","ABBV",2015,5,"Health Care",5,"ABBV_quarterly_financial_data.xls","abbvie","abbvie inc","abbvie inc",1611238226,1611238226,1,5.305e+10,1.6314e+10,4.9105e+10,1.0894e+10,3.945e+09,0,0,3.2877e+10,2.924e+10,6.4e+09,1.517e+09,1.517e+09,0.92,0.93,0.51,1.963e+09,-2.97e+08,-2.431e+09,-8.24e+08,8.399e+09,1.45e+08,54.88,64.3,45.45,NA,0.1092,2.45,18.48,32.47,5.68,0.6377,7.4119,0.0744,0.225,0.49,1.13,1.4975,NA,0.0185711098020877,1e-04,-0.0216,0.0184711098020877,-0.0217,1.3358525292876,0.0474591096876286,-0.0288879998855409,2016,125,0.47,0.07,0.04,0.02,0.05,0.14,1,0,1
"16","ABC",2013,6,"Health Care",5,"ABC_quarterly_financial_data.xls","amerisourcebergen","amerisourcebergen corporation","amerisourcebergen corp",229201153,229201153,1,19796095000,15228345000,17548293000,15828898000,2247802000,0,0,3501341000,1396776000,29176362000,41385000,41385000,0.18,0.17,0.235,-1003643000,-68203000,188305000,-883541000,347465000,59183000,66.04,70.89,61.19,0.1314,0.0172,9.81,6.55,35.89,3.65,0.6498,0.6214,0.1135,0.0032,5.36,-4.64,0.9621,0.92,-0.00312405154338848,0,0.0281,-0.00312405154338848,0.0281,0.742625084707307,-0.0239918164236638,0.0208677648802753,2014,372,0.13,0,0,0,0,0.64,0,0,0
"17","ABC",2014,6,"Health Care",5,"ABC_quarterly_financial_data.xls","amerisourcebergen","amerisourcebergen corporation","amerisourcebergen corp",219604997,219604997,1,24904916000,20144710000,23136570000,20805033000,1768346000,0,0,3501051000,1995885000,33588602000,-199947000,-199947000,-0.91,-0.91,0.29,896964000,-77156000,-329565000,490243000,2298756000,52557000,83.79,92.56,75.02,0.0179,0.0016,8.05,9.36,72.86,4.64,6.2525,1.1287,0.071,3e-04,5.67,3.85,0.9683,0.9,-0.00982272148231559,0,-6e-04,-0.00982272148231559,-6e-04,0.725509368341039,-0.00938741586131097,-0.000435305621004623,2015,394,0.14,0,0,0,0,0.14,0,0,0
"18","ABC",2015,6,"Health Care",5,"ABC_quarterly_financial_data.xls","amerisourcebergen","amerisourcebergen corporation","amerisourcebergen corp",205462465,205462465,1,30755802000,20361675000,29455783000,24024341000,1300019000,0,0,9052837000,4393317000,36709046000,330377000,330377000,1.6,1.46,0.34,750848000,-2772487000,832287000,-1189352000,978090000,90110000,98.31,105.81,90.82,0.2915,0.014,6.33,31.92,NA,5.85,0.6471,3.3794,0.0423,0.0028,4.93,3.22,0.8475,0.96,0.0501215916423345,1e-04,-0.0216,0.0500215916423345,-0.0217,0.468147190753278,0.0601803856816807,-0.0100587940393461,2016,361,0.2,0,0.06,0,0,0.14,0,0,0
"19","ABT",2013,7,"Health Care",5,"ABT_quarterly_financial_data.xls","abbott laboratories","abbott laboratories","abbott laboratories",1543070300,1543070300,1,4.2953e+10,1.9247e+10,1.7686e+10,9.507e+09,2.5171e+10,9.6e+07,0,1.5507e+10,3.388e+09,5654942000,589550000,571550000,0.37,0.37,0.22,1625061000,839703000,-1869055000,592709000,3.475e+09,303659000,35.78,38.81,32.75,0.1091,0.0597,16.31,2.33,18.83,57.9,21.717,0.1346,0.586,0.1171,0.51,0.86,2.0245,1.23,0.00365927679869691,0,0.0281,0.00365927679869691,0.0281,1.84355580390044,-0.0481446412909056,0.0518039180896025,2014,242,0.29,0.12,0.08,0.15,0.35,0.19,1,0,1
"20","ABT",2014,7,"Health Care",5,"ABT_quarterly_financial_data.xls","abbott laboratories","abbott laboratories","abbott laboratories",1508977828,1508977828,1,4.1275e+10,1.5261e+10,1.9636e+10,1.0532e+10,2.1526e+10,1.13e+08,0,1.6265e+10,3.408e+09,4.348e+09,9.05e+08,9.01e+08,0.6,0.59,0.22,1.238e+09,-1e+07,-7e+08,4.5e+08,4.063e+09,2.87e+08,42.89,46.5,39.28,0.0995,0.0547,14.27,2.82,33.77,58.78,0.5827,0.1583,0.5215,0.1123,0.49,0.63,1.449,1.66,0.011392999303787,0,-6e-04,0.011392999303787,-6e-04,0.832397643855632,0.0118924378901004,-0.000499438586313379,2015,218,0.37,0.02,0.01,0.02,0.03,0.14,1,0,1
"21","ABT",2015,7,"Health Care",5,"ABT_quarterly_financial_data.xls","abbott laboratories","abbott laboratories","abbott laboratories",1473241861,1473241861,1,4.1247e+10,1.4155e+10,1.9921e+10,9.186e+09,2.1211e+10,1.15e+08,0,1.52e+10,5.871e+09,5.188e+09,7.67e+08,7.65e+08,0.5,0.5,0.24,8.28e+08,1.566e+09,-4.97e+08,1.869e+09,5.001e+09,2.48e+08,42.83,46.38,39.28,0.202,0.104,14.4,3.03,14.28,59.74,0.324,0.2768,0.5142,0.2158,0.48,0.39,1.5409,1.63,-0.000222513691894054,1e-04,-0.0216,-0.000322513691894054,-0.0217,1.44857963539465,0.0311116643961698,-0.0313341780880639,2016,187,0.38,0.01,0.01,0.01,0.05,0.14,1,0,1
"22","ACIW",2013,8,"Industrials",6,"ACIW_quarterly_financial_data.xls","union pacific","union pacific corporation","union pacific corp",38451657,115354971,3,1681851000,436362000,1138157000,345600000,543694000,0,0,906910000,708070000,781128000,50391000,50391000,1.3,1.24,0,51858000,-128152000,3909000,-71452000,95059000,14241000,19.52,21.67,17.37,0.1243,0.0401,4.71,4.74,39.04,0,0,1.3023,0.3233,0.0738,0.54,0.33,1.2626,1.69,0.00725700717865738,0,0.0281,0.00725700717865738,0.0281,0.846682324054431,-0.0165347661272721,0.0237917733059295,2014,160,0.39,0.2,0.43,0.4,0.02,0.67,0,1,1
"23","ACIW",2014,8,"Industrials",6,"ACIW_quarterly_financial_data.xls","union pacific","union pacific corporation","union pacific corp",115879610,115879610,1,1850700000,418268000,1269295000,378816000,581405000,0,0,1042599000,804583000,619405000,46366000,46366000,0.4,0.38,0,77043000,-8918000,-47564000,17230000,77301000,8918000,19.21,20.77,17.65,0.1297,0.039,5.02,4.24,31.84,0,0,1.3839,0.3142,0.0665,0.59,0.59,1.1041,1.7,0.0363492304877848,0,-6e-04,0.0363492304877848,-6e-04,0.743221605521034,0.0367951634510975,-0.00044593296331262,2015,121,0.52,0.01,0.03,0.07,0.03,0.18,1,1,1
"24","ACIW",2015,8,"Industrials",6,"ACIW_quarterly_financial_data.xls","union pacific","union pacific corporation","union pacific corp",119073873,119073873,1,1990212000,388084000,1335812000,390444000,654400000,0,0,1170186000,843290000,1015677000,43767000,43767000,0.37,0.36,0,64080000,-196709000,154727000,21382000,102239000,17342000,22.66,24.36,20.96,0.1407,0.047,5.5,4.48,31.04,0,0,1.2886,0.3288,0.0817,0.57,0.39,0.994,1.71,-0.0944602010026204,1e-04,-0.0216,-0.0945602010026204,-0.0217,1.45288905135402,-0.0630325085882382,-0.0314276924143822,2016,81,0.57,0.05,0.04,0.09,0.01,0.18,1,1,1
"25","ADBE",2013,9,"Information Technology",7,"ADBE_quarterly_financial_data.xls","adobe systems","adobe systems incorporated","adobe systems inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,0.0531584428185046,0,0.0281,0.0531584428185046,0.0281,0.550999847598482,0.0376753471009873,0.0154830957175174,2014,2,0.84,0.83,0.87,0.99,0.92,0.51,1,1,1
"26","ADBE",2014,9,"Information Technology",7,"ADBE_quarterly_financial_data.xls","adobe systems","adobe systems incorporated","adobe systems inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,-0.0133900486730533,0,-6e-04,-0.0133900486730533,-6e-04,1.96526093531432,-0.0122108921118647,-0.00117915656118859,2015,3,0.83,0.13,0.09,0.12,0.09,0.19,1,1,1
"27","ADBE",2015,9,"Information Technology",7,"ADBE_quarterly_financial_data.xls","adobe systems","adobe systems incorporated","adobe systems inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,0.0267545945928666,1e-04,-0.0216,0.0266545945928666,-0.0217,0.973483730024112,0.0477791915343898,-0.0210245969415232,2016,53,0.62,0.06,0.08,0.08,0.03,0.19,1,1,1
"28","ADI",2013,10,"Information Technology",7,"ADI_quarterly_financial_data.xls","analog devices","analog devices inc","analog devices inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,0.0615620790200372,0,0.0281,0.0615620790200372,0.0281,1.31523601875755,0.0246039468929499,0.0369581321270872,2014,50,0.56,0.55,0.48,0.59,0.3,0.86,0,1,1
"29","ADI",2014,10,"Information Technology",7,"ADI_quarterly_financial_data.xls","analog devices","analog devices inc","analog devices inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,0.0227012504854689,0,-6e-04,0.0227012504854689,-6e-04,1.54411687971311,0.0236277206132968,-0.000926470127827863,2015,124,0.51,0.08,0.08,0.07,0.04,0.13,0,1,1
"30","ADI",2015,10,"Information Technology",7,"ADI_quarterly_financial_data.xls","analog devices","analog devices inc","analog devices inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,-0.101496384049314,1e-04,-0.0216,-0.101596384049314,-0.0217,1.10791875763138,-0.0775545470087128,-0.023941837040601,2016,100,0.53,0.09,0.09,0.07,0.05,0.13,0,1,1
"31","ADM",2013,11,"Consumer Staples",2,"ADM_quarterly_financial_data.xls","archer-daniels-midland","archer-daniels-midland company","archer-daniels-midland co",658371076,658371076,1,4.3752e+10,2.853e+10,2.3558e+10,1.5658e+10,2.0156e+10,3.8e+07,0,7.59e+08,5.347e+09,2.4143e+10,3.74e+08,3.74e+08,0.57,0.56,0.19,3.57e+08,-4.03e+08,-8.5e+07,-1.31e+08,3.121e+09,2.9e+08,40,43.99,36.01,0.0691,0.0318,30.61,1.35,17.94,6.88,0.373,0.2653,0.4607,0.0149,2.13,0.1,1.8221,0.48,0.0753495835592332,0,0.0281,0.0753495835592332,0.0281,0.664424226349584,0.0566792627988099,0.0186703207604233,2014,307,0.19,0.06,0.09,0.55,0,0.19,0,1,0
"32","ADM",2014,11,"Consumer Staples",2,"ADM_quarterly_financial_data.xls","archer-daniels-midland","archer-daniels-midland company","archer-daniels-midland co",634287854,634287854,1,4.4027e+10,2.6028e+10,2.4397e+10,1.5602e+10,1.9575e+10,5.5e+07,0,1.273e+09,5.558e+09,2.0894e+10,7.01e+08,7.01e+08,1.08,1.08,0.24,5.38e+08,-2.987e+09,-9.91e+08,-3.44e+09,1.099e+09,3.18e+08,47.77,53.91,41.63,0.1124,0.0538,30.86,1.52,16.42,7.84,0.2752,0.2839,0.4446,0.0277,1.94,0.35,1.6682,0.64,-0.0129922556784712,0,-6e-04,-0.0129922556784712,-6e-04,0.823355470888378,-0.0124982423959382,-0.000494013282533027,2015,253,0.33,0.02,0.01,0.07,0,0.09,1,1,0
"33","ADM",2015,11,"Consumer Staples",2,"ADM_quarterly_financial_data.xls","archer-daniels-midland","archer-daniels-midland company","archer-daniels-midland co",593898294,593898294,1,4.0157e+10,2.1829e+10,2.2242e+10,1.3505e+10,1.7899e+10,1.6e+07,0,3.688e+09,5.779e+09,1.6445e+10,7.18e+08,7.18e+08,1.2,1.2,0.28,1.383e+09,2.86e+08,-1.479e+09,1.9e+08,9.1e+08,3.06e+08,40.44,47.03,33.84,0.1013,0.0453,30.14,1.35,14.09,8.96,0.3665,0.3229,0.4457,0.0273,1.66,1.81,1.6164,0.48,0.00519344270328114,1e-04,-0.0216,0.00509344270328114,-0.0217,1.18451195431639,0.0307973521119467,-0.0256039094086656,2016,240,0.32,0.01,0.02,0.06,0,0.09,1,1,0
"34","ADP",2013,12,"Information Technology",7,"ADP_quarterly_financial_data.xls","automatic data processing","automatic data processing inc","automatic data processing inc",481825525,481825525,1,38321800000,32301100000,32063300000,3.0645e+10,6258500000,0,0,3753100000,12600000,2982800000,3.77e+08,3.77e+08,0.79,0.78,0.48,391700000,-8727900000,8454600000,118100000,1267100000,91300000,76.86,83.82,69.91,0.2246,0.0404,12.99,5.98,26.14,19.69,0.6073,0.002,0.1633,0.1205,0.34,0.62,1.054,0.97,0.0166884372442692,0,0.0281,0.0166884372442692,0.0281,0.634522853152042,-0.00114165492930315,0.0178300921735724,2014,105,0.47,0.47,0.38,0.61,0,1,0,1,0
"35","ADP",2014,12,"Information Technology",7,"ADP_quarterly_financial_data.xls","automatic data processing","automatic data processing inc","automatic data processing inc",475152112,475152112,1,43503100000,3.9116e+10,38010900000,36770200000,5492200000,0,0,2332700000,10300000,2661300000,331500000,331500000,0.7,0.69,0.49,228900000,-13646900000,13120600000,-324900000,1850800000,84800000,78.52,86.54,70.5,0.2336,0.0404,11.56,6.49,25.58,31.29,3.8886,0.0019,0.1262,0.1237,0.33,0.3,1.0638,0.86,-0.02110014518344,0,-6e-04,-0.02110014518344,-6e-04,0.808633188727693,-0.0206149652702033,-0.000485179913236616,2015,282,0.28,0,0.07,0,0,0.16,0,1,0
"36","ADP",2015,12,"Information Technology",7,"ADP_quarterly_financial_data.xls","automatic data processing","automatic data processing inc","automatic data processing inc",457451131,457451131,1,39899500000,35659200000,35693300000,32468100000,4206200000,0,0,2166500000,1994800000,2.807e+09,341400000,341400000,0.75,0.74,0.53,399500000,-6184900000,5405400000,-389800000,2794900000,88400000,84.7,90.67,78.74,0.3196,0.0416,9.19,8.44,26.8,33.29,0.6163,0.4743,0.1054,0.134,0.31,0.68,1.0983,0.94,-0.0118555632523004,1e-04,-0.0216,-0.0119555632523004,-0.0217,0.774137608943962,0.00484322286178353,-0.016698786114084,2016,268,0.28,0,0.07,0,0,0.16,0,1,0
"37","ADS",2013,13,"Information Technology",7,"ADS_quarterly_financial_data.xls","alliance data systems","alliance data systems corporation","alliance data systems corp",53172615,53172615,1,13244257000,10400842000,12388496000,4512498000,855761000,0,0,2196107000,2435792000,1141087000,117873000,117873000,2.4,1.78,0,204654000,-1245083000,1232947000,185780000,969822000,43617000,237.01,264.31,209.71,0.721,0.0405,16.09,16.23,34.3,0,0,2.8463,0.0646,0.1149,0.35,3.03,2.3049,1.03,0.0818761668402418,0,0.0281,0.0818761668402418,0.0281,1.10948588934073,0.0506996133497674,0.0311765534904744,2014,435,0,0,0,0,0,0,0,0,0
"38","ADS",2014,13,"Information Technology",7,"ADS_quarterly_financial_data.xls","alliance data systems","alliance data systems corporation","alliance data systems corp",62805266,62805266,1,20263977000,13814776000,17632031000,6305483000,2396380000,235566000,0,5381478000,4001082000,1485749000,76256000,67212000,0.87,0.86,0,376180000,-2874286000,2951383000,442328000,1077152000,44099000,261.75,292.96,230.54,0.3768,0.0325,38.16,14.39,29.78,0,0,1.6696,0.1183,0.0955,0.33,5.29,2.1909,0.93,0.000629349338349831,0,-6e-04,0.000629349338349831,-6e-04,2.87023927169194,0.002351492901365,-0.00172214356301517,2015,311,0.24,0,0.08,0,0,0.16,0,0,0
