"";"Companies";"YearFinancialIndicator";"Industry";"Asset";"DebtRatio";"NetMargin";"ROA";"ROE";"TobinsQ";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"GreenReputation";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore"
"58";20;2013;4;5,41329e+11;0,41;0,19;0,1;0,12;NA;0;0;0;0;0,65;0;0,05;0
"59";20;2014;4;5,15581e+11;0,21;0,17;0,09;0,12;NA;0;0;0;0;0,14;0,1;0,05;0
"60";20;2015;4;4,96943e+11;0,2;0,15;0,08;0,11;NA;0;0,09;0;0;0,15;0,1;0,05;0
"61";21;2014;7;4001546000;0,21;0,08;0,03;0,13;2,72;0,01;0,07;0;0,15;0,18;0,1;0,05;0,05
"62";21;2015;7;4187925000;0,2;0,06;0,02;0,11;2,16;0,05;0,04;0;0,15;0,18;0,1;0,05;0,05
"63";21;2013;7;2957685000;0;0,07;0,02;0,11;2,59;0,03;0,12;0;0,68;0,82;0;0,05;0,05
"64";22;2015;4;1,04656e+11;0,4;0,06;0,01;0,02;0,22;0,01;0,03;0,06;0,08;0,16;0,1;0,05;0,05
"65";22;2014;4;1,08533e+11;0,25;0,29;0,17;0,22;0,26;0,01;0,03;0,05;0,12;0,16;0,1;0,05;0,05
"66";22;2013;4;1,2352e+11;0,03;0,16;0,09;0,11;0,19;0,19;0,21;0,31;0,72;0,87;0;0,05;0,05
"67";23;2015;5;13133230000;0,44;0,14;0,1;0,17;3,4;0;0,06;0;0;0,17;0;0;0
"68";23;2013;5;3317696000;0,27;0,03;0,02;0,04;7,43;0;0;0;0;0,63;0;0;0
"69";23;2014;5;4201962000;0,25;0,12;0,08;0,14;8,25;0;0;0;0;0,17;0;0;0
"70";24;2015;7;1,5308e+10;0,48;0,15;0,09;0,18;1,13;0,1;0,1;0,09;0,03;0,13;0,1;0,05;0
"71";24;2014;7;1,3174e+10;0,44;0,15;0,09;0,17;1,88;0,08;0,08;0,09;0,02;0,13;0,1;0,05;0
"72";24;2013;7;1,2043e+10;0,36;0,14;0,1;0,18;1,68;0,61;0,65;0,72;0,32;0,89;0,1;0,05;0
"73";25;2014;6;6420963000;0,72;0,18;0,06;0,18;2,1;0;0;0;0;0,13;0;0;0
"74";25;2015;6;6664530000;0,67;0,21;0,07;0,19;2,04;0;0,05;0;0;0,13;0;0;0
"75";25;2013;6;5877902000;0,65;0,16;0,06;0,17;2,31;0;0;0;0;0;0;0;0
"76";26;2014;4;7698100000;1,34;0,26;0,07;0,21;1,72;0;0;0;0;0,1;0;0;0
"77";26;2013;4;6318800000;1,34;0,27;0,09;0,24;1,96;0;0;0;0;0,89;0;0;0
"78";26;2015;4;7784800000;1,04;0,32;0,1;0,25;1,32;0;0,06;0;0;0,1;0;0;0
"79";27;2013;5;6,6125e+10;1,34;0,12;0,01;0,16;1,46;0,64;0,51;0,52;0,43;0,6;0;0,05;0,05
"80";27;2014;5;6,9009e+10;1,17;0,13;0,01;0,2;1,79;0,08;0,09;0,08;0,08;0,17;0,1;0,05;0,05
"81";27;2015;5;7,1576e+10;1,04;0,13;0,01;0,2;1,7;0,06;0,07;0,06;0,07;0,17;0,1;0,05;0,05
"82";28;2015;4;1,45342e+11;1,42;0,13;0,01;0,2;0,16;0;0,07;0;0;0,1;0;0;0
"83";28;2014;4;1,4881e+11;1,22;0,13;0,01;0,2;0,19;0;0;0;0;0,09;0;0;0
"84";28;2013;4;1,44576e+11;1,03;0,12;0,01;0,15;0,17;0;0;0;0;0,86;0;0;0
"85";29;2013;4;20272571000;4,08;0,16;0,03;0,15;1,55;0;0;0;0;0;0;0;0
"86";29;2014;4;21331545000;3,47;0,2;0,04;0,2;2,53;0;0;0;0;0,15;0;0;0
"87";29;2015;4;26904272000;2,57;0,12;0,03;0,09;2,17;0;0,04;0;0;0,15;0;0;0
"88";30;2014;1;5,4505e+10;1,05;0;-0,01;-0,02;2,74;0;0;0;0;0,12;0;0;0
"89";30;2015;1;6,5444e+10;0,93;0,01;0,01;0,05;5,02;0;0,06;0;0;0,12;0;0;0
"90";30;2013;1;4,0159e+10;0,47;0;0,01;0,03;4,6;0;0;0;0;0,07;0;0;0
"91";31;2014;3;1,649e+10;0,96;0,02;0,06;0,19;0,72;0;0;0;0;0,01;0;0,05;0
"92";31;2015;3;1,633e+10;0,78;0,05;0,09;0,32;0,91;0,06;0,08;0,07;0,09;0,01;0;0,05;0
"93";31;2013;3;1,339e+10;0,66;0,01;0,03;0,1;0,64;0;0;0;0;0,34;0;0,05;0
"94";32;2015;3;1,8842e+10;3,54;-2,7;-0,72;-1,62;0,93;0;0,04;0;0;0,01;0,1;0;0,05
"95";32;2014;3;5,5952e+10;0,45;-0,39;-0,08;-0,18;0,57;0,09;0,04;0,01;0;0,01;0,1;0;0,05
"96";32;2013;3;6,1637e+10;0,3;0,14;0,04;0,07;0,68;0,49;0,18;0,06;0;0,3;0;0;0,05
"97";33;2015;3;4,6414e+10;1,23;-0,77;-0,13;-0,45;0,85;0;0,04;0;0;0,01;0,1;0,05;0,05
"98";33;2014;3;6,1689e+10;0,77;-0,09;-0,03;-0,09;0,93;0,1;0,03;0,05;0;0,02;0,1;0,05;0,05
"99";33;2013;3;5,5781e+10;0,6;0,05;0,01;0,04;0,93;0,58;0,1;0,61;0;0,14;0;0,05;0,05
"100";34;2013;8;17915200000;0,69;0,1;0,06;0,15;1,49;0,07;0,17;0,23;0,92;0,69;0,1;0,05;0,05
"101";34;2014;8;17635400000;0,65;0,1;0,06;0,14;1,88;0,01;0,02;0,07;0,13;0,08;0,1;0,05;0,05
"102";34;2015;8;17260300000;0,53;0,14;0,08;0,18;1,77;0,01;0,02;0,08;0,12;0,08;0,1;0,05;0,05
"103";35;2014;7;7,027e+09;0,92;0,13;0,11;0,24;NA;0;0;0;0;0,13;0;0;0
"104";35;2015;7;7458400000;0,87;0,14;0,11;0,25;NA;0;0,06;0;0;0,13;0;0;0
"105";35;2013;7;6168028000;0,5;0,14;0,11;0,24;NA;0;0;0;0;0,59;0;0;0
"106";36;2013;7;1,4012e+10;0,7;0,22;0,07;0,09;0,95;0;0;0;0;0;0;0;0
"107";36;2014;7;1,4746e+10;0,6;0,19;0,06;0,12;1,03;0;0;0;0;0,1;0;0;0
"108";36;2015;7;1,5251e+10;0,51;0,19;0,06;0,11;2,08;0;0,02;0;0;0,1;0;0;0
"109";37;2014;4;16176723000;0,72;0,41;0,04;0,08;1,73;0,09;0,05;0,02;0;0,14;0,1;0;0
"110";37;2013;4;15328143000;0,71;0,24;0,02;0,04;1,41;0;0;0;0;0;0;0;0
"111";37;2015;4;16931305000;0,66;0,4;0,04;0,08;1,87;0,06;0,06;0,01;0,04;0,14;0,1;0;0
"112";38;2015;11;1,7241e+10;1,16;0,15;0,03;0,09;1,01;0;0,03;0;0;0,18;0,1;0;0
"113";38;2014;11;16130956000;1,11;0,14;0,03;0,09;0,98;0,08;0,06;0,15;0,11;0,18;0,1;0;0
"114";38;2013;11;15069533000;1,1;0,13;0,02;0,08;0,89;0,62;0,62;0;0;0,55;0,1;0,05;0
"115";39;2013;4;1,53375e+11;2,84;0,16;0,04;0,28;0,66;0,58;0,63;0,3;0,07;0,57;0;0;0
"116";39;2014;4;1,59103e+11;2,8;0,17;0,04;0,29;0,62;0,07;0,1;0,06;0,08;0,1;0,1;0,05;0
"117";39;2015;4;1,61184e+11;2,32;0,16;0,03;0,24;0,39;0,11;0,13;0,1;0,01;0,1;0,1;0,05;0
"118";40;2013;1;7023423000;-2,43;0,11;0,15;-0,64;2,92;0;0;0;0;0;0;0;0
"119";40;2014;1;7717101000;-2,66;0,11;0,15;-0,64;3,06;0;0;0;0;0,1;0;0;0
"120";40;2015;1;8217528000;-2,67;0,11;0,15;-0,71;3,36;0;0,07;0;0;0,1;0;0;0
"121";41;2015;6;9,4408e+10;1,38;0,05;0,05;0,76;0,92;0,08;0,08;0,12;0,1;0,09;0,1;0,05;0,05
"122";41;2014;6;9,9198e+10;0,94;0,06;0,06;0,42;0,87;0,07;0,11;0,12;0,1;0,09;0,1;0,05;0,05
"123";41;2013;6;9,2663e+10;0,54;0,05;0,05;0,47;1,04;0,69;0,78;0,84;0;0,05;0;0,05;0,05
"124";42;2013;4;2,102273e+12;1,14;0,11;0,01;0,05;0,19;0,12;0,2;0,05;0,04;0,02;0,1;0,05;0,05
"125";42;2014;4;2,104534e+12;1,08;0,05;0;0,02;0,11;0,02;0,03;0,02;0,01;0,1;0,1;0,05;0,05
"126";42;2015;4;2,144316e+12;1,01;0,17;0,01;0,06;0,18;0,03;0,04;0,02;0,02;0,1;0,1;0,05;0,05
"127";43;2013;5;2,5869e+10;0,96;0,13;0,08;0,26;NA;0,1;0,18;0,05;0,16;0,32;0,1;0,05;0,05
"128";43;2014;5;2,5917e+10;0,94;0,15;0,1;0,3;NA;0,01;0,04;0,01;0,05;0,14;0,1;0,05;0,05
"129";43;2015;5;2,0975e+10;0,44;0,09;0,05;0,15;NA;0;0,02;0;0,01;0,14;0,1;0,05;0,05
"130";44;2015;1;6843992000;0,58;0,07;0,13;0,33;1,23;0;0,07;0;0;0,1;0;0;0
"131";44;2013;1;6544489000;0,55;0,09;0,17;0,26;2,2;0;0;0;0;0,59;0;0;0
"132";44;2014;1;7335835000;0,47;0,08;0,14;0,28;1,7;0;0;0;0;0,1;0;0;0
"133";45;2013;4;1,8301e+11;1,07;0,16;0,01;0,08;0,33;0;0;0;0;0,72;0;0;0
