"X","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","FirmSize","LogTobinsQ"
1032,0.155259008654315,1.4,0.440762578854874,6.44594014609412,-3.82948294708435,3377.18782293088,0.02,0.06,0,0.04,0.44,1,1,1,-0.26602167142482,0.242491607329245,343449015206.382,0.200252540571961,0.00576157186194479,2015,343,23.5903857256965,0.336472236621213
1033,0.0912067114337643,1.68,0.116932090857408,-1.70560198169811,-69.2517687095479,-25063.1774458275,0.71,0,0,0.79,0.4,1,0,1,-0.551608068867326,0.488002202493263,90607696278.2535,1.69217371487498,-0.00375575167424375,2013,344,23.899525056171,0.518793793415168
1034,0.0639333933003732,2.09,-0.0412268737628684,-4.53916061127239,-14.6114108800978,-4827.46197597009,0.09,0,0,0.12,0.41,1,0,1,-0.0168210016391257,0.0555171545517239,341986967352.855,2.19392516669791,-0.00490040164752133,2014,344,23.5811797854512,0.73716406597672
1035,0.104145762709258,1.64,0.526031687406783,11.7952538295197,102.357827452331,9335.82656732765,0.11,0,0,0.11,0.42,1,0,1,0.856091545190131,-0.0700288780989563,266892452568.884,1.57986839532774,-0.00398219090131366,2015,344,24.3918442750454,0.494696241836107
1036,0.169231033184466,3.95,0.376881570031989,11.5024830113451,-33.4137031201969,-7219.1408061747,0.14,0,0,0.19,0.22,0,1,0,0.320828406140514,0.556844280015126,-317079357540.102,0.736083531836366,-0.00725670614628464,2013,345,21.7644145767492,1.37371557891303
1037,0.0851897700419684,3.69,0.242337510587682,10.5535942281717,49.1079286466223,-4865.95549323172,0,0,0,0,0.21,0,1,0,3.16664324885766,-0.135984689708106,8682913296.25737,1.66440591258808,0.0369233390779596,2014,345,21.7616483659725,1.30562645805244
1038,0.0457844957554578,4,0.270955714478685,19.6721949578191,156.833151602338,3228.78160802372,0.03,0,0,0,0.24,0,1,0,4.07960717276802,-0.225594155164017,-119133263832.209,0.242772416654886,0.00954946591268995,2015,345,23.6685200586332,1.38629436111989
1039,0.0442,1.35,0.0787,2.21,28.01,43.02,0.26,0.73,0,0.7,0.49,0,0,1,0.5636,0.0973,31863400000,1.51489839712192,0.0579587440793751,2013,346,24.1847238526208,0.300104592450338
1040,0.0431,1.43,0.0922,2.31,28.57,51.79,0.05,0,0,0.09,0.44,0,1,1,0.6011,0.1122,42852100000,0.329799099730582,-0.0300503337138457,2014,346,24.4810204889574,0.357674444271816
1041,0.0477,1.63,0.0954,2.5,26.61,53.88,0.04,0,0,0,0.34,0,1,1,0.5374,0.1164,4.0889e+10,0.908954119046586,0.0453570502240056,2015,346,24.4341269151667,0.488580014818671
1042,0.0953885507797256,0.81,0.0657282469985981,-2.70537318969119,-103.488480145518,-4709.65718384873,0,0,0,0,0.07,0,0,0,-2.67977245725731,0.198682711849806,-89497221909.2349,-0.092625600361291,0.259837505287823,2013,347,23.8890560605063,-0.210721031315653
1043,0.0885049420938738,0.67,0.332701206258627,2.12962799586384,-19.1827062972815,10150.3687841871,0,0,0,0,0.16,0,0,0,0.906094725205684,0.0811586673550857,398849321277.264,0.862221849647738,-0.0796966779127997,2014,347,23.9961749244102,-0.400477566597125
1044,0.0671955939295174,0.84,0.260971425323425,-0.284096549812964,-75.7886473154845,1955.35438129815,0.07,0,0,0,0.23,0,0,0,2.34057387611125,-0.19051251761106,-65437162639.0681,0.019547903363317,0.097425312625858,2015,347,24.1204390732505,-0.174353387144778
1045,0.13360315557615,1.21,0.235794823726788,-2.73355338264125,-135.204214083286,1067.10420590267,0.19,0,0,0.21,0.3,1,0,1,0.449506280752937,0.333317076588834,138918429661.227,1.08932995822433,-0.0189080015299023,2013,348,23.4721914582048,0.19062035960865
