"","Ticker","Year","X.x","Companies.x","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","Companies.y","TobinsQ","X.y","Date","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","Companies","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","X"
"1816","K",2016,3392,203,"Consumer Staples",2,"K_quarterly_financial_data.xls","kellogg","kellogg company","kellogg co",351139083,351139083,1,1.5111e+10,"2.94e+09",1.3185e+10,"4.474e+09",1.91e+09,1.6e+07,0,7.535e+09,6.698e+09,"3097000000","-53000000","-53000000","-0.15","-0.15",0.52,"607000000","-512000000","-121000000","-66000000",2.8e+08,1.31e+08,"74.1","77.25","70.96","0.342","0.0454",5.44,"11.89","37.24",28.84,"1.0306","3.5068","0.1264","0.0533","0.85","1.36","0.6571",203,2.26,11320,"2016-12-01",0.0234723928261446,3e-04,0.0185,0.0231723928261446,0.0182,0.00966475005338156,0.022996494375173,0.000475898450971544,203,2014,139,0.42,0.33,0.24,0.63,0,0.18,1,1,1,NA
"1817","K",2017,3387,203,"Consumer Staples",2,"K_quarterly_financial_data.xls","kellogg","kellogg company","kellogg co",345748749,345748749,1,1.635e+10,"3.036e+09",1.4122e+10,"4.479e+09",2.212e+09,1.6e+07,0,8.143e+09,7.836e+09,"3209000000","428000000","428000000","1.23","1.24",0.54,"525000000","-731000000","211000000","14000000",2.81e+08,1.27e+08,"63.73","68.71","58.76","0.6362","0.0806",6.4,"11.42","28.45",30.96,"0.5791","3.5425","0.1353","0.0982","0.82","1.15","0.6778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,2015,68,0.58,0.05,0.06,0.09,0.09,0.1,1,1,1,NA
"1818","K",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,2016,68,0.6,0.06,0.06,0.09,0.09,0.1,1,1,1,NA
"1819","KEY",2012,3415,204,"Financials",4,"KEY_quarterly_financial_data.xls","key corporation","keycorp","keycorp",923858672,923858672,1,8.9236e+10,"None",7.8927e+10,"None",1.0271e+10,3.8e+07,2.91e+08,1.15e+09,0,"1067000000","203000000","197000000","0.22","0.22",0.05,"699000000","-3257000000","2169000000","-389000000",5.85e+08,5.9e+07,"8.48","9.01","7.96","0.0844","0.0098",10.8,"0.79","9.64",16.42,"0.2017","0","0.1118","0.1976","0.05","0.69","None",204,0.12,11332,"2012-12-01",0.0412180279554292,1e-04,0.0119,0.0411180279554292,0.0118,1.09230178585352,0.0282288668823576,0.0129891610730716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1820","KEY",2013,3408,204,"Financials",4,"KEY_quarterly_financial_data.xls","key corporation","keycorp","keycorp",889398493,889398493,1,9.2934e+10,"None",8.2614e+10,"None",1.0303e+10,1.7e+07,2.91e+08,1.106e+09,0,"1036000000","230000000","224000000","0.25","0.25",0.05,"559000000","-2778000000","2088000000","-131000000",6.17e+08,4e+07,"12.39","13.55","11.24","0.0889","0.01",11.26,"1.12","13.18",16.63,"0.2141","0","0.1077","0.2168","0.05","0.58","None",204,0.16,11338,"2013-12-01",0.0512148503984723,0,0.0281,0.0512148503984723,0.0281,1.53998323465435,0.00794132150468511,0.0432735288937872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1821","KEY",2014,3416,204,"Financials",4,"KEY_quarterly_financial_data.xls","key corporation","keycorp","keycorp",855324689,855324689,1,9.3821e+10,"None",8.3279e+10,"None",1.053e+10,1.2e+07,2.91e+08,1.158e+09,0,"1072000000","253000000","248000000","0.29","0.28",0.07,"855000000","-4311000000","3458000000","2000000",6.53e+08,4.4e+07,"12.87","14.18","11.55","0.0862","0.0098",11.97,"1.09","13.41",16.89,"0.2524","0","0.1091","0.2147","0.04","0.95","None",204,0.18,11355,"2014-12-01",0.0291992182999957,0,-6e-04,0.0291992182999957,-6e-04,0.97910751687269,0.0297866828101193,-0.000587464510123614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1822","KEY",2015,3413,204,"Financials",4,"KEY_quarterly_financial_data.xls","key corporation","keycorp","keycorp",835606185,835606185,1,9.5133e+10,"None",8.4374e+10,"None",1.0746e+10,1.3e+07,2.9e+08,1.125e+09,0,"1087000000","226000000","220000000","0.25","0.27",0.07,"882000000","-586000000","-159000000","137000000",6.07e+08,3.5e+07,"13.19","14.01","12.37","0.0861","0.0097",12.51,"1.06","12.44",17.17,"0.268","0","0.1099","0.2112","0.04","1.01","None",204,0.21,11370,"2015-12-01",0.00608369757864869,1e-04,-0.0216,0.00598369757864869,-0.0217,0.528605399880668,0.0174544347560592,-0.0113707371774105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1823","KEY",2016,3428,204,"Financials",4,"KEY_quarterly_financial_data.xls","key corporation","keycorp","keycorp",1072438764,1072438764,1,1.36453e+11,"None",1.21213e+11,"None",1.524e+10,0,1.665e+09,2.83e+09,1.2384e+10,"1590000000","229000000","209000000","0.2","0.19",0.09,"829000000","-2013000000","1112000000","-72000000",6.77e+08,6.6e+07,"15.31","18.62","12","0.0613","0.0067",12.66,"1.2","17.2",17.51,"0.4483","0.9123","0.0995","0.1501","0.04","0.71","None",204,0.24,11380,"2016-12-01",0.0539761230914036,3e-04,0.0185,0.0536761230914036,0.0182,1.84600338036859,0.0200788615686953,0.0338972615227083,204,2014,230,0.31,0.04,0.15,0,0,0.89,0,1,1,NA
"1824","KEY",2017,3409,204,"Financials",4,"KEY_quarterly_financial_data.xls","key corporation","keycorp","keycorp",1060687384,1060687384,1,1.37698e+11,"None",1.22673e+11,"None",1.5023e+10,2e+06,1.025e+09,2.954e+09,1.435e+10,"1608000000","196000000","182000000","0.17","0.18",0.1,"736000000","-1406000000","779000000","109000000",6.71e+08,5.6e+07,"18.99","20.58","17.4","0.0869","0.0095",13.2,"1.44","16.66",17.88,"0.3301","1.0251","0.1017","0.1944","0.05","0.64","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,2015,241,0.35,0.01,0.03,0,0.01,0.1,1,1,1,NA
"1825","KEY",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,2016,208,0.36,0.01,0.03,0,0.02,0.1,1,1,1,NA
