"","Ticker","Year","X.x","Companies.x","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","Companies.y","TobinsQ","X.y","Date","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","Companies","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","X"
"1806","JWN",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,1.43,11221,"2013-12-01",-0.006612388568825,0,0.0281,-0.006612388568825,0.0281,1.07168473537651,-0.0367267296329049,0.0301143410640799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1807","JWN",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,1.59,11235,"2014-12-01",0.038913596488229,0,-6e-04,0.038913596488229,-6e-04,1.15561328710506,0.039606964460492,-0.000693367972263037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1808","JWN",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,1.65,11252,"2015-12-01",-0.122656408716242,1e-04,-0.0216,-0.122756408716242,-0.0217,0.426697927100173,-0.113497063698168,-0.00915934501807376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1809","JWN",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,1.46,11264,"2016-12-01",-0.154180444421619,3e-04,0.0185,-0.154480444421619,0.0182,0.887181426485389,-0.170627146383653,0.0164467019620341,202,2014,106,0.47,0.66,0.48,0,0.71,0.44,1,0,0,NA
"1810","JWN",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,2015,95,0.55,0.12,0.1,0,0.12,0.11,1,0,0,NA
"1811","JWN",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,2016,35,0.66,0.14,0.1,0.1,0.11,0.11,1,0,0,NA
"1812","K",2012,3389,203,"Consumer Staples",2,"K_quarterly_financial_data.xls","kellogg","kellogg company","kellogg co",361890602,361890602,1,1.5184e+10,"3.38e+09",1.2704e+10,"4.523e+09",2.419e+09,6.1e+07,0,7.412e+09,6.082e+09,"3563000000","6000000","6000000","0.02","0.02",0.44,"383000000","-317000000","-80000000","-24000000",2.81e+08,2.71e+08,"54.24","57.21","51.27","0.4239","0.0677",6.68,"7.98","16.49",21.12,"0.6498","2.5143","0.1593","0.0677","1","0.31","0.7473",203,1.81,11272,"2012-12-01",0.0070072939407888,1e-04,0.0119,0.0069072939407888,0.0118,0.539478562260789,0.000541446906111485,0.00646584703467731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813","K",2013,3398,203,"Consumer Staples",2,"K_quarterly_financial_data.xls","kellogg","kellogg company","kellogg co",361686112,361686112,1,1.5474e+10,"3.267e+09",1.1867e+10,"3.835e+09",3.545e+09,6.2e+07,0,7.418e+09,6.33e+09,"3501000000","818000000","818000000","2.26","2.24",0.46,"418000000","-277000000","-159000000","-27000000",2.73e+08,2.74e+08,"61.47","64.92","58.01","0.6168","0.1185",9.8,"7.85","22.52",22.92,"0.3621","1.7856","0.2291","0.1222","0.97","0.4","0.8519",203,1.88,11287,"2013-12-01",0.00706591564040507,0,0.0281,0.00706591564040507,0.0281,0.869025145867734,-0.0173536909584783,0.0244196065988833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1814","K",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,1.99,11298,"2014-12-01",-0.0123015438119191,0,-6e-04,-0.0123015438119191,-6e-04,1.57275492708133,-0.0113578908556703,-0.000943652956248799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1815","K",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,2.19,11307,"2015-12-01",0.0496414140035141,1e-04,-0.0216,0.0495414140035141,-0.0217,0.10208265644509,0.0517566076483725,-0.00211519364485845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
