Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
18;2015;4;118296000000,00;0,28;0,12;0,02;0,14;0,26;0,06;0,07;0,06;0,10;0,16;0,10;0,05;0,05
19;2013;5;10574300000,00;0,89;0,13;0,02;0,09;1,21;0,72;0,85;0,61;0,82;1,00;0,10;0,05;0,05
19;2015;5;12415700000,00;0,56;0,04;0,00;0,02;;0,14;0,13;0,13;0,00;0,14;0,10;0,05;0,05
19;2014;5;12415700000,00;0,52;0,12;0,01;0,07;;0,12;0,13;0,12;0,13;0,14;0,10;0,05;0,05
20;2013;4;541329000000,00;0,41;0,19;0,10;0,12;;0,00;0,00;0,00;0,00;0,65;0,00;0,05;0,00
20;2014;4;515581000000,00;0,21;0,17;0,09;0,12;;0,00;0,00;0,00;0,00;0,14;0,10;0,05;0,00
20;2015;4;496943000000,00;0,20;0,15;0,08;0,11;;0,00;0,09;0,00;0,00;0,15;0,10;0,05;0,00
21;2014;7;4001546000,00;0,21;0,08;0,03;0,13;2,72;0,01;0,07;0,00;0,15;0,18;0,10;0,05;0,05
21;2015;7;4187925000,00;0,20;0,06;0,02;0,11;2,16;0,05;0,04;0,00;0,15;0,18;0,10;0,05;0,05
21;2013;7;2957685000,00;0,00;0,07;0,02;0,11;2,59;0,03;0,12;0,00;0,68;0,82;0,00;0,05;0,05
22;2015;4;104656000000,00;0,40;0,06;0,01;0,02;0,22;0,01;0,03;0,06;0,08;0,16;0,10;0,05;0,05
22;2014;4;108533000000,00;0,25;0,29;0,17;0,22;0,26;0,01;0,03;0,05;0,12;0,16;0,10;0,05;0,05
22;2013;4;123520000000,00;0,03;0,16;0,09;0,11;0,19;0,19;0,21;0,31;0,72;0,87;0,00;0,05;0,05
23;2015;5;13133230000,00;0,44;0,14;0,10;0,17;3,40;0,00;0,06;0,00;0,00;0,17;0,00;0,00;0,00
23;2013;5;3317696000,00;0,27;0,03;0,02;0,04;7,43;0,00;0,00;0,00;0,00;0,63;0,00;0,00;0,00
23;2014;5;4201962000,00;0,25;0,12;0,08;0,14;8,25;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00
24;2015;7;15308000000,00;0,48;0,15;0,09;0,18;1,13;0,10;0,10;0,09;0,03;0,13;0,10;0,05;0,00
24;2014;7;13174000000,00;0,44;0,15;0,09;0,17;1,88;0,08;0,08;0,09;0,02;0,13;0,10;0,05;0,00
24;2013;7;12043000000,00;0,36;0,14;0,10;0,18;1,68;0,61;0,65;0,72;0,32;0,89;0,10;0,05;0,00
25;2014;6;6420963000,00;0,72;0,18;0,06;0,18;2,10;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00
25;2015;6;6664530000,00;0,67;0,21;0,07;0,19;2,04;0,00;0,05;0,00;0,00;0,13;0,00;0,00;0,00
25;2013;6;5877902000,00;0,65;0,16;0,06;0,17;2,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
26;2014;4;7698100000,00;1,34;0,26;0,07;0,21;1,72;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
26;2013;4;6318800000,00;1,34;0,27;0,09;0,24;1,96;0,00;0,00;0,00;0,00;0,89;0,00;0,00;0,00
26;2015;4;7784800000,00;1,04;0,32;0,10;0,25;1,32;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00
27;2013;5;66125000000,00;1,34;0,12;0,01;0,16;1,46;0,64;0,51;0,52;0,43;0,60;0,00;0,05;0,05
27;2014;5;69009000000,00;1,17;0,13;0,01;0,20;1,79;0,08;0,09;0,08;0,08;0,17;0,10;0,05;0,05
27;2015;5;71576000000,00;1,04;0,13;0,01;0,20;1,70;0,06;0,07;0,06;0,07;0,17;0,10;0,05;0,05
28;2015;4;145342000000,00;1,42;0,13;0,01;0,20;0,16;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00
28;2014;4;148810000000,00;1,22;0,13;0,01;0,20;0,19;0,00;0,00;0,00;0,00;0,09;0,00;0,00;0,00
28;2013;4;144576000000,00;1,03;0,12;0,01;0,15;0,17;0,00;0,00;0,00;0,00;0,86;0,00;0,00;0,00
29;2013;4;20272571000,00;4,08;0,16;0,03;0,15;1,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
29;2014;4;21331545000,00;3,47;0,20;0,04;0,20;2,53;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00
29;2015;4;26904272000,00;2,57;0,12;0,03;0,09;2,17;0,00;0,04;0,00;0,00;0,15;0,00;0,00;0,00
30;2014;1;54505000000,00;1,05;0,00;-0,01;-0,02;2,74;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00
30;2015;1;65444000000,00;0,93;0,01;0,01;0,05;5,02;0,00;0,06;0,00;0,00;0,12;0,00;0,00;0,00
30;2013;1;40159000000,00;0,47;0,00;0,01;0,03;4,60;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00
31;2014;3;16490000000,00;0,96;0,02;0,06;0,19;0,72;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,00
31;2015;3;16330000000,00;0,78;0,05;0,09;0,32;0,91;0,06;0,08;0,07;0,09;0,01;0,00;0,05;0,00
31;2013;3;13390000000,00;0,66;0,01;0,03;0,10;0,64;0,00;0,00;0,00;0,00;0,34;0,00;0,05;0,00
32;2015;3;18842000000,00;3,54;-2,70;-0,72;-1,62;0,93;0,00;0,04;0,00;0,00;0,01;0,10;0,00;0,05
32;2014;3;55952000000,00;0,45;-0,39;-0,08;-0,18;0,57;0,09;0,04;0,01;0,00;0,01;0,10;0,00;0,05
32;2013;3;61637000000,00;0,30;0,14;0,04;0,07;0,68;0,49;0,18;0,06;0,00;0,30;0,00;0,00;0,05
33;2015;3;46414000000,00;1,23;-0,77;-0,13;-0,45;0,85;0,00;0,04;0,00;0,00;0,01;0,10;0,05;0,05
33;2014;3;61689000000,00;0,77;-0,09;-0,03;-0,09;0,93;0,10;0,03;0,05;0,00;0,02;0,10;0,05;0,05
33;2013;3;55781000000,00;0,60;0,05;0,01;0,04;0,93;0,58;0,10;0,61;0,00;0,14;0,00;0,05;0,05
34;2013;8;17915200000,00;0,69;0,10;0,06;0,15;1,49;0,07;0,17;0,23;0,92;0,69;0,10;0,05;0,05
34;2014;8;17635400000,00;0,65;0,10;0,06;0,14;1,88;0,01;0,02;0,07;0,13;0,08;0,10;0,05;0,05
34;2015;8;17260300000,00;0,53;0,14;0,08;0,18;1,77;0,01;0,02;0,08;0,12;0,08;0,10;0,05;0,05
35;2014;7;7027000000,00;0,92;0,13;0,11;0,24;;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00
