Ticker;Companies;Year;TobinsQ
AKAM;21;2013;2,59
AKAM;21;2014;2,72
AKAM;21;2015;2,16
AKAM;21;2016;2,57
ALL;22;2012;0,14
ALL;22;2013;0,19
ALL;22;2014;0,26
ALL;22;2015;0,22
ALL;22;2016;0,24
ALXN;23;2012;6,59
ALXN;23;2013;7,43
ALXN;23;2014;8,25
ALXN;23;2015;3,40
ALXN;23;2016;2,15
AMAT;24;2012;0,97
AMAT;24;2013;1,68
AMAT;24;2014;1,88
AMAT;24;2015;1,13
AMAT;24;2016;2,04
AME;25;2012;1,93
AME;25;2013;2,31
AME;25;2014;2,10
AME;25;2015;2,04
AME;25;2016;1,72
AMG;26;2012;1,29
AMG;26;2013;1,96
AMG;26;2014;1,72
AMG;26;2015;1,32
AMG;26;2016;1,17
AMGN;27;2012;1,22
AMGN;27;2013;1,46
AMGN;27;2014;1,79
AMGN;27;2015;1,70
AMGN;27;2016;1,33
AMP;28;2012;0,11
AMP;28;2013;0,17
AMP;28;2014;0,19
AMP;28;2015;0,16
AMP;28;2016;0,12
AMT;29;2012;2,15
AMT;29;2013;1,55
AMT;29;2014;2,53
AMT;29;2015;2,17
AMT;29;2016;2,05
AMZN;30;2012;3,52
AMZN;30;2013;4,60
AMZN;30;2014;2,74
AMZN;30;2015;5,02
AMZN;30;2016;4,36
ANDV;31;2012;0,55
ANDV;31;2013;0,64
ANDV;31;2014;0,72
ANDV;31;2015;0,91
ANDV;31;2016;0,63
APA;32;2012;0,72
APA;32;2013;0,68
APA;32;2014;0,57
APA;32;2015;0,93
APA;32;2016;1,39
APC;33;2012;0,91
APC;33;2013;0,93
APC;33;2014;0,93
APC;33;2015;0,85
APC;33;2016;1,14
APD;34;2012;1,12
APD;34;2013;1,49
APD;34;2014;1,88
APD;34;2015;1,77
APD;34;2016;2,13
APH;35;2012;
APH;35;2013;
APH;35;2014;
APH;35;2015;
APH;35;2016;2,52
ATVI;36;2012;0,58
ATVI;36;2013;0,95
ATVI;36;2014;1,03
ATVI;36;2015;2,08
ATVI;36;2016;1,70
AVB;37;2012;1,53
AVB;37;2013;1,41
AVB;37;2014;1,73
AVB;37;2015;1,87
AVB;37;2016;1,77
AWK;38;2012;0,83
AWK;38;2013;0,89
AWK;38;2014;0,98
AWK;38;2015;1,01
AWK;38;2016;1,10
AXP;39;2012;0,44
AXP;39;2013;0,66
AXP;39;2014;0,62
AXP;39;2015;0,39
AXP;39;2016;0,35
AZO;40;2012;2,89
AZO;40;2013;2,92
AZO;40;2014;3,06
AZO;40;2015;3,36
AZO;40;2016;3,19
BA;41;2012;0,60
BA;41;2013;1,04
BA;41;2014;0,87
BA;41;2015;0,92
BA;41;2016;1,04
BAC;42;2012;0,11
BAC;42;2013;0,19
BAC;42;2014;0,11
BAC;42;2015;0,18
BAC;42;2016;0,19
BAX;43;2012;
BAX;43;2013;
BAX;43;2014;
BAX;43;2015;
BAX;43;2016;
BBBY;44;2012;1,75
BBBY;44;2013;2,20
BBBY;44;2014;1,70
BBBY;44;2015;1,23
BBBY;44;2016;0,89
BBT;45;2012;0,27
BBT;45;2013;0,33
BBT;45;2014;0,33
BBT;45;2015;0,30
BBT;45;2016;0,30
BBY;46;2012;0,32
BBY;46;2013;0,80
BBY;46;2014;0,54
BBY;46;2015;0,70
BBY;46;2016;0,73
BCR;47;2012;
BCR;47;2013;
BCR;47;2014;
BCR;47;2015;
BCR;47;2016;
BDX;48;2012;1,33
BDX;48;2013;1,77
BDX;48;2014;1,45
BDX;48;2015;1,63
BDX;48;2016;1,80
BEN;49;2012;1,39
BEN;49;2013;1,83
BEN;49;2014;1,57
BEN;49;2015;0,78
BEN;49;2016;0,88
BF.A;50;2012;3,16
BF.A;50;2013;3,83
BF.A;50;2014;4,43
BF.A;50;2015;5,35
BF.A;50;2016;4,09
BG;51;2012;0,34
BG;51;2013;0,40
BG;51;2014;0,58
BG;51;2015;0,55
BG;51;2016;0,54
BHI;52;2012;
BHI;52;2013;
BHI;52;2014;
BHI;52;2015;
BHI;52;2016;
BIIB;53;2012;3,06
BIIB;53;2013;5,06
BIIB;53;2014;5,00
BIIB;53;2015;3,29
BIIB;53;2016;2,52
BK;54;2012;-0,18
BK;54;2013;-0,17
BK;54;2014;-0,07
BK;54;2015;-0,10
BK;54;2016;-0,01
BKE;55;2012;
BKE;55;2013;
BKE;55;2014;
BKE;55;2015;
BKE;55;2016;
BLK;56;2012;0,19
BLK;56;2013;0,26
BLK;56;2014;0,26
BLK;56;2015;0,25
BLK;56;2016;0,28
BLL;57;2012;1,22
BLL;57;2013;1,28
BLL;57;2014;1,59
BLL;57;2015;1,57
BLL;57;2016;1,22
BMRN;58;2012;3,79
BMRN;58;2013;4,36
BMRN;58;2014;5,24
BMRN;58;2015;4,54
