"";"Companies";"Year";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Ticker";"GisSector";"GicsClassification";"FichierSTCKP";"CompanyGR2014";"CompanyGR2015";"CompanyGR2016";"X";"Date"
"53";10;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADI";"Information Technology";7;"ADI_quarterly_financial_data.xls";"analog devices";"analog devices inc";"analog devices inc";586;"2011-12-01"
"54";10;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADI";"Information Technology";7;"ADI_quarterly_financial_data.xls";"analog devices";"analog devices inc";"analog devices inc";592;"2012-12-01"
"55";10;2013;0,03;1,77;0,07;0,55;0,48;0,59;0,3;0;1;1;9,8;0,27;0,01;7;"ADI";"Information Technology";7;"ADI_quarterly_financial_data.xls";"analog devices";"analog devices inc";"analog devices inc";607;"2013-12-01"
"56";10;2014;0,05;1,95;0,11;0,08;0,08;0,07;0,04;0;1;1;9,84;0,28;0,03;7;"ADI";"Information Technology";7;"ADI_quarterly_financial_data.xls";"analog devices";"analog devices inc";"analog devices inc";617;"2014-12-01"
"57";10;2015;0,05;2,31;0,1;0,09;0,09;0,07;0,05;0;1;1;9,85;0,32;0,03;7;"ADI";"Information Technology";7;"ADI_quarterly_financial_data.xls";"analog devices";"analog devices inc";"analog devices inc";627;"2015-12-01"
"58";10;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADI";"Information Technology";7;"ADI_quarterly_financial_data.xls";"analog devices";"analog devices inc";"analog devices inc";642;"2016-12-01"
"59";11;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADM";"Consumer Staples";2;"ADM_quarterly_financial_data.xls";"archer-daniels-midland";"archer-daniels-midland company";"archer-daniels-midland co";653;"2011-12-01"
"60";11;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADM";"Consumer Staples";2;"ADM_quarterly_financial_data.xls";"archer-daniels-midland";"archer-daniels-midland company";"archer-daniels-midland co";671;"2012-12-01"
"61";11;2013;0,04;0,48;0,22;0,06;0,09;0,55;0;0;1;0;10,64;0,27;0,12;2;"ADM";"Consumer Staples";2;"ADM_quarterly_financial_data.xls";"archer-daniels-midland";"archer-daniels-midland company";"archer-daniels-midland co";680;"2013-12-01"
"62";11;2014;0,04;0,64;0,23;0,02;0,01;0,07;0;1;1;0;10,64;0,28;0,12;2;"ADM";"Consumer Staples";2;"ADM_quarterly_financial_data.xls";"archer-daniels-midland";"archer-daniels-midland company";"archer-daniels-midland co";696;"2014-12-01"
"63";11;2015;0,04;0,48;0,32;0,01;0,02;0,06;0;1;1;0;10,6;0,47;0,13;2;"ADM";"Consumer Staples";2;"ADM_quarterly_financial_data.xls";"archer-daniels-midland";"archer-daniels-midland company";"archer-daniels-midland co";705;"2015-12-01"
"64";11;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADM";"Consumer Staples";2;"ADM_quarterly_financial_data.xls";"archer-daniels-midland";"archer-daniels-midland company";"archer-daniels-midland co";712;"2016-12-01"
"65";12;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADP";"Information Technology";7;"ADP_quarterly_financial_data.xls";"automatic data processing";"automatic data processing inc";"automatic data processing inc";724;"2011-12-01"
"66";12;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADP";"Information Technology";7;"ADP_quarterly_financial_data.xls";"automatic data processing";"automatic data processing inc";"automatic data processing inc";738;"2012-12-01"
"67";12;2013;0,04;0,97;0,72;0,47;0,38;0,61;0;0;1;0;10,58;2,85;0,11;7;"ADP";"Information Technology";7;"ADP_quarterly_financial_data.xls";"automatic data processing";"automatic data processing inc";"automatic data processing inc";747;"2013-12-01"
"68";12;2014;0,03;0,86;0,38;0;0,07;0;0;0;1;0;10,64;1,67;0,1;7;"ADP";"Information Technology";7;"ADP_quarterly_financial_data.xls";"automatic data processing";"automatic data processing inc";"automatic data processing inc";759;"2014-12-01"
"69";12;2015;0,03;0,94;0,3;0;0,07;0;0;0;1;0;10,6;2,33;0,09;7;"ADP";"Information Technology";7;"ADP_quarterly_financial_data.xls";"automatic data processing";"automatic data processing inc";"automatic data processing inc";773;"2015-12-01"
"70";12;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADP";"Information Technology";7;"ADP_quarterly_financial_data.xls";"automatic data processing";"automatic data processing inc";"automatic data processing inc";790;"2016-12-01"
"71";13;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADS";"Information Technology";7;"ADS_quarterly_financial_data.xls";"alliance data systems";"alliance data systems corporation";"alliance data systems corp";793;"2011-12-01"
"72";13;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADS";"Information Technology";7;"ADS_quarterly_financial_data.xls";"alliance data systems";"alliance data systems corporation";"alliance data systems corp";816;"2012-12-01"
