"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEquityRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","Volume"
"14","AAP",2015,0.0586,0.2114,0.49,0.0484,0.035,8.135e+09,7.4e+07,0.1402,9.737e+09,NA,4.73e+08,NA,NA,6.4,-0.0776619401798879,1e-04,-0.0216,-0.0777619401798879,-0.0217,0.100695664640629,-0.0755768442571862,-0.00208509592270166,1.63,150.550003,707600
"15","AAP",2016,0.0556,0.1702,0.36,0.0478,0.039,8.315e+09,7.4e+07,0.1297,9.568e+09,NA,4.6e+08,2916192000,25.61,6.2,-0.00319972976766677,3e-04,0.0185,-0.00349972976766677,0.0182,1.26417466235082,-0.0265077086224517,0.023307978854785,1.46,170.419998,360300
"16","AAPL",2012,0.2854,0.4284,0,0.2667,0.1191,1.96088e+11,6.617e+09,0.4201,1.56508e+11,NA,4.1733e+10,1.27346e+11,13.33,6.31,-0.0951274831818494,1e-04,0.0119,-0.0952274831818494,0.0118,1.67431041790403,-0.114984346113117,0.0198568629312675,2.42,72.798569,88569600
"17","AAPL",2013,0.1934,0.3064,0.14,0.2167,0.274,2.07e+11,6.522e+09,0.2608,1.7091e+11,4.475e+09,3.7037e+10,1.29684e+11,13.24,5.68,0.00886221349606508,0,0.0281,0.00886221349606508,0.0281,-0.0533221761606803,0.0103605666461802,-0.00149835315011512,2.18,NA,NA
"18","AAPL",2014,0.1801,0.3361,0.26,0.2161,0.285,2.31839e+11,6.123e+09,0.262,1.82795e+11,6.041e+09,3.951e+10,1.23328e+11,16.71,6.45,-0.0746060911429726,0,-6e-04,-0.0746060911429726,-6e-04,1.99369967272456,-0.0734098713393379,-0.00119621980363473,2.54,NA,NA
"19","AAPL",2015,0.2045,0.4625,0.45,0.2285,0.223,2.90479e+11,5.793e+09,0.3132,2.33715e+11,8.067e+09,5.3394e+10,1.28267e+11,12.47,9.22,-0.116790321037508,1e-04,-0.0216,-0.116890321037508,-0.0217,1.11977964123371,-0.0925911028227361,-0.0241992182147715,2.17,106.82,26704200
"20","AAPL",2016,0.1493,0.369,0.59,0.2119,0.248,3.21686e+11,5.5e+09,0.2195,2.15639e+11,1.0045e+10,4.5687e+10,1.3239e+11,13.45,8.31,0.0468408304410435,3e-04,0.0185,0.0465408304410435,0.0182,1.25372570682235,0.0237230225768767,0.0231178078641668,2,116.760002,20905900
"21","ABBV",2012,0.2261,0.6769,4.35,0.287,NA,2.7008e+10,1.577e+09,0.2281,1.838e+10,NA,5.275e+09,3.363e+09,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ABBV",2013,0.1469,1.0511,3.18,0.2197,0.42,2.9198e+10,1.604e+09,0.2271,1.879e+10,3.193e+09,4.128e+09,4.492e+09,NA,2.56,0.0861682266780393,0,0.0281,0.0861682266780393,0.0281,1.5653780897793,0.042181102355241,0.0439871243227983,NA,NA,NA
"23","ABBV",2014,0.0625,0.5691,6.06,0.0889,0.713,2.7547e+10,1.61e+09,0.1149,1.996e+10,3.649e+09,1.774e+09,1.742e+09,26.7,1.1,-0.0558670964141833,0,-6e-04,-0.0558670964141833,-6e-04,1.57707234982411,-0.0549208530042889,-0.000946243409894466,NA,NA,NA
"24","ABBV",2015,0.1276,1.809,7.41,0.225,1.129,5.305e+10,1.637e+09,0.2167,2.2859e+10,4.435e+09,5.144e+09,3.945e+09,32.47,3.13,0.0185711098020877,1e-04,-0.0216,0.0184711098020877,-0.0217,1.3358525292876,0.0474591096876286,-0.0288879998855409,NA,58.75,5558600
"25","ABBV",2016,0.0994,1.3805,7.86,0.231,0.6,6.6099e+10,1.631e+09,0.1726,2.5638e+10,4.566e+09,5.953e+09,4.636e+09,16.19,3.63,0.029494927404168,3e-04,0.0185,0.029194927404168,0.0182,1.4986418692867,0.00191964538315004,0.0275752820210179,NA,62.27,5190400
