"","Ticker","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","StockPriceClose","PriceToEpsRatio","PayoutRatio","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","Rf","Rm","Ra_Rf","Rm_Rf","Beta","CostEquity","Volume","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","CompaniesIndex"
"51","AET",3,0.0371,0.1336,NA,0.76,-0.0536128578596674,-0.0723925489216849,6.41,124.580002,17.4,0.144,0.54,0.0358,53402100000,3.59e+08,5.8003e+10,NA,2.041e+09,14482600000,0,-6e-04,0.0180611857087087,-6e-04,1.24111169785924,-0.000744667018715546,NA,2016,64,0.6,0.13,0.12,0.11,0,0.14,0,1,1,"Health Care",5,17
"52","AFL",1,0.0245,0.179,NA,0.29,0.0225136382483949,0.0232180721519213,3.25,NA,9.18,0.232,0.27,0.113,1.31094e+11,9.39e+08,2.5364e+10,NA,2.866e+09,1.5978e+10,1e-04,0.0119,0.00235014912874572,0.0118,1.16820499849348,0.0138848189822231,5043400,2014,92,0.49,0.85,0.63,0,0,0.82,0,1,1,"Financials",4,18
"53","AFL",2,0.0213,0.1405,NA,0.26,-0.0853961367803414,-0.0563914008355216,2.92,30.195,10.8,0.273,0.34,0.1319,1.21307e+11,9.35e+08,2.3939e+10,NA,3.158e+09,1.462e+10,0,0.0281,0.00645793619713739,0.0281,0.802221079222212,0.0225424123261442,NA,2015,9,0.75,0.09,0.09,0.09,0.12,0.16,1,1,1,"Financials",4,18
"54","AFL",3,0.0214,0.1393,NA,0.26,-0.0252532194856994,-0.0375630737862871,3.21,34.900002,11.24,0.26,0.29,0.1298,1.19767e+11,9.08e+08,2.2728e+10,NA,2.951e+09,1.8347e+10,0,-6e-04,0.0225136382483949,-6e-04,1.17405650587741,-0.000704433903526446,NA,2016,42,0.64,0.06,0.07,0.06,0.1,0.16,1,1,1,"Financials",4,18
"55","AGN",1,-0.0433,-0.0861,-0.0399,NA,-0.0500084853935851,-0.0494989843960739,-7.42,NA,44.54,0.0404,1.63,0.0165,9179300000,1.28e+08,5.914e+09,NA,9.7e+07,5837100000,1e-04,0.0119,-0.0232032677265443,0.0118,0.408270355759077,0.00491759019795711,592200,2014,1,0.85,0.72,0.85,0.61,0.82,1,1,1,1,"Health Care",5,19
"56","AGN",2,0.0391,0.0737,0.0562,NA,-0.00443812452126461,0.0280333398609012,10.01,308.880005,NA,NA,0.89,-0.0865,10574300000,1.42e+08,2.603e+09,NA,-7.5e+08,6463200000,0,0.0281,0.0297842959400594,0.0281,0.473005891054349,0.0132914655386272,NA,2015,2,0.84,0.12,0.13,0.12,0.13,0.14,1,1,1,"Health Care",5,19
"57","AGN",3,0.111,0.2056,0.1413,NA,0.0777518227592813,0.066934285184345,38.18,204.059998,NA,NA,0.52,-0.1248,12415700000,2.19e+08,4.677e+09,NA,-1.631e+09,7.753e+09,0,-6e-04,-0.0500084853935851,-6e-04,0.84916832918544,-0.000509500997511264,NA,2016,13,0.74,0.14,0.13,0.13,0,0.14,1,1,1,"Health Care",5,19
"58","AIG",1,0.0142,0.0726,NA,NA,0.0241392344647785,0.0248611240509687,5.2,NA,8.75,0.078,0.49,0.0524,5.48633e+11,1.687e+09,7.111e+10,NA,3.438e+09,9.8002e+10,1e-04,0.0119,0.0633435703734694,0.0118,1.79608377556607,0.0212937885516796,11919300,2014,313,0.18,0,0,0,0,0.65,0,1,0,"Financials",4,20
"59","AIG",2,0.0043,0.0223,NA,NA,-0.0212293162483536,0.012883137495432,1.65,61.599998,17.91,0.187,0.41,0.1322,5.41329e+11,1.481e+09,6.89e+10,NA,9.085e+09,1.0047e+11,0,0.0281,0.0278088284660412,0.0281,0.355313883203969,0.00998432011803153,NA,2015,275,0.29,0,0,0,0,0.14,1,1,0,"Financials",4,20
"60","AIG",3,-0.0017,-0.0102,NA,NA,0.0357812442917812,0.0140833896335869,-0.78,65.879997,141,1.908,0.29,0.1169,5.15581e+11,1.448e+09,6.4407e+10,NA,7.529e+09,1.06898e+11,0,-6e-04,0.0241392344647785,-6e-04,1.20314931031697,-0.000721889586190184,NA,2016,174,0.4,0,0.09,0,0,0.15,1,1,0,"Financials",4,20
"61","AKAM",1,0.096,0.1198,0.0997,2.72,-0.0258696248215068,-0.0245482181273284,1.84,NA,33.66,0,0,0.1485,2600627000,1.82e+08,1.374e+09,NA,2.04e+08,2345754000,1e-04,0.0119,0.110680020002425,0.0118,1.57794414712809,0.0187197409361114,1633600,2014,164,0.39,0.03,0.12,0,0.68,0.82,0,1,1,"Information Technology",7,21
"62","AKAM",2,0.0785,0.106,0.0892,2.16,-0.0904098627361316,-0.0723057913199562,1.78,53.18,34.69,0,0,0.186,2957685000,1.82e+08,1.578e+09,9.4e+07,2.93e+08,2629431000,0,0.0281,0.0535492227713258,0.0281,0.736291947264969,0.0206898037181456,NA,2015,57,0.61,0.01,0.07,0,0.15,0.18,1,1,1,"Information Technology",7,21
"63","AKAM",3,0.0739,0.0996,0.0838,2.57,-0.000299850061472399,0.00421122869986428,1.79,67.269997,35.14,0,0.21,0.17,4001546000,1.81e+08,1.964e+09,1.25e+08,3.34e+08,2945335000,0,-6e-04,-0.0258696248215068,-6e-04,2.20234449029742,-0.00132140669417845,NA,2016,58,0.62,0.05,0.04,0,0.15,0.18,1,1,1,"Information Technology",7,21
"64","ALL",1,0.0237,0.1331,NA,0.26,0.0303485835807619,0.0310668485026284,6.27,NA,10.55,0.177,0.29,0.0692,1.26947e+11,4.93e+08,3.3315e+10,NA,2.306e+09,2.058e+10,1e-04,0.0119,-0.00778781547428106,0.0118,0.557135901111421,0.00667420363311477,2042000,2014,84,0.49,0.19,0.21,0.31,0.72,0.87,0,1,1,"Financials",4,22
"65","ALL",2,0.0193,0.1058,NA,0.22,-0.0107331932995663,0.0113808188241427,5.05,62.639999,10.63,0.206,0.3,0.0656,1.2352e+11,4.7e+08,3.4507e+10,NA,2.28e+09,2.148e+10,0,0.0281,0.00496279141427567,0.0281,1.33051891784933,0.0373875815915661,NA,2015,81,0.57,0.01,0.03,0.05,0.12,0.16,1,1,1,"Financials",4,22
"66","ALL",3,0.0165,0.0949,NA,0.24,0.058333739368782,0.0488987138364221,4.67,74.349998,19.05,0.35,0.25,0.0779,1.08533e+11,4.38e+08,3.5239e+10,NA,2.85e+09,2.2304e+10,0,-6e-04,0.0303485835807619,-6e-04,1.19710820311084,-0.000718264921866504,NA,2016,93,0.54,0.01,0.03,0.06,0.08,0.16,1,1,1,"Financials",4,22
"67","ALXN",1,0.1747,0.2311,0.2169,8.25,-0.0519686070394008,-0.0518475917492154,3.26,NA,74.65,0,0.12,0.2247,2613560000,1.99e+08,1.134e+09,NA,2.55e+08,1970850000,1e-04,0.0119,-0.0241315007003522,0.0118,1.65302135078314,0.0196056519392411,548600,2014,373,0.13,0,0,0,0,0.63,0,0,0,"Health Care",5,23
