"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEpsRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","PriceToEarningRatio","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","Index"
"23","ACIW",2013,0.0436,0.1185,1.3,0.0738,0,1.682e+09,1.2e+08,0.0744,8.65e+08,NA,6.4e+07,543694000,39.04,0.53,0.00725700717865738,0,0.0281,0.00725700717865738,0.0281,0.846682324054431,-0.0165347661272721,0.0237917733059295,1.69,16.8,31.6981132075472,2015,121,0.52,0.01,0.03,0.07,0.03,0.18,1,1,1,"Industrials",6,8
"24","ACIW",2014,0.0383,0.1201,1.38,0.0665,0,1.851e+09,1.17e+08,0.0681,1.016e+09,NA,6.8e+07,581405000,31.84,0.58,0.0363492304877848,0,-6e-04,0.0363492304877848,-6e-04,0.743221605521034,0.0367951634510975,-0.00044593296331262,1.7,19.16,33.0344827586207,2016,81,0.57,0.05,0.04,0.09,0.01,0.18,1,1,1,"Industrials",6,8
"25","ADBE",2012,0.0878,0.1338,0.22,0.1891,NA,1.004e+10,5.03e+08,0.1119,4.404e+09,NA,8.33e+08,NA,NA,1.66,0.0849867631675266,1e-04,0.0119,0.0848867631675266,0.0118,1.17393076051421,0.0710343801934589,0.0139523829740677,1.54,32.67,19.6807228915663,2014,2,0.84,0.83,0.87,0.99,0.92,0.51,1,1,1,"Information Technology",7,9
"26","ADBE",2013,0.0285,0.0433,0.22,0.0715,NA,1.038e+10,5.13e+08,0.0399,4.055e+09,NA,2.9e+08,NA,NA,0.56,0.0531584428185046,0,0.0281,0.0531584428185046,0.0281,0.550999847598482,0.0376753471009873,0.0154830957175174,2.62,46.8,83.5714285714286,2015,3,0.83,0.13,0.09,0.12,0.09,0.19,1,1,1,"Information Technology",7,9
"27","ADBE",2014,0.0254,0.0398,0.13,0.0647,NA,1.0786e+10,5.08e+08,0.0347,4.147e+09,NA,2.68e+08,NA,NA,0.53,-0.0133900486730533,0,-6e-04,-0.0133900486730533,-6e-04,1.96526093531432,-0.0122108921118647,-0.00117915656118859,3.2,67.45,127.264150943396,2016,53,0.62,0.06,0.08,0.08,0.03,0.19,1,1,1,"Information Technology",7,9
"28","ADI",2012,0.1195,0.1636,0.19,0.2411,0.54,5.62e+09,3.06e+08,0.1367,2.701e+09,NA,6.51e+08,NA,NA,2.13,0.0427365089809674,1e-04,0.0119,0.0426365089809674,0.0118,0.932458452966757,0.0316334992359597,0.0111030097450077,1.48,38.94,18.2816901408451,2014,50,0.56,0.55,0.48,0.59,0.3,0.86,0,1,1,"Information Technology",7,10
"29","ADI",2013,0.1122,0.1513,0.18,0.2557,0.61,6.382e+09,3.14e+08,0.1295,2.634e+09,NA,6.73e+08,NA,NA,2.14,0.0615620790200372,0,0.0281,0.0615620790200372,0.0281,1.31523601875755,0.0246039468929499,0.0369581321270872,1.77,46.59,21.7710280373832,2015,124,0.51,0.08,0.08,0.07,0.04,0.13,0,1,1,"Information Technology",7,10
"30","ADI",2014,0.0951,0.1325,0.18,0.2197,0.626,6.86e+09,3.18e+08,0.1154,2.865e+09,NA,6.29e+08,NA,NA,1.98,0.0227012504854689,0,-6e-04,0.0227012504854689,-6e-04,1.54411687971311,0.0236277206132968,-0.000926470127827863,1.95,51.42,25.969696969697,2016,100,0.53,0.09,0.09,0.07,0.05,0.13,0,1,1,"Information Technology",7,10
"31","ADM",2012,0.0292,0.0665,0.36,0.0137,0.3353,4.5136e+10,6.66e+08,0.0507,8.9038e+10,NA,1.223e+09,1.892e+10,18.61,1.84,0.0255144408605249,1e-04,0.0119,0.0254144408605249,0.0118,0.041678458486068,0.0249226350503893,0.000591805810135603,0.27,29,15.7608695652174,2014,307,0.19,0.06,0.09,0.55,0,0.19,0,1,0,"Consumer Staples",2,11
"32","ADM",2013,0.0307,0.0666,0.27,0.0149,0.486,4.3752e+10,6.63e+08,0.0574,8.9804e+10,NA,1.342e+09,2.0156e+10,17.94,2.02,0.0753495835592332,0,0.0281,0.0753495835592332,0.0281,0.664424226349584,0.0566792627988099,0.0186703207604233,0.48,35.31,17.480198019802,2015,253,0.33,0.02,0.01,0.07,0,0.09,1,1,0,"Consumer Staples",2,11
