"","Year","Index","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"25",2012,9,0.0878,0.431782416425538,0.22,0.1891,23.02984295121,7,0.87,0.99,0.92,1,1,1
"26",2013,9,0.0285,0.963174317773006,0.22,0.0715,23.0631467146842,7,0.09,0.12,0.09,1,1,1
"27",2014,9,0.0254,1.16315080980568,0.13,0.0647,23.1015148338614,7,0.08,0.08,0.03,1,1,1
"28",2012,10,0.1195,0.392042087776024,0.19,0.2411,22.449597500852,7,0.48,0.59,0.3,0,1,1
"29",2013,10,0.1122,0.570979546585738,0.18,0.2557,22.5767473648025,7,0.08,0.07,0.04,0,1,1
"30",2014,10,0.0951,0.667829372575655,0.18,0.2197,22.6489732786842,7,0.09,0.07,0.05,0,1,1
"32",2013,11,0.0307,-0.7339691750802,0.27,0.0149,24.5018031629909,2,0.01,0.07,0,1,1,0
"33",2014,11,0.0512,-0.446287102628419,0.28,0.0277,24.5080689190305,2,0.02,0.06,0,1,1,0
"34",2012,12,0.0427,-0.261364764134408,0.0025,0.1302,24.2297237292661,7,0.38,0.61,0,0,1,0
"35",2013,12,0.0446,-0.0304592074847086,0.002,0.1243,24.1973418640211,7,0.07,0,0,0,1,0
"36",2014,12,0.0471,-0.150822889734584,0.0019,0.1242,24.1906254208622,7,0.07,0,0,0,1,0
"37",2012,13,0.0403,-0.430782916092454,8.91,0.116,23.2081840700007,7,0,0,0,0,0,0
"38",2013,13,0.0393,0.0295588022415444,7.01,0.1149,23.3068298614567,7,0.08,0,0,0,0,0
"39",2014,13,0.0302,-0.0725706928348354,3.39,0.0955,23.7321106146274,7,0.05,0,0,0,0,0
"40",2012,14,0.0949,0.636576829071551,NA,0.1288,21.9555345104272,7,0.94,0.3,0.62,0,0,1
"41",2013,14,0.0657,0.631271776841858,0.36,0.107,22.1869840950311,7,0.14,0,0.03,1,1,1
"42",2014,14,0.0514,0.974559639998131,0.33,0.1006,22.278669860888,7,0.14,0,0.05,1,1,1
"43",2012,15,-0.0428,-0.579818495252942,1,-0.1426,23.8067800238839,11,0.03,0,0,1,1,0
"44",2013,15,0.0135,-0.356674943938732,0.84,0.0495,23.7697862773325,11,0.01,0,0,1,1,0
"45",2014,15,0.0268,-0.22314355131421,0.91,0.0968,23.8445729334085,11,0.01,0.01,0,1,1,0
"46",2012,16,0.0236,-0.342490308946776,1.02,0.0842,24.7190231890943,11,0.02,0.03,0,1,1,0
"47",2013,16,0.0267,-0.3147107448397,1.05,0.0964,24.7559831915976,11,0.01,0.03,0,1,1,0
"48",2014,16,0.0282,-0.186329578191493,0.96,0.096,24.8114749490624,11,0.01,0.02,0,1,1,0
"49",2012,17,0.0414,-0.653926467406664,0.62,0.0466,24.4488267252797,5,0.74,0,0,0,1,0
"50",2013,17,0.0419,-0.342490308946776,0.56,0.0413,24.6327215496971,5,0.08,0,0,0,1,1
"51",2014,17,0.0395,-0.22314355131421,0.54,0.0358,24.701115907982,5,0.12,0.11,0,0,1,1
"52",2012,18,0.0231,-1.27296567581289,0.27,0.113,25.5991804600784,4,0.63,0,0,0,1,1
"53",2013,18,0.025,-1.07880966137193,0.34,0.1319,25.5215903593929,4,0.09,0.09,0.12,1,1,1
"54",2014,18,0.0245,-1.23787435600162,0.29,0.1298,25.5088140255834,4,0.07,0.06,0.1,1,1,1
"55",2012,19,0.0094,-0.356674943938732,1.63,0.0165,22.9402167859481,5,0.85,0.61,0.82,1,1,1
"56",2013,19,-0.0408,0.19062035960865,0.89,-0.0865,23.0816923658344,5,0.13,0.12,0.13,1,1,1
"57",2014,19,-0.0433,NA,0.52,-0.1248,23.2422276377242,5,0.13,0.13,0,1,1,1
"58",2012,20,0.0062,NA,0.49,0.0524,27.0306955667578,4,0,0,0,0,1,0
"59",2013,20,0.0167,NA,0.41,0.1322,27.0172930640418,4,0,0,0,1,1,0
"60",2014,20,0.0142,NA,0.29,0.1169,26.9685602570609,4,0.09,0,0,1,1,0
"61",2012,21,0.0825,0.955511445027436,0,0.1485,21.6790184067471,7,0.12,0,0.68,0,1,1
"62",2013,21,0.1056,0.951657875711446,0,0.186,21.8076727046923,7,0.07,0,0.15,1,1,1
"63",2014,21,0.096,1.00063188030791,0.21,0.17,22.1099466233944,7,0.04,0,0.15,1,1,1
"65",2013,22,0.0181,-1.66073120682165,0.3,0.0656,25.5396689232229,4,0.03,0.05,0.12,1,1,1
"66",2014,22,0.0237,-1.34707364796661,0.25,0.0779,25.4103201111489,4,0.03,0.06,0.08,1,1,1
"67",2012,23,0.1271,1.88555334851442,0.12,0.2247,21.6839791135733,5,0,0,0,0,0,0
"68",2013,23,0.0853,2.00552585872967,0.07,0.163,21.9225364030585,5,0,0,0,0,0,0
"69",2014,23,0.1747,2.11021320034659,0.04,0.2941,22.1588173960156,5,0.06,0,0,0,0,0
"70",2012,24,0.0084,-0.0304592074847086,0.27,0.0125,23.2164712895491,7,0.65,0.72,0.32,1,1,0
"71",2013,24,0.0212,0.518793793415168,0.27,0.0341,23.2115002768271,7,0.08,0.09,0.02,1,1,0
"72",2014,24,0.085,0.631271776841858,0.25,0.1182,23.3012073527016,7,0.1,0.09,0.03,1,1,0
"73",2012,25,0.0966,0.657520002916794,0.45,0.1377,22.3700103240467,6,0,0,0,0,0,0
"74",2013,25,0.0934,0.837247524533702,0.36,0.1438,22.4944657324666,6,0,0,0,0,0,0
"75",2014,25,0.095,0.741937344729377,0.44,0.1453,22.5828339433994,6,0.05,0,0,0,0,0
"76",2012,26,0.0305,0.254642218373581,0.54,0.0964,22.5457323162869,4,0,0,0,0,0,0
"77",2013,26,0.0577,0.672944473242426,0.65,0.1647,22.5667951536592,4,0,0,0,0,0,0
"78",2014,26,0.0645,0.542324290825362,0.72,0.1801,22.7642393821107,4,0.06,0,0,0,0,0
"79",2012,27,0.0842,0.198850858745165,1.26,0.2517,24.7177532307954,5,0.51,0.52,0.43,0,1,1
"80",2013,27,0.0844,0.378436435720245,1.34,0.2721,24.9148127271249,5,0.09,0.08,0.08,1,1,1
"81",2014,27,0.0763,0.582215619852664,1.17,0.2571,24.9575027678204,5,0.07,0.06,0.07,1,1,1
"82",2012,28,0.0077,-2.20727491318972,0.81,0.1003,25.6265311904347,4,0,0,0,0,0,0
"83",2013,28,0.0096,-1.77195684193188,1.03,0.1188,25.6970711577919,4,0,0,0,0,0,0
"84",2014,28,0.011,-1.66073120682165,1.22,0.132,25.7259361613884,4,0.07,0,0,0,0,0
"85",2012,29,0.0484,0.765467842139571,2.43,0.2216,23.3686693440548,4,0,0,0,0,0,0
"86",2013,29,0.0321,0.438254930931155,4.08,0.164,23.7325346270583,4,0,0,0,0,0,0
