"","symbol","section","sub.section","group","date","Asset Turnover","Cash Conversion Cycle","Days Inventory","Days Sales Outstanding","Fixed Assets Turnover","Inventory Turnover","Payables Period","Receivables Turnover"
"15514","KIM","Efficiency Ratios","Efficiency",85,2011-12-01,0.09,NA,NA,NA,NA,NA,NA,NA
"15515","KIM","Efficiency Ratios","Efficiency",85,2012-12-01,0.1,NA,NA,NA,NA,NA,NA,NA
"15516","KIM","Efficiency Ratios","Efficiency",85,2013-12-01,0.1,NA,NA,NA,NA,NA,NA,NA
"15517","KIM","Efficiency Ratios","Efficiency",85,2014-12-01,0.1,NA,NA,NA,NA,NA,NA,NA
"15518","KIM","Efficiency Ratios","Efficiency",85,2015-12-01,0.11,NA,NA,NA,NA,NA,NA,NA
"15519","KIM","Efficiency Ratios","Efficiency",85,2016-12-01,0.1,NA,NA,NA,NA,NA,NA,NA
"15520","KIM","Efficiency Ratios","Efficiency",85,2017-12-01,0.1,NA,NA,NA,NA,NA,NA,NA
"15521","KLAC","Efficiency Ratios","Efficiency",78,2008-06-01,NA,NA,NA,77.72,NA,NA,NA,NA
"15522","KLAC","Efficiency Ratios","Efficiency",78,2009-06-01,NA,NA,NA,84.35,NA,NA,NA,NA
"15523","KLAC","Efficiency Ratios","Efficiency",78,2010-06-01,NA,NA,NA,65.18,NA,NA,NA,NA
"15524","KLAC","Efficiency Ratios","Efficiency",78,2011-06-01,NA,NA,NA,58.82,NA,NA,NA,NA
"15525","KLAC","Efficiency Ratios","Efficiency",78,2012-06-01,NA,NA,NA,73.91,NA,NA,NA,NA
"15526","KLAC","Efficiency Ratios","Efficiency",78,2013-06-01,NA,NA,NA,78.7,NA,NA,NA,NA
"15527","KLAC","Efficiency Ratios","Efficiency",78,2014-06-01,NA,NA,NA,63.39,NA,NA,NA,NA
"15528","KLAC","Efficiency Ratios","Efficiency",78,2015-06-01,NA,NA,NA,69.93,NA,NA,NA,NA
"15529","KLAC","Efficiency Ratios","Efficiency",78,2016-06-01,NA,NA,NA,73.3,NA,NA,NA,NA
"15530","KLAC","Efficiency Ratios","Efficiency",78,2017-06-01,NA,NA,NA,62.11,NA,NA,NA,NA
"15531","KLAC","Efficiency Ratios","Efficiency",79,2008-06-01,NA,NA,158.51,NA,NA,NA,NA,NA
"15532","KLAC","Efficiency Ratios","Efficiency",79,2009-06-01,NA,NA,175.08,NA,NA,NA,NA,NA
"15533","KLAC","Efficiency Ratios","Efficiency",79,2010-06-01,NA,NA,172.72,NA,NA,NA,NA,NA
"15534","KLAC","Efficiency Ratios","Efficiency",79,2011-06-01,NA,NA,141.66,NA,NA,NA,NA,NA
"15535","KLAC","Efficiency Ratios","Efficiency",79,2012-06-01,NA,NA,168.3,NA,NA,NA,NA,NA
"15536","KLAC","Efficiency Ratios","Efficiency",79,2013-06-01,NA,NA,189.55,NA,NA,NA,NA,NA
"15537","KLAC","Efficiency Ratios","Efficiency",79,2014-06-01,NA,NA,191.08,NA,NA,NA,NA,NA
"15538","KLAC","Efficiency Ratios","Efficiency",79,2015-06-01,NA,NA,191.38,NA,NA,NA,NA,NA
"15539","KLAC","Efficiency Ratios","Efficiency",79,2016-06-01,NA,NA,206.52,NA,NA,NA,NA,NA
"15540","KLAC","Efficiency Ratios","Efficiency",79,2017-06-01,NA,NA,202.92,NA,NA,NA,NA,NA
"15541","KLAC","Efficiency Ratios","Efficiency",80,2008-06-01,NA,NA,NA,NA,NA,NA,31.31,NA
"15542","KLAC","Efficiency Ratios","Efficiency",80,2009-06-01,NA,NA,NA,NA,NA,NA,35.41,NA
"15543","KLAC","Efficiency Ratios","Efficiency",80,2010-06-01,NA,NA,NA,NA,NA,NA,38.35,NA
"15544","KLAC","Efficiency Ratios","Efficiency",80,2011-06-01,NA,NA,NA,NA,NA,NA,36.36,NA
"15545","KLAC","Efficiency Ratios","Efficiency",80,2012-06-01,NA,NA,NA,NA,NA,NA,38.71,NA
"15546","KLAC","Efficiency Ratios","Efficiency",80,2013-06-01,NA,NA,NA,NA,NA,NA,37.59,NA
"15547","KLAC","Efficiency Ratios","Efficiency",80,2014-06-01,NA,NA,NA,NA,NA,NA,32.43,NA
"15548","KLAC","Efficiency Ratios","Efficiency",80,2015-06-01,NA,NA,NA,NA,NA,NA,31.05,NA
"15549","KLAC","Efficiency Ratios","Efficiency",80,2016-06-01,NA,NA,NA,NA,NA,NA,32.92,NA
"15550","KLAC","Efficiency Ratios","Efficiency",80,2017-06-01,NA,NA,NA,NA,NA,NA,35.98,NA
"15551","KLAC","Efficiency Ratios","Efficiency",81,2008-06-01,NA,204.93,NA,NA,NA,NA,NA,NA
"15552","KLAC","Efficiency Ratios","Efficiency",81,2009-06-01,NA,224.02,NA,NA,NA,NA,NA,NA
"15553","KLAC","Efficiency Ratios","Efficiency",81,2010-06-01,NA,199.54,NA,NA,NA,NA,NA,NA
"15554","KLAC","Efficiency Ratios","Efficiency",81,2011-06-01,NA,164.12,NA,NA,NA,NA,NA,NA
"15555","KLAC","Efficiency Ratios","Efficiency",81,2012-06-01,NA,203.5,NA,NA,NA,NA,NA,NA
"15556","KLAC","Efficiency Ratios","Efficiency",81,2013-06-01,NA,230.66,NA,NA,NA,NA,NA,NA
"15557","KLAC","Efficiency Ratios","Efficiency",81,2014-06-01,NA,222.03,NA,NA,NA,NA,NA,NA
"15558","KLAC","Efficiency Ratios","Efficiency",81,2015-06-01,NA,230.26,NA,NA,NA,NA,NA,NA
"15559","KLAC","Efficiency Ratios","Efficiency",81,2016-06-01,NA,246.91,NA,NA,NA,NA,NA,NA
"15560","KLAC","Efficiency Ratios","Efficiency",81,2017-06-01,NA,229.04,NA,NA,NA,NA,NA,NA
"15561","KLAC","Efficiency Ratios","Efficiency",82,2008-06-01,NA,NA,NA,NA,NA,NA,NA,4.69
"15562","KLAC","Efficiency Ratios","Efficiency",82,2009-06-01,NA,NA,NA,NA,NA,NA,NA,4.33
"15563","KLAC","Efficiency Ratios","Efficiency",82,2010-06-01,NA,NA,NA,NA,NA,NA,NA,5.6
"15564","KLAC","Efficiency Ratios","Efficiency",82,2011-06-01,NA,NA,NA,NA,NA,NA,NA,6.21
"15565","KLAC","Efficiency Ratios","Efficiency",82,2012-06-01,NA,NA,NA,NA,NA,NA,NA,4.94
"15566","KLAC","Efficiency Ratios","Efficiency",82,2013-06-01,NA,NA,NA,NA,NA,NA,NA,4.64
"15567","KLAC","Efficiency Ratios","Efficiency",82,2014-06-01,NA,NA,NA,NA,NA,NA,NA,5.76
"15568","KLAC","Efficiency Ratios","Efficiency",82,2015-06-01,NA,NA,NA,NA,NA,NA,NA,5.22
"15569","KLAC","Efficiency Ratios","Efficiency",82,2016-06-01,NA,NA,NA,NA,NA,NA,NA,4.98
"15570","KLAC","Efficiency Ratios","Efficiency",82,2017-06-01,NA,NA,NA,NA,NA,NA,NA,5.88
"15571","KLAC","Efficiency Ratios","Efficiency",83,2008-06-01,NA,NA,NA,NA,NA,2.3,NA,NA
"15572","KLAC","Efficiency Ratios","Efficiency",83,2009-06-01,NA,NA,NA,NA,NA,2.08,NA,NA
"15573","KLAC","Efficiency Ratios","Efficiency",83,2010-06-01,NA,NA,NA,NA,NA,2.11,NA,NA
"15574","KLAC","Efficiency Ratios","Efficiency",83,2011-06-01,NA,NA,NA,NA,NA,2.58,NA,NA
"15575","KLAC","Efficiency Ratios","Efficiency",83,2012-06-01,NA,NA,NA,NA,NA,2.17,NA,NA
"15576","KLAC","Efficiency Ratios","Efficiency",83,2013-06-01,NA,NA,NA,NA,NA,1.93,NA,NA
"15577","KLAC","Efficiency Ratios","Efficiency",83,2014-06-01,NA,NA,NA,NA,NA,1.91,NA,NA
"15578","KLAC","Efficiency Ratios","Efficiency",83,2015-06-01,NA,NA,NA,NA,NA,1.91,NA,NA
"15579","KLAC","Efficiency Ratios","Efficiency",83,2016-06-01,NA,NA,NA,NA,NA,1.77,NA,NA
"15580","KLAC","Efficiency Ratios","Efficiency",83,2017-06-01,NA,NA,NA,NA,NA,1.8,NA,NA
"15581","KLAC","Efficiency Ratios","Efficiency",84,2008-06-01,NA,NA,NA,NA,6.84,NA,NA,NA
