"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"62";119;2014;-0,0129778600277267;0,07;0,19;1,33;-0,0124175031878169;0;0;0;0;0;0;0;10,2;1,08;0,18;1;0,933928066516454
"63";119;2015;-0,154578913245391;0,07;0,19;1,12;-0,101463614184421;0,05;0;0;0;0;0;0;10,2;1,4;0,16;1;2,45231792907695
"64";12;2013;0,0166884372442692;0,04;0,72;0,97;-0,00114165492930315;0,38;0,61;0;0,47;0;1;0;10,58;2,85;0,11;7;0,634522853152042
"65";12;2014;-0,02110014518344;0,03;0,38;0,86;-0,0206149652702033;0,07;0;0;0;0;1;0;10,64;1,67;0,1;7;0,808633188727693
"66";12;2015;-0,0118555632523004;0,03;0,3;0,94;0,00484322286178353;0,07;0;0;0;0;1;0;10,6;2,33;0,09;7;0,774137608943962
"67";121;2013;0,0137415564649699;0,22;0,4;4,62;0,0106157018887319;0;0;0;0;0;0;0;9,46;1,05;0,08;1;0,111240376378579
"68";121;2014;0,0291212163918647;0,2;0,44;3,65;0,0299273179282343;0;0;0;0;0;0;0;9,53;0,48;0,07;1;1,34350256061595
"69";121;2015;0,0230558025019928;0,02;0,09;1,27;0,0350260042668187;0,09;0;0;0;0;0;0;10,22;1,99;0,02;1;0,556230496074925
"70";122;2013;0,061959154603596;0,1;0,2;1,62;0,037896512271882;0,29;0;0;0,54;0;1;0;10,03;0,48;0,11;6;0,856321791164198
"71";122;2014;-0,070905832731783;0,09;0,2;1,46;-0,0697993007576349;0,06;0;0;0,08;0;1;0;9,96;0,61;0,1;6;1,84421995691344
"72";122;2015;-0,0721953664558316;0,1;0,24;1,29;-0,0479690988278259;0,06;0;0;0;0;1;0;9,94;0,72;0,13;6;1,12102615797261
"73";124;2013;0,0173836109448443;0,07;0,27;1,17;-0,00428248375089888;0,39;0,27;0,47;0,28;0;1;1;9,91;1,1;0,1;2;0,771035398425025
