"","Ticker","Year","TotalAsset"
"678","TSN",2015,2.3004e+10
"679","TSN",2016,2.2373e+10
"680","TSN",2017,2.8066e+10
"681","TWC",2013,4.8276e+10
"682","TWC",2014,4.9809e+10
"683","TWC",2015,4.8273e+10
"684","TWC",2016,4.8501e+10
"685","TWC",2017,4.9277e+10
"686","TWX",2013,6.7994e+10
"687","TWX",2014,6.3259e+10
"688","TWX",2015,6.3848e+10
"689","TWX",2016,6.5966e+10
"690","TWX",2017,6.9209e+10
"691","TXN",2013,1.8938e+10
"692","TXN",2014,1.7722e+10
"693","TXN",2015,1.623e+10
"694","TXN",2016,1.6431e+10
"695","TXN",2017,1.7642e+10
"696","UNM",2013,5.9404e+10
"697","UNM",2014,6.2497e+10
"698","UNM",2015,6.059e+10
"699","UNM",2016,6.1942e+10
"700","UNM",2017,6.4013e+10
"701","UPS",2013,3.6212e+10
"702","UPS",2014,3.5471e+10
"703","UPS",2015,3.8311e+10
"704","UPS",2016,4.0377e+10
"705","UPS",2017,4.5403e+10
"706","USB",2013,3.64021e+11
"707","USB",2014,4.02529e+11
"708","USB",2015,4.21853e+11
"709","USB",2016,4.45964e+11
"710","USB",2017,4.6204e+11
"711","UTX",2013,9.0594e+10
"712","UTX",2014,9.1289e+10
"713","UTX",2015,8.7484e+10
"714","UTX",2016,8.9706e+10
"715","UTX",2017,9.692e+10
"716","V",2013,3.5956e+10
"717","V",2014,3.8569e+10
"718","V",2015,4.0236e+10
"719","V",2016,6.4035e+10
"720","V",2017,6.7977e+10
"721","VFC",2013,1.0315e+10
"722","VFC",2014,9.98e+09
"723","VFC",2015,9.64e+09
"724","VFC",2016,9.739e+09
"725","VFC",2017,9.956e+09
"726","VIA",2013,2.3829e+10
"727","VIA",2014,2.3117e+10
"728","VIA",2015,2.2217e+10
"729","VIA",2016,2.2508e+10
"730","VIA",2017,2.3698e+10
"731","VLO",2013,4.726e+10
"732","VLO",2014,4.555e+10
"733","VLO",2015,4.4343e+10
"734","VLO",2016,4.6173e+10
"735","VLO",2017,5.0158e+10
"736","VNO",2013,2.0097e+10
"737","VNO",2014,2.1248e+10
"738","VNO",2015,2.1143e+10
"739","VNO",2016,2.0815e+10
"740","VNO",2017,1.7398e+10
"741","VRTX",2013,2.319e+09
"742","VRTX",2014,2.335e+09
"743","VRTX",2015,2.499e+09
"744","VRTX",2016,2.897e+09
"745","VRTX",2017,3.546e+09
"746","VTR",2013,1.9731e+10
"747","VTR",2014,2.1226e+10
"748","VTR",2015,2.2262e+10
"749","VTR",2016,2.3167e+10
"750","VTR",2017,2.3955e+10
"751","VZ",2013,2.74098e+11
"752","VZ",2014,2.32708e+11
"753","VZ",2015,2.4464e+11
"754","VZ",2016,2.4418e+11
"755","VZ",2017,2.57143e+11
"756","WAT",2013,3.583e+09
"757","WAT",2014,3.878e+09
"758","WAT",2015,4.269e+09
"759","WAT",2016,4.662e+09
"760","WAT",2017,5.324e+09
"761","WBA",2013,3.5481e+10
"762","WBA",2014,3.7182e+10
"763","WBA",2015,6.8782e+10
"764","WBA",2016,7.2688e+10
"765","WBA",2017,6.6009e+10
"766","WM",2013,2.2603e+10
"767","WM",2014,2.1412e+10
"768","WM",2015,2.0419e+10
"769","WM",2016,2.0859e+10
"770","WM",2017,2.1829e+10
"771","WMB",2013,2.7142e+10
"772","WMB",2014,5.0563e+10
"773","WMB",2015,4.902e+10
"774","WMB",2016,4.6835e+10
"775","WMB",2017,4.6352e+10
"776","WMT",2013,2.04751e+11
"777","WMT",2014,2.03706e+11
"778","WMT",2015,1.99581e+11
"779","WMT",2016,1.98825e+11
"780","WMT",2017,2.04522e+11
"781","WU",2013,1.0121e+10
"782","WU",2014,9.89e+09
"783","WU",2015,9.459e+09
"784","WU",2016,9.42e+09
"785","WU",2017,9.231e+09
"786","WYN",2013,9.741e+09
"787","WYN",2014,9.679e+09
"788","WYN",2015,9.716e+09
"789","WYN",2016,9.819e+09
"790","WYN",2017,1.0403e+10
"791","XEC",2013,7.253e+09
