"","Ticker","Year","Net income","Research and development","Revenue"
"341","CL","2017","2024",NA,"15454"
"343","CLR","2013","764",NA,"3455"
"344","CLR","2014","977",NA,"4802"
"345","CLR","2015","-354",NA,"2680"
"346","CLR","2016","-400",NA,"1980"
"347","CLR","2017","789",NA,"3121"
"349","CLX","2013","572","130","5623"
"350","CLX","2014","558","125","5591"
"351","CLX","2015","580","136","5655"
"352","CLX","2016","648","141","5761"
"353","CLX","2017","701","135","5973"
"355","CMCSA","2013","6816",NA,"64657"
"356","CMCSA","2014","8380",NA,"68775"
"357","CMCSA","2015","8163",NA,"74510"
"358","CMCSA","2016","8695",NA,"80403"
"359","CMCSA","2017","22714",NA,"84526"
"361","CNP","2013","311",NA,"8106"
"362","CNP","2014","611",NA,"9226"
"363","CNP","2015","-692",NA,"7386"
"364","CNP","2016","432",NA,"7528"
"365","CNP","2017","1792",NA,"9614"
"367","CNX","2013","660",NA,"3121"
"368","CNX","2014","163",NA,"3536"
"369","CNX","2015","-375",NA,"2514"
"370","CNX","2016","-848",NA,"2003"
"371","CNX","2017","381",NA,"1179"
"373","COH","2013","",NA,NA
"374","COH","2014","",NA,NA
"375","COH","2015","",NA,NA
"376","COH","2016","",NA,NA
"377","COH","2017","",NA,NA
"379","COL","2013","632",NA,"4610"
"380","COL","2014","604",NA,"4979"
"381","COL","2015","686",NA,"5244"
"382","COL","2016","728",NA,"5259"
"383","COL","2017","705",NA,"6822"
"385","COP","2013","9156",NA,"56029"
"386","COP","2014","6869",NA,"52988"
"387","COP","2015","-4428",NA,"30280"
"388","COP","2016","-3615",NA,"24308"
"389","COP","2017","-855",NA,"29106"
"391","COST","2013","2039",NA,"105156"
"392","COST","2014","2058",NA,"112640"
"393","COST","2015","2377",NA,"116199"
"394","COST","2016","2350",NA,"118719"
"395","COST","2017","2679",NA,"129025"
"397","CPB","2013","458","128","8052"
"398","CPB","2014","818","121","8268"
"399","CPB","2015","691","113","8082"
"400","CPB","2016","563","124","7961"
"401","CPB","2017","887","98","7890"
"403","CRM","2013","-232","624","4071"
"404","CRM","2014","-263","793","5374"
"405","CRM","2015","-47","946","6667"
"406","CRM","2016","180","1208","8392"
"407","CRM","2017","127","1553","10480"
"409","CSCO","2013","9983","5942","48607"
"410","CSCO","2014","7853","6294","47142"
"411","CSCO","2015","8981","6207","49161"
"412","CSCO","2016","10739","6296","49247"
"413","CSCO","2017","9609","6059","48005"
"415","CTSH","2013","1229",NA,"8843"
"416","CTSH","2014","1439",NA,"10263"
"417","CTSH","2015","1624",NA,"12416"
"418","CTSH","2016","1553",NA,"13487"
"419","CTSH","2017","1504",NA,"14810"
"421","CTXS","2013","340","516","2918"
"422","CTXS","2014","252","554","3143"
"423","CTXS","2015","319","564","3276"
"424","CTXS","2016","536","489","3418"
"425","CTXS","2017","-21","416","2825"
"427","CVS","2013","4592",NA,NA
"428","CVS","2014","4644",NA,NA
"429","CVS","2015","5237",NA,NA
"430","CVS","2016","5317",NA,NA
"431","CVS","2017","6622",NA,NA
"433","CVX","2013","21423",NA,"220156"
"434","CVX","2014","19241",NA,"200494"
"435","CVX","2015","4587",NA,"129925"
"436","CVX","2016","-497",NA,"110215"
"437","CVX","2017","9195",NA,"134674"
"439","D","2013","1697",NA,"13120"
"440","D","2014","1310",NA,"12436"
"441","D","2015","1899",NA,"11683"
"442","D","2016","2123",NA,"11737"
"443","D","2017","2999",NA,"12586"
"445","DD","2013","2788","2067","34812"
"446","DD","2014","4848","2153","35734"
"447","DD","2015","3625","2067","34723"
"448","DD","2016","1953","1898","25130"
"449","DD","2017","2513","1641","24594"
"451","DE","2013","3537","1477","35254"
"452","DE","2014","3162","1452","33785"
"453","DE","2015","1940","1425","26482"
"454","DE","2016","1524","1389","24133"
"455","DE","2017","2159","1368","27006"
"457","DFS","2013","2470",NA,"8224"
"458","DFS","2014","2323",NA,"8477"
"459","DFS","2015","2297",NA,"8739"
"460","DFS","2016","2393",NA,"9099"
"461","DFS","2017","2099",NA,"9897"
"463","DG","2013","1025",NA,"17504"
"464","DG","2014","1065",NA,"18910"
"465","DG","2015","1165",NA,"20369"
"466","DG","2016","1251",NA,"21987"
"467","DG","2017","1539",NA,"23471"
"469","DGX","2013","849",NA,"7146"
"470","DGX","2014","556",NA,"7435"
"471","DGX","2015","709",NA,"7493"
"472","DGX","2016","645",NA,"7515"
"473","DGX","2017","772",NA,"7709"
"475","DHR","2013","2695","1250","19118"
"476","DHR","2014","2598","1314","19914"
"477","DHR","2015","3357","1239","20563"
"478","DHR","2016","2554","975","16882"
"479","DHR","2017","2492","1129","18330"
"481","DIS","2013","6136",NA,"45041"
"482","DIS","2014","7501",NA,"48813"
"483","DIS","2015","8382",NA,"52465"
"484","DIS","2016","9391",NA,"55632"
"485","DIS","2017","8980",NA,"55137"
"487","DISCA","2013","1075",NA,"5535"
"488","DISCA","2014","1139",NA,"6265"
"489","DISCA","2015","1034",NA,"6394"
"490","DISCA","2016","1194",NA,"6497"
"491","DISCA","2017","-337",NA,"6873"
"493","DOV","2013","1003",NA,"8730"
"494","DOV","2014","775",NA,"7753"
"495","DOV","2015","870",NA,"6956"
"496","DOV","2016","509",NA,"6794"
"497","DOV","2017","812",NA,"7830"
"499","DPS","2013","624",NA,"5997"
"500","DPS","2014","703",NA,"6121"
"501","DPS","2015","764",NA,"6282"
"502","DPS","2016","847",NA,"6440"
"503","DPS","2017","1076",NA,"6690"
"505","DTE","2013","661",NA,"9661"
"506","DTE","2014","905",NA,"12301"
"507","DTE","2015","727",NA,"10337"
"508","DTE","2016","868",NA,"10630"
"509","DTE","2017","1134",NA,"12607"
"511","DUK","2013","2665",NA,"24598"
"512","DUK","2014","1883",NA,"23925"
"513","DUK","2015","2816",NA,"23459"
"514","DUK","2016","2152",NA,"22743"
"515","DUK","2017","3059",NA,"23565"
"517","DVA","2013","633",NA,"11764"
"518","DVA","2014","723",NA,"12795"
"519","DVA","2015","270",NA,"13782"
"520","DVA","2016","880",NA,"14745"
"521","DVA","2017","664",NA,"10877"
"523","DVN","2013","-20",NA,"10397"
"524","DVN","2014","1607",NA,"19566"
"525","DVN","2015","-14454",NA,"13145"
"526","DVN","2016","-3302",NA,"10304"
"527","DVN","2017","898",NA,"13949"
"529","EBAY","2013","2856",NA,"16047"
"530","EBAY","2014","46",NA,"17902"
"531","EBAY","2015","1725",NA,"8592"
"532","EBAY","2016","7266",NA,"8979"
"533","EBAY","2017","-1016",NA,"9567"
"535","ECL","2013","968",NA,"13253"
"536","ECL","2014","1203",NA,"14280"
"537","ECL","2015","1002",NA,"13545"
"538","ECL","2016","1230",NA,"13153"
"539","ECL","2017","1508",NA,"13838"
"541","EMN","2013","1165","193","9350"
"542","EMN","2014","751","227","9527"
"543","EMN","2015","848","251","9648"
"544","EMN","2016","854","219","9008"
"545","EMN","2017","1384","215","9549"
"547","EMR","2013","2004",NA,"24669"
"548","EMR","2014","2147",NA,"24537"
"549","EMR","2015","2710",NA,"22304"
"550","EMR","2016","1635",NA,"14522"
"551","EMR","2017","1518",NA,"15264"
"553","EOG","2013","2197",NA,"14399"
"554","EOG","2014","2915",NA,"16639"
"555","EOG","2015","-4525",NA,"8656"
"556","EOG","2016","-1097",NA,"7463"
"557","EOG","2017","2583",NA,"11206"
"559","EPD","2013","2597",NA,"47727"
"560","EPD","2014","2787",NA,"47951"
"561","EPD","2015","2521",NA,"27028"
"562","EPD","2016","2513",NA,"23022"
"563","EPD","2017","2799",NA,"29242"
"565","EQIX","2013","95",NA,"2153"
"566","EQIX","2014","-260",NA,"2444"
"567","EQIX","2015","188",NA,"2726"
"568","EQIX","2016","127",NA,"3612"
"569","EQIX","2017","233",NA,"4368"
"571","EQR","2013","1831",NA,"2388"
"572","EQR","2014","631",NA,"2615"
"573","EQR","2015","870",NA,"2745"
"574","EQR","2016","4292",NA,"2426"
"575","EQR","2017","603",NA,"2471"
"577","EQT","2013","391",NA,"1862"
"578","EQT","2014","387",NA,"2470"
"579","EQT","2015","85",NA,"1954"
"580","EQT","2016","-453",NA,"1857"
"581","EQT","2017","1509",NA,"2988"
"583","ETP","2013","456",NA,"46339"
"584","ETP","2014","1336",NA,"51158"
"585","ETP","2015","1398",NA,"34292"
"586","ETP","2016","297",NA,"21827"
"587","ETP","2017","2081",NA,"29054"
"589","EXPE","2013","233","578","4771"
"590","EXPE","2014","398","686","5763"
"591","EXPE","2015","764","830","6672"
"592","EXPE","2016","282","1235","8774"
"593","EXPE","2017","378","1387","10060"
"595","EXR","2013","172",NA,"521"
"596","EXR","2014","178",NA,"647"
"597","EXR","2015","189",NA,"782"
"598","EXR","2016","366",NA,"992"
"599","EXR","2017","479",NA,"1105"
"601","F","2013","7155",NA,"146917"
"602","F","2014","3187",NA,"144077"
"603","F","2015","7373",NA,"149558"
"604","F","2016","4596",NA,"151800"
"605","F","2017","7602",NA,"156776"
