"","Index","Year","Roa","Roe","Roic","TobinsQ","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","CarbonProductivity","EnergyProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"63",21,2014,0.096,0.1198,0.0997,2.72,-0.0245482181273284,1.84,0.21,0.17,4001546000,1.81e+08,1.964e+09,3.34e+08,2.20234449029742,-0.00132140669417845,0.62,0.04,0.05,0,0.15,0.18,1,1,1,7,22.1099466233944,1.00063188030791
"64",22,2012,0.0183,0.1175,0.0934874663777291,0.14,-0.0143620191073958,4.68,0.29,0.0692,1.26947e+11,4.93e+08,3.3315e+10,2.306e+09,0.557135901111421,0.00667420363311477,0.49,0.21,0.19,0.31,0.72,0.87,0,1,1,4,25.5670355134669,-1.96611285637283
"65",22,2013,0.0181,0.1096,0.0926318052305248,0.19,-0.0324247901772904,4.81,0.3,0.0656,1.2352e+11,4.7e+08,3.4507e+10,2.28e+09,1.33051891784933,0.0373875815915661,0.57,0.03,0.01,0.05,0.12,0.16,1,1,1,4,25.5396689232229,-1.66073120682165
"66",22,2014,0.0237,0.1331,0.0767993343174575,0.26,0.0310668485026284,6.27,0.25,0.0779,1.08533e+11,4.38e+08,3.5239e+10,2.85e+09,1.19710820311084,-0.000718264921866504,0.54,0.03,0.01,0.06,0.08,0.16,1,1,1,4,25.4103201111489,-1.34707364796661
"67",23,2012,0.1271,0.1641,0.1529,6.59,-0.0436371526395932,1.28,0.12,0.2247,2613560000,1.99e+08,1.134e+09,2.55e+08,1.65302135078314,0.0196056519392411,0.13,0,0,0,0,0.63,0,0,0,5,21.6839791135733,1.88555334851442
"68",23,2013,0.0853,0.1162,0.1052,7.43,-0.00162911379337699,1.27,0.07,0.163,3317696000,2e+08,1.551e+09,2.53e+08,2.37615305414906,0.0667699008215885,0.17,0,0,0,0,0.17,0,0,0,5,21.9225364030585,2.00552585872967
"69",23,2014,0.1747,0.2311,0.2169,8.25,-0.0518475917492154,3.26,0.04,0.2941,4201962000,2.02e+08,2.234e+09,6.57e+08,0.201692150308928,-0.000121015290185357,0.23,0.06,0,0,0,0.17,0,0,0,5,22.1588173960156,2.11021320034659
"70",24,2012,0.0084,0.0136,0.016,0.97,0.0404237338468375,0.09,0.27,0.0125,1.21e+10,1.277e+09,8.719e+09,1.09e+08,1.99565377902217,0.0236487145924616,0.67,0.65,0.61,0.72,0.32,0.89,1,1,0,7,23.2164712895491,-0.0304592074847086
"71",24,2013,0.0212,0.0357,0.0342,1.68,-0.0245601407902986,0.21,0.27,0.0341,1.204e+10,1.219e+09,7.509e+09,2.56e+08,1.64725052128183,0.0462877396480195,0.55,0.08,0.08,0.09,0.02,0.13,1,1,0,7,23.2115002768271,0.518793793415168
"72",24,2014,0.085,0.1434,0.1194,1.88,0.0370885744836396,0.87,0.25,0.1182,1.317e+10,1.231e+09,9.072e+09,1.072e+09,2.58826912487114,-0.00155296147492269,0.6,0.1,0.1,0.09,0.03,0.13,1,1,0,7,23.3012073527016,0.631271776841858
"73",25,2012,0.0966,0.2001,0.14,1.93,0.002500926581623,1.88,0.45,0.1377,5190056000,2.44e+08,3.334e+09,4.59e+08,0.459185365634977,0.00551838731449272,0,0,0,0,0,0,0,0,0,6,22.3700103240467,0.657520002916794
"74",25,2013,0.0934,0.1823,0.1334,2.31,0.0170143405625526,2.1,0.36,0.1438,5877902000,2.46e+08,3.594e+09,5.17e+08,1.84925127500251,0.0519639608275704,0.13,0,0,0,0,0.13,0,0,0,6,22.4944657324666,0.837247524533702
"75",25,2014,0.095,0.1833,0.1352,2.1,0.0349680659472117,2.37,0.44,0.1453,6420963000,2.47e+08,4.022e+09,5.84e+08,1.59893807002869,-0.000959362842017214,0.18,0.05,0,0,0,0.13,0,0,0,6,22.5828339433994,0.741937344729377
"76",26,2012,0.0305,0.0881,0.0845,1.29,-0.00457200907764879,3.28,0.54,0.0964,6187100000,5.3e+07,1.806e+09,1.74e+08,1.21656951249246,0.014455520247411,0.18,0,0,0,0,0.89,0,0,0,4,22.5457323162869,0.254642218373581
"77",26,2013,0.0577,0.1709,0.1275,1.96,0.0381944334798917,6.55,0.65,0.1647,6318800000,5.7e+07,2.189e+09,3.61e+08,1.47983286511257,0.0415833035096633,0.1,0,0,0,0,0.1,0,0,0,4,22.5667951536592,0.672944473242426
"78",26,2014,0.0645,0.1899,0.1272,1.72,0.0421377588003552,7.7,0.72,0.1801,7698100000,5.8e+07,2.511e+09,4.33e+08,0.880075373334499,-0.0005280452240007,0.16,0.06,0,0,0,0.1,0,0,0,4,22.7642393821107,0.542324290825362
"79",27,2012,0.0842,0.2282,0.1124,1.22,-0.0326706574159819,5.52,1.26,0.2517,5.4298e+10,7.87e+08,1.7265e+10,4.345e+09,0.241875061186173,0.00295412572199684,0.54,0.51,0.64,0.52,0.43,0.6,0,1,1,5,24.7177532307954,0.198850858745165
"80",27,2013,0.0844,0.2469,0.1135,1.46,-0.0163786799173455,6.64,1.34,0.2721,6.6125e+10,7.65e+08,1.8676e+10,5.081e+09,0.582871171435783,0.0163786799173455,0.7,0.09,0.08,0.08,0.08,0.17,1,1,1,5,24.9148127271249,0.378436435720245
"81",27,2014,0.0763,0.2155,0.1033,1.79,-0.0366295285945624,6.7,1.17,0.2571,6.9009e+10,7.7e+08,2.0063e+10,5.158e+09,0.777535389014305,-0.000466521233408583,0.63,0.07,0.06,0.06,0.07,0.17,1,1,1,5,24.9575027678204,0.582215619852664
"82",28,2012,0.0077,0.1064,0.0242110594824612,0.11,0.0128150372708656,4.62,0.81,0.1003,1.34729e+11,2.23e+08,1.0259e+10,1.029e+09,1.60000561392038,0.0189800662442605,0.17,0,0,0,0,0.86,0,0,0,4,25.6265311904347,-2.20727491318972
"83",28,2013,0.0096,0.1544,0.119821371871039,0.17,0.0200477105475118,6.44,1.03,0.1188,1.44576e+11,2.07e+08,1.123e+10,1.334e+09,1.45465356323426,0.0408757651268828,0.09,0,0,0,0,0.09,0,0,0,4,25.6970711577919,-1.77195684193188
"84",28,2014,0.011,0.1985,0.067069293390445,0.19,0.00439208713869484,8.3,1.22,0.132,1.4881e+11,1.95e+08,1.2296e+10,1.619e+09,1.26004218894937,-0.000756025313369619,0.17,0.07,0,0,0,0.1,0,0,0,4,25.7259361613884,-1.66073120682165
"85",29,2012,0.0484,0.1858,0.0839,2.15,0.0318898752468403,1.6,2.43,0.2216,14089129000,3.99e+08,2.876e+09,6.37e+08,0.162405081650997,0.00201637996348176,0,0,0,0,0,0,0,0,0,4,23.3686693440548,0.765467842139571
"86",29,2013,0.0321,0.1551,0.0614,1.55,0.0212308204502545,1.38,4.08,0.164,20272571000,3.99e+08,3.361e+09,5.51e+08,0.303255908418345,0.00852149102655549,0.15,0,0,0,0,0.15,0,0,0,4,23.7325346270583,0.438254930931155
"87",29,2014,0.0385,0.214,0.072,2.53,-0.0562999093462104,2,3.47,0.1954,21331545000,4e+08,4.1e+09,8.25e+08,0.571621090010389,-0.000342972654006233,0.19,0.04,0,0,0,0.15,0,0,0,4,23.7834527999992,0.928219302739429
"88",30,2012,-0.0013,-0.0049,-5e-04,3.52,-0.0185903890811085,-0.09,0.47,-6e-04,3.2555e+10,4.53e+08,6.1093e+10,-3.9e+07,1.16930113501471,0.0138977533931735,0.01,0,0,0,0,0.07,0,0,0,1,24.2061968036352,1.25846098961001
"89",30,2013,0.0075,0.0306,0.0255,4.6,-0.0340568044653076,0.59,0.53,0.0037,4.0159e+10,4.65e+08,7.4452e+10,2.74e+08,1.67636389282951,0.0471058253885092,0.12,0,0,0,0,0.12,0,0,0,1,24.4161124116215,1.52605630349505
"90",30,2014,-0.0051,-0.0235,-0.0068,2.74,-0.0860465813957053,-0.52,1.16,-0.0027,5.4505e+10,4.62e+08,8.8988e+10,-2.41e+08,1.98391153185934,-0.0011903469191156,0.18,0.06,0,0,0,0.12,0,0,0,1,24.7215582775267,1.00795792039998
"91",31,2012,0.0722,0.1877,0.1511,0.55,0.0169629375229569,5.25,0.37,0.0225,1.07e+10,1.42e+08,2.9809e+10,7.43e+08,2.02951683984432,0.024048298710163,0.12,0,0,0,0,0.34,0,1,0,3,23.0935095784143,-0.59783700075562
"92",31,2013,0.0342,0.0963,0.0782,0.64,-0.101475188484639,3,0.66,0.011,1.339e+10,1.37e+08,3.7601e+10,4.12e+08,3.5322200368319,0.0992553830349763,0.06,0,0,0,0,0.01,0,1,0,3,23.3177739966495,-0.446287102628419
"93",31,2014,0.0563,0.1926,0.1064,0.72,-0.0291634880332688,6.44,0.96,0.0207,1.649e+10,1.31e+08,4.0633e+10,8.43e+08,1.51817494984152,-0.00091090496990491,0.35,0.08,0.06,0.07,0.09,0.01,0,1,0,3,23.5260199735179,-0.328504066972036
"94",32,2012,0.0341,0.0665,0.0525,0.72,-0.0058697573247739,4.92,0.38,0.1136,6.0737e+10,3.91e+08,1.6428e+10,2.001e+09,2.0249959325933,0.0239949520046009,0.22,0.18,0.49,0.06,0,0.3,0,0,1,3,24.829818904498,-0.328504066972036
"95",32,2013,0.0358,0.0689,0.054,0.68,-0.0622349291727396,5.5,0.29,0.1334,6.1637e+10,4.06e+08,1.4771e+10,2.232e+09,-0.0122895701230635,-0.000345336920458085,0.31,0.04,0.09,0.01,0,0.01,1,0,1,3,24.8445281765189,-0.385662480811985
