"Day" "Month" "Year" "Ticker" "RD"
"348" "31" "12" "2013" "GLW" "
                
                    169.00M
                
            "
"350" "31" "12" "2014" "PFE" "
                
                    3.209B
                
            "
"352" "31" "12" "2012" "GLW" "
                
                    218.00M
                
            "
"354" "31" "12" "2013" "PFE" "
                
                    1.811B
                
            "
"357" "31" "12" "2016" "BMY" "
                
                    1.40B
                
            "
"358" "31" "12" "2012" "PFE" "
                
                    2.021B
                
            "
"359" "31" "12" "2016" "ABBV" "
                
                    1.23B
                
            "
"361" "31" "12" "2015" "BMY" "
                
                    1.916B
                
            "
"363" "31" "12" "2014" "VMW" "
                
                    303.00M
                
            "
"364" "31" "12" "2015" "VRTX" "
                
                    310.18M
                
            "
"368" "31" "12" "2014" "VRTX" "
                
                    201.46M
                
            "
"369" "31" "12" "2015" "WDC" "
                
                    389.00M
                
            "
"372" "31" "12" "2012" "CE" "
                
                    31.00M
                
            "
"373" "31" "12" "2014" "WDC" "
                
                    426.00M
                
            "
"377" "31" "12" "2013" "WDC" "
                
                    416.00M
                
            "
"381" "31" "12" "2012" "WDC" "
                
                    378.00M
                
            "
"392" "31" "12" "2016" "DHR" "
                
                    268.00M
                
            "
"396" "31" "12" "2015" "DHR" "
                
                    236.10M
                
            "
"397" "31" "12" "2016" "PPG" "
                
                    115.00M
                
            "
"401" "31" "12" "2013" "CAT" "
                
                    467.00M
                
            "
"405" "31" "12" "2012" "CAT" "
                
                    613.00M
                
            "
"413" "31" "12" "2015" "GILD" "
                
                    757.00M
                
            "
"414" "31" "12" "2016" "CTXS" "
                
                    90.75M
                
            "
"415" "31" "12" "2014" "CLX" "
                
                    33.00M
                
            "
"416" "31" "12" "2014" "BA" "
                
                    755.00M
                
            "
"422" "31" "12" "2012" "CLX" "
                
                    31.00M
                
            "
"424" "31" "12" "2016" "ALXN" "
                
                    206.20M
                
            "
"428" "31" "12" "2015" "ALXN" "
                
                    191.06M
                
            "
"432" "31" "12" "2014" "ALXN" "
                
                    129.33M
                
            "
"434" "31" "12" "2015" "AAPL" "
                
                    2.404B
                
            "
"436" "31" "12" "2013" "ALXN" "
                
                    85.78M
                
            "
"440" "31" "12" "2012" "ALXN" "
                
                    63.41M
                
            "
"446" "31" "12" "2016" "JNJ" "
                
                    2.64B
                
            "
"453" "31" "12" "2014" "AGN" "
                
                    237.10M
                
            "
"454" "31" "12" "2016" "CERN" "
                
                    145.97M
                
            "
"457" "31" "12" "2013" "AGN" "
                
                    -240.80M
                
            "
"458" "31" "12" "2015" "CERN" "
                
                    141.26M
                
            "
"461" "31" "12" "2015" "GLW" "
                
                    208.00M
                
            "
"462" "31" "12" "2012" "PX" "
                
                    25.00M
                
            "
"463" "31" "12" "2015" "CA" "
                
                    133.00M
                
            "
"468" "31" "12" "2014" "CA" "
                
                    143.00M
                
            "
"472" "31" "12" "2013" "CA" "
                
                    144.00M
                
            "
"476" "31" "12" "2012" "CA" "
                
                    120.00M
                
            "
"481" "31" "12" "2016" "VRTX" "
                
                    248.45M
                
            "
"484" "31" "12" "2015" "ABBV" "
                
                    1.075B
                
            "
"504" "31" "12" "2014" "AKAM" "
                
                    32.42M
                
            "
"508" "31" "12" "2013" "AKAM" "
                
                    26.52M
                
            "
"510" "31" "12" "2013" "JNPR" "
                
                    258.70M
                
            "
"514" "31" "12" "2012" "JNPR" "
                
                    275.10M
                
            "
"524" "31" "12" "2013" "IBM" "
                
                    1.452B
                
            "
"526" "31" "12" "2012" "UTX" "
                
                    712.00M
                
            "
"527" "31" "12" "2016" "MMM" "
                
                    421.00M
                
            "
"528" "31" "12" "2013" "XRX" "
                
                    155.00M
                
            "
"531" "31" "12" "2015" "MMM" "
                
                    433.00M
                
            "
"532" "31" "12" "2012" "XRX" "
                
                    160.00M
                
            "
"535" "31" "12" "2014" "MMM" "
                
                    436.00M
                
            "
"538" "31" "12" "2014" "GILD" "
                
                    1.045B
                
            "
"539" "31" "12" "2015" "CTXS" "
                
                    56.98M
                
            "
"540" "31" "12" "2013" "CLX" "
                
                    31.00M
                
            "
"542" "31" "12" "2013" "GILD" "
                
                    552.22M
                
            "
"543" "31" "12" "2014" "CTXS" "
                
                    141.95M
                
            "
"547" "31" "12" "2013" "CTXS" "
                
                    126.50M
                
            "
"550" "31" "12" "2016" "APD" "
                
                    15.00M
                
            "
"554" "31" "12" "2015" "APD" "
                
                    16.90M
                
            "
"558" "31" "12" "2014" "APD" "
                
                    35.40M
                
            "
"560" "31" "12" "2016" "LYB" "
                
                    26.00M
                
            "
"562" "31" "12" "2013" "APD" "
                
                    33.50M
                
            "
"564" "31" "12" "2015" "LYB" "
                
                    26.00M
                
            "
"568" "31" "12" "2016" "PX" "
                
                    23.00M
                
            "
"572" "31" "12" "2015" "PX" "
                
                    23.00M
                
            "
"576" "31" "12" "2012" "ILMN" "
                
                    56.91M
                
            "
"578" "31" "12" "2012" "NEM" "
                
                    90.00M
                
            "
"579" "31" "12" "2016" "BAX" "
                
                    157.00M
                
            "
"584" "31" "12" "2016" "PFE" "
                
                    2.512B
                
            "
"586" "31" "12" "2014" "GLW" "
                
                    210.00M
                
            "
"588" "31" "12" "2015" "PFE" "
                
                    2.348B
                
            "
"589" "31" "12" "2014" "TXN" "
                
                    311.00M
                
            "
"590" "31" "12" "2015" "XLNX" "
                
                    141.38M
                
            "
"592" "31" "12" "2012" "CERN" "
                
                    78.62M
                
            "
"593" "31" "12" "2013" "TXN" "
                
                    346.00M
                
            "
"594" "31" "12" "2014" "XLNX" "
                
                    133.46M
                
            "
"598" "31" "12" "2013" "XLNX" "
                
                    128.09M
                
            "
"602" "31" "12" "2012" "XLNX" "
                
                    129.06M
                
            "
"609" "31" "12" "2016" "FB" "
                
                    1.563B
                
            "
"610" "31" "12" "2016" "EMN" "
                
                    56.00M
                
            "
"611" "31" "12" "2016" "SYMC" "
                
                    204.00M
                
            "
"612" "31" "12" "2013" "CE" "
                
                    12.00M
                
            "
"614" "31" "12" "2015" "EMN" "
                
                    74.00M
                
            "
"615" "31" "12" "2015" "SYMC" "
                
                    174.00M
                
            "
"618" "31" "12" "2014" "EMN" "
                
                    62.00M
                
            "
"619" "31" "12" "2014" "SYMC" "
                
                    193.00M
                
            "
"620" "31" "12" "2016" "QCOM" "
                
                    1.311B
                
            "
"622" "31" "12" "2013" "EMN" "
                
                    45.00M
                
            "
"624" "31" "12" "2015" "QCOM" "
                
                    1.352B
                
            "
"625" "31" "12" "2013" "NFLX" "
                
                    98.13M
                
            "
"629" "31" "12" "2012" "NFLX" "
                
                    82.14M
                
            "
"632" "31" "12" "2016" "CAT" "
                
                    522.00M
                
            "
"636" "31" "12" "2015" "CAT" "
                
                    572.00M
                
            "
"640" "31" "12" "2014" "CAT" "
                
                    823.00M
                
            "
"643" "31" "12" "2013" "BDX" "
                
                    126.00M
                
            "
"645" "31" "12" "2012" "LLY" "
                
                    1.463B
                
            "
"647" "31" "12" "2012" "BDX" "
                
                    118.00M
                
            "
"651" "31" "12" "2015" "AMGN" "
                
                    1.093B
                
            "
"655" "31" "12" "2014" "AMGN" "
                
                    1.234B
                
            "
"658" "31" "12" "2014" "RTN" "
                
                    144.00M
                
            "
"660" "31" "12" "2013" "MMM" "
                
                    438.00M
                
            "
"662" "31" "12" "2013" "RTN" "
                
                    119.00M
                
            "
"663" "31" "12" "2013" "BA" "
                
                    848.00M
                
            "
"664" "31" "12" "2012" "MMM" "
                
                    418.00M
                
            "
"666" "31" "12" "2012" "RTN" "
                
                    -92.00M
                
            "
"667" "31" "12" "2012" "BA" "
                
                    753.00M
                
            "
"673" "31" "12" "2015" "PCAR" "
                
                    66.70M
                
            "
"681" "31" "12" "2016" "EBAY" "
                
                    292.00M
                
            "
"682" "31" "12" "2016" "ILMN" "
                
                    130.00M
                
            "
"685" "31" "12" "2015" "EBAY" "
                
                    229.00M
                
            "
"687" "31" "12" "2012" "APD" "
                
                    33.30M
                
            "
"689" "31" "12" "2014" "LYB" "
                
                    30.00M
                
            "
"693" "31" "12" "2013" "LYB" "
                
                    44.00M
                
            "
"697" "31" "12" "2012" "LYB" "
                
                    57.00M
                
            "
"702" "31" "12" "2016" "TXN" "
                
                    340.00M
                
            "
"704" "31" "12" "2015" "BAX" "
                
                    161.00M
                
            "
"708" "31" "12" "2014" "BAX" "
                
                    156.00M
                
            "
"713" "31" "12" "2013" "BAX" "
                
                    -187.00M
                
            "
"717" "31" "12" "2012" "BAX" "
                
                    216.00M
                
            "
"728" "31" "12" "2012" "ISRG" "
                
                    41.70M
                
            "
"729" "31" "12" "2014" "CE" "
                
                    18.00M
                
            "
"731" "31" "12" "2016" "BIIB" "
                
                    533.90M
                
            "
"734" "31" "12" "2015" "FB" "
                
                    1.314B
                
            "
"735" "31" "12" "2015" "BIIB" "
                
                    541.70M
                
            "
"738" "31" "12" "2014" "FB" "
                
                    1.111B
                
            "
"739" "31" "12" "2014" "BIIB" "
                
                    500.07M
                
            "
"742" "31" "12" "2013" "FB" "
                
                    409.00M
                
            "
"743" "31" "12" "2013" "BIIB" "
                
                    422.28M
                
            "
"744" "31" "12" "2016" "AMZN" "
                
                    4.544B
                
            "
"746" "31" "12" "2012" "FB" "
                
                    297.00M
                
            "
"747" "31" "12" "2012" "BIIB" "
                
                    345.18M
                
            "
"748" "31" "12" "2015" "AMZN" "
                
                    3.569B
                
            "
"752" "31" "12" "2014" "AMZN" "
                
                    2.636B
                
            "
"753" "31" "12" "2016" "LVS" "
                
                    2.00M
                
            "
"754" "31" "12" "2016" "SLB" "
                
                    262.00M
                
            "
"755" "31" "12" "2016" "IBM" "
                
                    1.431B
                
            "
"759" "31" "12" "2015" "IBM" "
                
                    1.362B
                
            "
"760" "31" "12" "2016" "TSLA" "
                
                    245.96M
                
            "
"763" "31" "12" "2014" "IBM" "
                
                    1.32B
                
            "
"764" "31" "12" "2015" "TSLA" "
