Ticker;Year;Url;TotalAsset
A;2012;https://ycharts.com/companies/A/assets;
ADBE;2012;https://ycharts.com/companies/ADBE/assets;
ADI;2012;https://ycharts.com/companies/ADI/assets;
ADSK;2012;https://ycharts.com/companies/ADSK/assets;
ADSK;2013;https://ycharts.com/companies/ADSK/assets;
ADSK;2014;https://ycharts.com/companies/ADSK/assets;
AMAT;2012;https://ycharts.com/companies/AMAT/assets;
AMAT;2013;https://ycharts.com/companies/AMAT/assets;
AMAT;2014;https://ycharts.com/companies/AMAT/assets;
ANDV;2012;https://ycharts.com/companies/ANDV/assets;
ANDV;2013;https://ycharts.com/companies/ANDV/assets;
ANDV;2014;https://ycharts.com/companies/ANDV/assets;
AZO;2012;https://ycharts.com/companies/AZO/assets;
AZO;2013;https://ycharts.com/companies/AZO/assets;
AZO;2014;https://ycharts.com/companies/AZO/assets;
BBBY;2012;https://ycharts.com/companies/BBBY/assets;
BBBY;2013;https://ycharts.com/companies/BBBY/assets;
BBBY;2014;https://ycharts.com/companies/BBBY/assets;
BBY;2012;https://ycharts.com/companies/BBY/assets;
BBY;2013;https://ycharts.com/companies/BBY/assets;
BBY;2014;https://ycharts.com/companies/BBY/assets;
BF.A;2012;https://ycharts.com/companies/BF.A/assets;
BF.A;2013;https://ycharts.com/companies/BF.A/assets;
BF.A;2014;https://ycharts.com/companies/BF.A/assets;
BG;2012;https://ycharts.com/companies/BG/assets;
BG;2013;https://ycharts.com/companies/BG/assets;
BG;2014;https://ycharts.com/companies/BG/assets;
BKE;2012;https://ycharts.com/companies/BKE/assets;
BMRN;2012;https://ycharts.com/companies/BMRN/assets;
BX;2012;https://ycharts.com/companies/BX/assets;
BX;2013;https://ycharts.com/companies/BX/assets;
BX;2014;https://ycharts.com/companies/BX/assets;
CAG;2012;https://ycharts.com/companies/CAG/assets;
CAG;2013;https://ycharts.com/companies/CAG/assets;
CAG;2014;https://ycharts.com/companies/CAG/assets;
CCE;2012;https://ycharts.com/companies/CCE/assets;
CCE;2013;https://ycharts.com/companies/CCE/assets;
CCE;2014;https://ycharts.com/companies/CCE/assets;
CCL;2012;https://ycharts.com/companies/CCL/assets;
CCL;2013;https://ycharts.com/companies/CCL/assets;
