"","CompaniesIndex","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"791",264,2,0.0249,0.0712,0.0468,-0.213649711254138,0.0684658528568918,0.0693207528464717,1,1.13,0.1298,1.553e+10,3.81e+08,5.703e+09,7.4e+08,0.466595359497825,0.0131113296018889,0.1,0,0,0,0,0.1,0,0,0,6,23.466039474107,-0.0266719283055511
"792",264,3,0.0372,0.1201,0.0637,2.58608098316503,-0.00171533103599896,0.0161994876253502,1.54,1.28,0.0611,1.5376e+10,3.84e+08,6.288e+09,3.84e+08,1.4248333159664,-0.000854899989579842,0.16,0,0.06,0,0,0.1,0,0,0,6,23.4560736891743,0.95371175235305
"793",265,1,0.034,0.276,0.065866237790612,-0.78,0.0112144544139534,0.000871351042433022,3.74,0.06,0.7608,1.3345e+11,1.006e+09,2.17e+09,1.736e+09,0.178191407620153,0.00220265860991781,0.18,0,0,0,0,0.89,0,0,0,4,25.6169927127969,-0.446874698666603
"794",265,2,-0.0107,-0.0765,-0.0258983378371703,-0.82,-0.0368018878474906,-0.0364105875374269,-0.96,0.07,0.9158,8.1922e+10,9.96e+08,3.994e+09,3.73e+09,0.36808197051674,0.0103431033715204,0.05,0,0,0,0,0.05,0,0,0,4,25.1290334120021,-0.99554453806211
"795",265,3,0.0048,0.0337,0.0151827523201123,-0.72,0.0101545698847749,0.0142633353161156,0.42,0.1,0.492126803241856,8.8355e+10,9.48e+08,-6.28e+08,-8.42e+08,0.652167183439444,-0.000391300310063666,0.05,0,0,0,0,0.05,0,0,0,4,25.2046286272064,-1.13502476580077
"796",266,1,0.0738,0.1939,0.1419,1.03,0.0169832577363342,-0.000193524708517939,8.35,0.41,0.0784,2.6543e+10,2.53e+08,2.5218e+10,1.978e+09,0.604168574500048,0.00722918917910056,0.38,0.35,0.36,0,0.51,0,1,1,1,6,24.0020318963877,0.0295588022415444
"797",266,2,0.0781,0.2318,0.1527,1.26,0.0448190458741706,0.0449363616354641,9.75,0.56,0.0792,2.6381e+10,2.34e+08,2.4661e+10,1.952e+09,0.611273396613954,0.0171767824448521,0.43,0.1,0.06,0,0,0.07,1,1,1,6,23.9959098910228,0.231111720963387
"798",266,3,0.078,0.312,0.1757,1.63,0.0130608282790367,0.0329021252470052,10.39,0.82,0.0863,2.6572e+10,2.12e+08,2.3979e+10,2.069e+09,0.195526268822592,-0.000117315761293555,0.25,0,0.03,0,0,0.02,1,1,1,6,24.0031238667494,0.488580014818671
"799",267,1,0.0702,0.1096,0.0983,0.79,-0.020972630188342,-0.0390133892285967,5.44,0.16,0.1243,3.1484e+10,4.27e+08,1.7194e+10,2.491e+09,1.78468575715751,0.0211592919344586,0.12,0,0,0,0,0.08,1,0,0,3,24.1727453172266,-0.23572233352107
"800",267,2,0.0732,0.1166,0.1041,0.65,-0.0158507312215936,-0.0150160811197006,5.82,0.14,0.1018,3.4812e+10,4.28e+08,1.9221e+10,2.327e+09,0.642019894670984,0.0180407590402546,0.12,0,0,0,0,0.02,1,0,0,3,24.2732279918737,-0.430782916092454
"801",267,3,-0.0255,-0.0415,-0.032,0.35,-0.0965480430908055,-0.0847225742189129,-1.99,0.15,0.1167,3.3562e+10,4.3e+08,2.144e+10,2.502e+09,1.3910835031549,-0.000834650101892942,0.2,0,0.08,0,0,0.02,1,0,0,3,24.2366603115254,-1.04982212449868
"802",268,1,-0.0895,-0.2312,-0.2312,5.39110065969871,0.0531649572506777,0.0829809189183553,-0.54,0.62210841147857,-0.1532,478110000,7.4e+07,2.44e+08,-3.7e+07,5.49239805677,0.064910297069886,0,0,0,0,0,0,0,0,0,7,19.9853513895039,2.15915112383211
"803",268,2,-0.1383,-0.436,-0.436,6.84,0.0590414844731089,0.0597220155061024,-1.23,0.582770653089414,-0.1736,1.168e+09,1.35e+08,4.25e+08,-7.4e+07,-1.06106625151878,-0.0298159616676776,0.17,0,0,0,0,0.17,0,0,0,7,20.8785587213524,1.92278773163446
"804",268,3,-0.1228,-0.3987,-0.3466,7.77,-0.0051852855709859,0.0247009134006488,-1.27,-2.18067556849087,-0.2628,1.425e+09,1.45e+08,6.83e+08,-1.79e+08,1.13421838832245,-0.000680531032993473,0.2,0,0.03,0,0,0.17,0,0,0,7,21.077437650667,2.05027016437956
"805",269,1,0.0606,0.1808,0.1144,1.13,0.0569619737197198,0.0189594137017095,6.04,0.86,0.1576,3.0342e+10,3.25e+08,1.104e+10,1.749e+09,0.370745540952603,0.00447479738324072,0.32,0.29,0.46,0,0,0.52,0,1,1,6,24.1357987282723,0.122217632724249
"806",269,2,0.0607,0.1683,0.1112,1.26,-0.0183507658502138,-0.0181795086254291,6.39,0.79,0.1692,3.2483e+10,3.11e+08,1.1245e+10,1.91e+09,1.35240427110357,0.0380025600180103,0.59,0.05,0.05,0,0.11,0.18,1,1,1,6,24.2039827125066,0.231111720963387
