"","CompaniesIndex","YearIndex","Ra","Roa","StockPriceClose","TobinsQ","PriceToEarningRatio","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","Eps","FirmSize","LogTobinsQ","LogPriceToEarningRatio","LogEps","LogStockPrice"
"39",13,3,-0.0364955112505858,0.0258,284.97,0.76,32.2,0.0604,0.21,0.05,0,0,0,0,0,0,20263977000,3.39,0.0955,7,2.87023927169194,-0.00172214356301517,8.85,23.7321106146274,-0.27443684570176,3.47196645255036,2.18041745901984,5.6523839115702
"40",14,1,0.10619994224625,0.0657,39.15,1.88,36.588785046729,0.0913,0.62,0.94,0.3,0.62,0.63,0,0,1,3.429e+09,NA,0.1288,7,2.82833347870637,0.0334743350487352,1.07,21.9555345104272,0.631271776841858,3.599741773963,0.0676586484738149,3.66740042243681
"41",14,2,-0.0317903058398908,0.0514,53.83,2.65,53.83,0.0789,0.66,0.14,0,0.03,0.1,1,1,1,4.322e+09,0.36,0.107,7,1.53911665487784,0.0432491780020674,1,22.1869840950311,0.974559639998131,3.98583093257287,0,3.98583093257287
"42",14,3,-0.0408417048134506,0.0172,56.12,2.4,160.342857142857,0.0274,0.71,0.14,0,0.05,0.14,1,1,1,4.737e+09,0.33,0.1006,7,0.852545881652775,-0.000511527528991665,0.35,22.278669860888,0.8754687373539,5.07731437973294,-1.04982212449868,4.02749225523426
"43",15,1,0.0196474272107625,0.0135,34.64,0.7,29.3559322033898,0.0391,0.29,0.03,0,0,0.52,1,1,0,2.1835e+10,1,-0.1426,11,0.109858942677735,0.00139633552359728,1.18,23.8067800238839,-0.356674943938732,3.37949464521666,0.165514438477573,3.54500908369423
"44",15,2,0.0772245179786794,0.0268,40.02,0.8,16.675,0.0597,0.37,0.01,0,0,0.09,1,1,0,2.1042e+10,0.84,0.0495,11,0.827504185925556,0.0232528676245081,2.4,23.7697862773325,-0.22314355131421,2.81391059180169,0.8754687373539,3.68937932915559
"45",15,3,-0.00233097691277153,0.0272,41.82,0.74,16.1467181467181,0.0602,0.36,0.01,0.01,0,0.07,1,1,0,2.2676e+10,0.91,0.0968,11,0.792918762105364,-0.000475751257263218,2.59,23.8445729334085,-0.301105092783922,2.78171681828904,0.951657875711446,3.73337469400049
"46",16,1,-0.00682329655827654,0.0267,46.06,0.73,15.1513157894737,0.0593,0.18,0.02,0.03,0,0.02,1,1,0,5.4367e+10,1.02,0.0842,11,-0.156762726457111,-0.00174980017219391,3.04,24.7190231890943,-0.3147107448397,2.71808737897441,1.11185751541813,3.82994489439254
"47",16,2,0.0536190504599654,0.0282,52.91,0.83,15.8413173652695,0.0605,0.31,0.01,0.03,0,0,1,1,0,5.6414e+10,1.05,0.0964,11,1.14701378487642,0.0322310873550274,3.34,24.7559831915976,-0.186329578191493,2.76262154992743,1.20597080698861,3.96859235691604
"48",16,3,0.0395571965860669,0.0337,56.69,0.8,13.5947242206235,0.0695,0.3,0.01,0.02,0,0,1,1,0,5.9633e+10,0.96,0.096,11,0.696743718587859,-0.000418046231152716,4.17,24.8114749490624,-0.22314355131421,2.6096817925255,1.42791603581071,4.03759782833621
"49",17,1,-0.00494484066555355,0.0419,59.34,0.71,11.1332082551595,NA,0.41,0.74,0,0,0.65,0,1,0,41494500000,0.62,0.0466,5,0.942523627601693,0.0112217788057,5.33,24.4488267252797,-0.342490308946776,2.40993237668492,1.67335123817775,4.08328361486268
"50",17,2,0.0180611857087087,0.0395,78.03,0.8,13.737676056338,NA,0.32,0.08,0,0,0,0,1,1,49871800000,0.56,0.0413,5,0.164401391880083,0.00461967911183035,5.68,24.6327215496971,-0.22314355131421,2.62014213539561,1.73695123273306,4.35709336812867
"51",17,3,0.0509429924238784,0.0447,109.05,0.91,16.0840707964602,NA,0.6,0.12,0.11,0,0.13,0,1,1,53402100000,0.54,0.0358,5,1.24111169785924,-0.000744667018715546,6.78,24.701115907982,-0.0943106794712413,2.77782939069534,1.9139771019523,4.69180649264764
"52",18,1,0.00645793619713739,0.025,28.98,0.34,8.57396449704142,NA,0.49,0.63,0,0,0.85,0,1,1,1.31094e+11,0.27,0.113,4,1.16820499849348,0.0138848189822231,3.38,25.5991804600784,-1.07880966137193,2.14873022739761,1.21787570949493,3.36660593689254
"53",18,2,0.0225136382483949,0.0245,30.72,0.29,9.45230769230769,NA,0.75,0.09,0.09,0.12,0.09,1,1,1,1.21307e+11,0.34,0.1319,4,0.802221079222212,0.0225424123261442,3.25,25.5215903593929,-1.23787435600162,2.24625891193782,1.17865499634165,3.42491390827947
"54",18,3,-0.0853961367803414,0.0213,30.88,0.26,10.5753424657534,NA,0.64,0.07,0.06,0.1,0.06,1,1,1,1.19767e+11,0.29,0.1298,4,1.17405650587741,-0.000704433903526446,2.92,25.5088140255834,-1.34707364796661,2.35852510887638,1.07158361628019,3.43010872515658
"55",19,1,0.0297842959400594,-0.0408,122.96,1.21,-23.3320683111954,-0.0386,0.85,0.85,0.61,0.82,0.72,1,1,1,9179300000,1.63,0.0165,5,0.408270355759077,0.00491759019795711,-5.27,22.9402167859481,0.19062035960865,NA,NA,4.81185909923034
"56",19,2,-0.0500084853935851,-0.0433,220.03,NA,-29.6536388140162,-0.0399,0.84,0.13,0.12,0.13,0.12,1,1,1,10574300000,0.89,-0.0865,5,0.473005891054349,0.0132914655386272,-7.42,23.0816923658344,NA,NA,NA,5.39376390069205
"57",19,3,-0.00443812452126461,0.0391,297.2,NA,29.6903096903097,0.0562,0.74,0.13,0.13,0,0.14,1,1,1,12415700000,0.52,-0.1248,5,0.84916832918544,-0.000509500997511264,10.01,23.2422276377242,NA,3.39082071951648,2.30358459332713,5.6944053128436
"58",20,1,0.0278088284660412,0.0167,44.59,NA,7.27406199021207,NA,0.18,0,0,0,0,0,1,0,5.48633e+11,0.49,0.0524,4,1.79608377556607,0.0212937885516796,6.13,27.0306955667578,NA,1.98431486869127,1.81319474994812,3.79750961863939
"59",20,2,0.0241392344647785,0.0142,52.77,NA,10.1480769230769,NA,0.29,0,0,0,0,1,1,0,5.41329e+11,0.41,0.1322,4,0.355313883203969,0.00998432011803153,5.2,27.0172930640418,NA,2.31728422183019,1.64865862558738,3.96594284741758
"60",20,3,-0.0212293162483536,0.0043,58.76,NA,35.6121212121212,NA,0.4,0.09,0,0,0,1,1,0,5.15581e+11,0.29,0.1169,4,1.20314931031697,-0.000721889586190184,1.65,26.9685602570609,NA,3.57268606339319,0.500775287912489,4.07346135130568
"61",21,1,0.0535492227713258,0.1056,43.62,2.59,27.0931677018634,0.1163,0.39,0.12,0,0.68,0.03,0,1,1,2600627000,0,0.1485,7,1.57794414712809,0.0187197409361114,1.61,21.6790184067471,0.951657875711446,3.29928158177711,0.476234178996372,3.77551576077348
"62",21,2,-0.0258696248215068,0.096,57.85,2.72,31.4402173913043,0.0997,0.61,0.07,0,0.15,0.01,1,1,1,2957685000,0,0.186,7,0.736291947264969,0.0206898037181456,1.84,21.8076727046923,1.00063188030791,3.44808788201879,0.609765571620894,4.05785345363969
"63",21,3,-0.0904098627361316,0.0785,68.47,2.16,38.4662921348315,0.0892,0.62,0.04,0,0.15,0.05,1,1,1,4001546000,0.21,0.17,7,2.20234449029742,-0.00132140669417845,1.78,22.1099466233944,0.770108221696074,3.64978232882898,0.576613364303994,4.22639569313297
"64",22,1,0.00496279141427567,0.0181,49.48,0.19,10.2869022869023,NA,0.49,0.21,0.31,0.72,0.19,0,1,1,1.26947e+11,0.29,0.0692,4,0.557135901111421,0.00667420363311477,4.81,25.5670355134669,-1.66073120682165,2.33087146340662,1.57069708411767,3.90156854752429
"65",22,2,0.0303485835807619,0.0237,59.35,0.26,9.46570972886762,NA,0.57,0.03,0.05,0.12,0.01,1,1,1,1.2352e+11,0.3,0.0656,4,1.33051891784933,0.0373875815915661,6.27,25.5396689232229,-1.34707364796661,2.24767576641085,1.83577635464483,4.08345212105568
"66",22,3,-0.0107331932995663,0.0193,65.9,0.22,13.0495049504951,NA,0.54,0.03,0.06,0.08,0.01,1,1,1,1.08533e+11,0.25,0.0779,4,1.19710820311084,-0.000718264921866504,5.05,25.4103201111489,-1.51412773262978,2.5687501982212,1.61938824328727,4.18813844150846
"67",23,1,0.0651407870282115,0.0853,104.99,7.43,82.6692913385827,0.1052,0.13,0,0,0,0,0,0,0,2613560000,0.12,0.2247,5,1.65302135078314,0.0196056519392411,1.27,21.6839791135733,2.00552585872967,4.41484820705635,0.2390169004705,4.65386510752685
"68",23,2,-0.0519686070394008,0.1747,166.73,8.25,51.1441717791411,0.2169,0.17,0,0,0,0,0,0,0,3317696000,0.07,0.163,5,2.37615305414906,0.0667699008215885,3.26,21.9225364030585,2.11021320034659,3.93464854219375,1.18172719537862,5.11637573757237
"69",23,3,0.0667112486962532,0.0167,177.65,3.4,265.149253731343,0.0226,0.23,0.06,0,0,0,0,0,0,4201962000,0.04,0.2941,5,0.201692150308928,-0.000121015290185357,0.67,22.1588173960156,1.22377543162212,5.58029288906416,-0.400477566597125,5.17981532246704
"70",24,1,0.0217275988577209,0.0212,15.27,1.68,72.7142857142857,0.0342,0.67,0.65,0.72,0.32,0.61,1,1,0,1.21e+10,0.27,0.0125,7,1.99565377902217,0.0236487145924616,0.21,23.2164712895491,0.518793793415168,4.28653786749521,-1.56064774826467,2.72589011923054
"71",24,2,0.0355356130087169,0.085,20.9,1.88,24.0229885057471,0.1194,0.55,0.08,0.09,0.02,0.08,1,1,0,1.204e+10,0.27,0.0341,7,1.64725052128183,0.0462877396480195,0.87,23.2115002768271,0.631271776841858,3.17901122630427,-0.139262067333508,3.03974915897077
"72",24,3,-0.00534177840865272,0.0967,19.58,1.13,17.4821428571429,0.1259,0.6,0.1,0.09,0.03,0.1,1,1,0,1.317e+10,0.25,0.1182,7,2.58826912487114,-0.00155296147492269,1.12,23.3012073527016,0.122217632724249,2.86117995179536,0.113328685307003,2.97450863710236
