"","CompaniesIndex","YearIndex","Ra","Roa","Roe","TobinsQ","AlphaJensen","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","FirmSize","LogTobinsQ"
"920",307,2,0.00390528159992899,0.1349,0.1985,2.24,0.00505786623657145,0.1711,0.19,0.07,0,0,0,0,0,0,6.06e+09,0.1383,0.108,1,1.21984541481448,0.0342776561562869,22.5249756370276,0.806475865866949
"921",307,3,-0.103597749907327,0.1151,0.1772,1.22,-0.111248332569965,0.1529,0.16,0.04,0,0,0,0,0,0,6.344e+09,0.14,0.1042,1,1.9209743944041,-0.00115258463664246,22.570775321279,0.198850858745165
"922",308,1,0.0395321919742492,0.1316,0.3404,2.55,0.00132724764680182,0.2414,0.74,0.48,0.89,0.84,0.7,1,1,1,5711100000,0.49,0.1175,6,0.446276674515526,0.00536606475928321,22.4656774865441,0.936093359170335
"923",308,2,-0.0371606004783937,0.1368,0.3149,2.23,-0.0360660126637639,0.2281,0.6,0.08,0.12,0.09,0,1,1,1,5940800000,0.35,0.1189,6,1.35960655969564,0.0382049443274474,22.5051096413871,0.802001585472027
"924",308,3,-0.0366460477108366,0.1309,0.3365,1.93,-0.0150549342264492,0.2365,0.76,0.1,0.12,0.11,0.12,1,1,1,6.202e+09,0.34,0.1247,6,1.82431302438309,-0.00109458781462986,22.5481376576247,0.657520002916794
"925",309,1,0.0669443646705929,0.0706,0.1363,1.82,0.0522241605700859,0.0971,0.14,0,0,0,0,0,0,0,7071104000,0.41,0.1615,6,0.383428096274263,0.00462445153603631,22.6792824574225,0.598836501088704
"926",309,2,-0.00935808307483171,0.0778,0.1441,2.02,-0.00900585572932752,0.1028,0.13,0,0,0,0,0,0,0,8184981000,0.58,0.1662,6,0.523850679733343,0.014720204100507,22.8255667264473,0.703097511413113
"927",309,3,-0.01930764531609,0.0749,0.1385,2.12,0.00962127024630334,0.0971,0.2,0.07,0,0,0,0,0,0,8412934000,0.46,0.182,6,0.587045575840317,-0.00035222734550419,22.8530361204825,0.751416088683921
"928",310,1,-0.0154889284715721,0.2257,0.4827,4.14,-0.0387555520275238,0.4444,0.12,0,0,0,0,0,0,0,3.648e+09,0.1,0.0763,1,0.336764435101016,0.00407382033419199,22.0174449091585,1.42069578783722
"929",310,2,0.0343570680810267,0.2213,0.4437,3.6,0.0356463557346783,0.411,0.11,0,0,0,0,0,0,0,3.947e+09,0.08,0.0809,1,0.827993720852375,0.0232666235559517,22.0962216336271,1.28093384546206
"930",310,3,0.0361952438910335,0.2151,0.4315,4.15,0.0597464997406835,0.3833,0.12,0.01,0,0,0,0,0,0,4.669e+09,0.07,0.0818,1,2.14881275608595,-0.00128928765365157,22.2642107529352,1.42310833424261
"931",311,1,-0.0424505488736017,0.0298,0.0755,0.97,-0.0660900250914658,0.0542,0.02,0,0,0,0,0,0,0,19616900000,0.92,0.0704,6,0.646294347657595,0.00772627330235962,23.6996572765613,-0.0304592074847086
"932",311,2,0.0228995466138121,0.0274,0.07,1.08,0.0234113083342037,0.0495,0.29,0.01,0,0,0,1,0,1,19949200000,0.89,0.07,6,0.841262498856374,0.0236394762178641,23.7164548792276,0.0769610411361284
